geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_3,1,3,1,14,85,57,4845,9548,16,202608290263,16000,1000,5822221,33899129659,15,87171,506604315,6,34933,203389211,2,11656,67932136
lambda_1_3,1,3,1,14,85,57,4845,9548,17,202608290263,17000,1000,5821880,33895087686,12,69681,404628659,8,46525,270576481,1,5841,34117281
lambda_1_3,1,3,1,14,85,57,4845,9548,18,202608290263,18000,1000,5822359,33900591883,12,69789,405885727,5,29158,170039918,2,11696,68398450
lambda_1_3,1,3,1,14,85,57,4845,9548,19,202608290263,19000,1000,5821607,33891837835,20,116205,675194169,7,40778,237550384,0,0,0
lambda_2_3,2,3,1,15,91,61,5551,10950,0,202608290263,0,1000,6669929,44488823235,27,179749,1196691245,1,6661,44368921,5,33398,223089522
lambda_2_3,2,3,1,15,91,61,5551,10950,1,202608290263,1000,1000,6668367,44468037931,20,133126,886140664,4,26673,177862883,11,73302,488480648
lambda_2_3,2,3,1,15,91,61,5551,10950,2,202608290263,2000,1000,6667707,44459247415,22,146304,972967338,1,6667,44448889,6,40100,268005794
lambda_2_3,2,3,1,15,91,61,5551,10950,3,202608290263,3000,1000,6667930,44462199956,19,126578,843282566,1,6743,45468049,7,46665,311092991
lambda_2_3,2,3,1,15,91,61,5551,10950,4,202608290263,4000,1000,6669940,44488994130,29,193243,1287708543,2,13312,88605730,7,46626,310575232
lambda_2_3,2,3,1,15,91,61,5551,10950,5,202608290263,5000,1000,6669218,44479319028,23,153326,1022152380,1,6676,44568976,4,26707,178321587
lambda_2_3,2,3,1,15,91,61,5551,10950,6,202608290263,6000,1000,6666717,44446014141,18,119967,799579481,1,6648,44195904,6,39988,266516108
lambda_2_3,2,3,1,15,91,61,5551,10950,7,202608290263,7000,1000,6669492,44483050818,16,106568,709807428,1,6676,44568976,9,59879,398395235
