N,first_primal_pivotal,first_matching_pivotal,second_primal_pivotal,second_matching_pivotal,B_plus,B_plus_se,A_plus,A_plus_se,A_minus,A_minus_se,B_minus,B_minus_se,normalized_pivotal_H4,pivotal_H4_scaled,pivotal_H4_scaled_se,even_pivotal_H4_scaled,even_pivotal_H4_scaled_se,coefficient_ratio,coefficient_ratio_se,thermal_mass_scaled,thermal_mass_scaled_se
65,4.1788095378029215,4.197708943275396,4.1962636750258735,4.185532711973806,8.379157434038998,0.00021699974304272617,-0.0038713806454437356,0.0003512906000302844,0.0217340810792,0.0003167171576326168,-0.004084221210204131,0.0001551736862043561,0.0012969132785898463,1.1452363954682137,0.016689675639340148,-0.015015814175515802,0.0013625421202036006,3.111494197918388,0.12818508078422192,1.7512890878020688,4.53541164535933e-05
85,4.621552548651122,4.633160252152175,4.636683446468027,4.622235437420301,9.256815842345812,0.00021511758961868736,-0.002637929712616687,0.00028463527493724635,0.01634136485806643,0.0002766538593541767,0.001420152773337513,0.00015083398242522747,0.0008826666283730071,1.20532027358777,0.020405813541038573,-0.012111293418342259,0.00130673685528876,3.488692331501205,0.2291183045437782,1.7495627626834398,4.0657795380623655e-05
130,5.417561484542675,5.423785316468466,5.426256331003915,5.417379995503372,10.842491563759214,0.00031595836273894286,-0.0016793828509053161,0.00043917129249660796,0.011076077669490125,0.00045536205746832904,0.0013262517873764423,0.00019981077262011055,0.0005107717909835258,1.3911848880778066,0.05719039283385309,-0.01006778604962996,0.002632777719209252,3.5241900998938682,0.6088017221800246,1.7474322063690306,5.092148937098967e-05
170,5.986098965421835,5.9948280728327035,5.9943102213482256,5.988392406320958,11.981814832961861,0.0003124174594583287,-0.0011135966597927937,0.00041635688766594796,0.009186112379821395,0.00042938336421207817,-0.0014056461918006136,0.00022451085964852435,0.0003833356009871929,1.6145765925934856,0.07547148135343765,-0.00789994816327744,0.0029536304910681363,2.9088642651866325,0.40586484180992016,1.7462413111920059,4.553202345793396e-05
185,6.181430502482795,6.184621844942375,6.1869540649605215,6.181236735819888,12.36712157410279,0.00014667085151329561,-0.0018151926111877135,0.00033704335694462363,0.007561986247949151,0.00029372676912103174,0.001262993340526819,0.00012327453441605263,0.0003057294376318023,1.4773769405586952,0.05738349451182646,-0.013576749895178796,0.0025209290298797674,5.264695074711748,1.1740854183160065,1.746140686850023,2.07087752692082e-05
265,7.06889913223219,7.073096044987512,7.074697854103455,7.069684936493903,14.14318898390853,0.00022544635019726338,-0.0013861619497846326,0.0002514560334303777,0.005346894323522455,0.0002154759150618227,0.00040800242711558354,0.00014571189265317073,0.0001890271822573362,1.6379430805187492,0.06601050423067828,-0.012986212554709624,0.0023557609910026846,5.123014972060193,1.2617606861880706,1.745139472802542,2.781800661604688e-05
325,7.631471627734288,7.632391878739386,7.629148955988329,7.6335405803215135,15.26327652139176,0.00021538082773358744,-0.0015377058352518728,0.0006030033417215876,0.004546922219483852,0.0005876422111638642,-0.002655937669141739,0.0001816490058800353,0.00014894974264245486,1.7982506202207942,0.23240591350632028,-0.016371137473544548,0.006419875865143782,8.81087194167798,10.92060652326215,1.7445825008502964,2.4617887421291055e-05
425,8.439765086879866,8.436780293535449,8.437816205780589,8.437570180412227,16.875965883304065,0.0002823010379778718,-0.0012980117276728685,0.000542708024324607,0.0030672740927266406,0.0005319550364155964,0.0016154093563880423,0.0001788579523241026,9.087699376547073e-05,1.6966253955893216,0.29424558780891175,-0.016344397354072015,0.006833739390266332,4.811364207809017,4.186532536862055,1.7443064630989282,2.917874618183696e-05
