batch,replica_first,samples,field_sha256,translation_sha256,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im
0,670000,10000,a1f61ff0c7ff791b2c4c44a6134fea559d2b57fe917db026679c3438b575c99e,36b7218cf380b2c70d93ce7d4cd596cb896089cdd4a2a3a6e474a8878631e990,1.4821483875836085e-17,-0.01447213595499957,0.010514622242382676,0.007055728090000848,-0.012310734148701014,0.001304951684997049,0.0017961119063183463,0.028360679774997923,0.038042260651806145,-0.01447213595499958,-0.010514622242382667,0.007055728090000853,0.012310734148701014,0.0013049516849970577,-0.0017961119063183402,0.02836067977499788,-0.03804226065180616,0.013167184270002508,-0.006498393924658137,-0.005304951684997054,-0.01632696246642556,-0.04894427190999915,0.027527638409423492,-0.03505572809000084,-0.01880912807335912
1,680000,10000,53454bc583635c05ed6662559f2b40bde9d0909fb58d524b0ecc2301b2a2e802,053f9dc41c340f85c887124192faf0ab12b71f23b511a7ce66028610ca7512ec,1.8440363494407353e-17,0.029888543819998344,0.025307521998017238,-0.021888543819998302,0.042744542670145935,0.03883281572999748,-0.03402603233408162,0.04494427190999915,-0.02462146829740204,0.029888543819998295,-0.025307521998017283,-0.02188854381999834,-0.042744542670145914,0.038832815729997486,0.03402603233408158,0.04494427190999918,0.024621468297402006,-0.0045835921350012515,0.014106846055019355,0.030472135954999556,-0.038728314352421404,0.047777087639996635,-0.025307521998017293,0.0015278640450004256,0.01051462224238267
2,690000,10000,8345c64fd7846ebd42ec70d075af19f958a757aaa609d83f354d010304b5c9f7,a87e2175e55f812dcc88f932ee47fa949c61bda1b2dcf469e8f1efa6c9231bd5,1.4821483875836085e-17,0.00188854381999829,-0.07027218107956942,-0.03636067977499792,-0.05685138872516527,0.039777087639996656,0.027527638409423454,-0.012944271909999167,-0.00940456403667958,0.0018885438199983352,0.0702721810795694,-0.03636067977499787,0.05685138872516529,0.03977708763999663,-0.02752763840942349,-0.012944271909999156,0.009404564036679575,-0.05177708763999664,0.009404564036679598,0.02152786404500043,-0.017013016167040818,0.06530495168499705,-0.047446824688485746,-0.04400000000000002,-0.03693220244610303
3,700000,10000,c5b007b152c5b3143d8f1f330467e0134e5e0981f5ba80addc17d7bd0b670471,78ea33bc0a346e30e4181122e1da1d4f8fc22cdf4deafc811496fd837cc3f08f,1.8440363494407353e-17,-0.0018885438199982944,0.039838372558124495,-0.007416407864998753,-0.019233132578447,0.00705572809000083,-0.018123074372743884,-0.03294427190999917,-0.018123074372743884,-0.0018885438199983352,-0.03983837255812449,-0.007416407864998722,0.01923313257844701,0.007055728090000856,0.018123074372743908,-0.03294427190999914,0.018123074372743922,0.04494427190999916,0.009404564036679561,0.018111456180001685,0.012310734148701017,0.02836067977499792,0.02863769661512656,0.03177708763999664,0.012310734148700993
4,710000,10000,246e5c8a27759dc27824b26dc951970b15ffbf02261d1ebc7c47c2bef624d067,dbe47950146cd7371d90e56d9c8fa564b6ba043dfb4352a393c8054db6d9eaf6,1.8440363494407353e-17,-0.006111456180001695,-0.039838372558124474,0.019416407864998757,0.04454065457646427,-0.01294427190999916,0.009404564036679568,0.010472135954999564,-0.07566051679852442,-0.006111456180001654,0.03983837255812449,0.019416407864998726,-0.044540654576464285,-0.012944271909999173,-0.009404564036679573,0.010472135954999606,0.07566051679852442,0.03730495168499707,0.004702282018339766,0.01258359213500126,-0.0011100582057031192,-0.01163932022500211,-0.022825356391083677,-0.029527864045000424,-0.056851388725165285
5,720000,10000,b1583b310fd9c3d732637e8ce0dc46798741d0f4b61c19d7173156053d067172,02e7bea3984d919573d24ab8fd77c2008b652fc000bb8d9c96dde68f2754a2f4,1.7690777709386487e-17,0.03541640786499876,0.019919186279062234,-0.020583592135001254,0.0011100582057031166,0.04224922359499625,0.03872831435242137,0.026249223594996252,0.029323750315741803,0.035416407864998736,-0.019919186279062247,-0.020583592135001254,-0.0011100582057030897,0.042249223594996194,-0.038728314352421404,0.026249223594996218,-0.02932375031574181,0.05883281572999746,-0.06736601096754799,0.029167184270002523,-0.015902957961337706,-0.008000000000000021,-0.028213692110038695,-0.007416407864998739,-0.013420792354404104
6,730000,10000,4294729a30fcf15a43257f093ead9d51c777da6674a5dc229e979c7d94f5d699,c46d890e5fb3cfcd98dedf393cfb5f847140bd20b5718414de99128af93edf75,1.3548623466035522e-17,-0.0009442719099991581,0.01231073414870101,0.012944271909999151,-0.04924293659480406,-0.027777087639996624,0.0340260323340816,0.015055728090000834,0.008718510336064321,-0.0009442719099991615,-0.01231073414870101,0.012944271909999173,0.04924293659480406,-0.027777087639996652,-0.03402603233408159,0.015055728090000841,-0.008718510336064342,0.005888543819998318,0.0029061701120214507,0.059777087639996646,-1.8214596497756474e-17,0.008000000000000018,0.024621468297402034,0.016360679774997906,0.006922398429745994
7,740000,10000,4d2d6a051e53ebc65a95cf5ce1c4cb5ab9403755318a7959a1ad532babdedf08,5b747071484e77da1807ce799dc2000a8c577a9889bc1a9db0e9d5eb08e9afb1,2.023017827855918e-17,-0.011055728090000862,-0.05505527681884694,-0.006472135954999561,0.019919186279062237,-0.0378885438199983,0.031119862222060177,-0.017527864045000438,-0.04454065457646427,-0.01105572809000082,0.05505527681884696,-0.0064721359549995945,-0.019919186279062244,-0.03788854381999832,-0.031119862222060132,-0.017527864045000417,0.04454065457646428,-0.0034164078649987478,-0.004702282018339785,0.016944271909999146,-0.04855688289418883,-0.04130495168499706,-0.007608452130361205,-0.006472135954999588,-0.029323750315741828
8,750000,10000,1d935d76255c601e997c3d8e6963a6fcbf0b1d18a3d15608da07fada573955fa,a58778caabae55fbf3c7a21cd5e8b7cabc15116f664c81f95aec4f4d42c5d433,1.49226555887273e-17,-0.010472135954999596,-0.01342079235440412,0.0015278640450004178,0.01991918627906224,0.004000000000000007,0.0029061701120214273,-0.020583592135001272,0.0011100582057031192,-0.010472135954999582,0.01342079235440412,0.0015278640450004108,-0.019919186279062237,0.00399999999999999,-0.0029061701120214516,-0.02058359213500126,-0.001110058205703094,-0.010472135954999575,0.007608452130361236,0.039416407864998705,-0.0568513887251653,0.010832815729997482,-0.0029061701120214525,-0.01505572809000082,0.06736601096754799
9,760000,10000,3a2e3fb4b51ae7e1dc168782c9f9db2b130d2595c9e14442df57b48747bd9dd7,60e9047b55aadee1550cebc68c0d2339e6d960994420572dc23a17a19096723b,1.734723475976807e-17,0.0582492235949962,-0.014106846055019384,-0.01199999999999999,0.018123074372743908,0.010111456180001685,0.015902957961337692,-0.015416407864998741,0.0076084521303612365,0.05824922359499623,0.01410684605501933,-0.012000000000000007,-0.018123074372743894,0.010111456180001678,-0.015902957961337703,-0.015416407864998734,-0.0076084521303612235,0.016944271909999167,-0.0006860537006152436,-0.015416407864998738,0.03222992042776326,-0.003055728090000839,-0.009404564036679563,-0.019639320225002088,0.04744682468848572
10,770000,10000,94922df512c97317df2dd06cd9392f5a5590d660b500a9647cf13010453a9874,ecb67ad3cdd51d24bea266f6110d0509274d9e82ff85ecd98ad6c1293d5fdc03,1.471961680016039e-17,0.032,-0.015216904260722464,0.022472135954999584,0.006922398429745978,0.0030557280900008355,-0.009404564036679577,-0.004360679774997891,0.01120067594299792,0.03200000000000002,0.015216904260722445,0.022472135954999577,-0.0069223984297460016,0.003055728090000846,0.00940456403667957,-0.004360679774997905,-0.011200675942997906,0.01752786404500042,0.004702282018339782,-0.009888543819998326,-0.021029244484765345,-0.00588854381999831,0.014530850560107219,-0.044360679774997885,0.03222992042776328
