batch,replica_first,samples,field_sha256,translation_sha256,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im
0,340000,10000,78503373771c70a919072ce81957d1e4c7f3ed2a6411221e8c3614e4b8cf1cbc,beed24dff239e4d519f6cb3f1b7fb7cd49e3ed7a3d835e8bd132d2a7988bea10,1.0408340855860843e-17,-0.006472135954999573,0.010514622242382681,-0.001527864045000423,-0.0351360905397847,-0.006472135954999591,-0.01410684605501936,-0.019416407864998736,-0.00470228201833978,-0.006472135954999578,-0.01051462224238268,-0.0015278640450004117,0.0351360905397847,-0.006472135954999569,0.014106846055019358,-0.019416407864998746,0.0047022820183397936,-0.01752786404500042,-0.019919186279062237,-0.0015278640450004256,-0.01991918627906225,-0.020944271909999167,-0.015216904260722452,-0.019416407864998757,-0.04454065457646428
1,350000,10000,3b49c8d840bf875e140d344b71a5e85d91298b734029149d70535ed8e792811b,795c24ceba8019562bee96d9723c28fd2cdf3ccf5bb42d3b98893f5cc55bff41,1.8440363494407353e-17,-0.03447213595499958,0.0206052399796775,0.014472135954999577,0.014106846055019365,-0.0055278640450004135,0.00760845213036123,0.02341640786499873,-0.022825356391083695,-0.03447213595499959,-0.020605239979677472,0.014472135954999587,-0.014106846055019355,-0.0055278640450004265,-0.007608452130361229,0.023416407864998746,0.02282535639108368,0.032360679774997896,0.010514622242382655,0.020000000000000014,0.023935414596786796,-0.026832815729997486,-0.021715298185380576,0.028944271909999163,-6.938893903907228e-18
2,360000,10000,50588604c0965b4626ad1a047935be300d032e492fa85a31113ba5afb32ddcc1,1ad1e8a3824bbe0cd06bfcb944c3c99ced65c600b3194575b2cb93dcaccf0c38,1.3548623466035522e-17,-0.002472135954999583,-0.007608452130361229,-0.010472135954999575,-0.013420792354404113,0.03330495168499706,0.007608452130361218,0.02188854381999831,-0.02171529818538059,-0.002472135954999577,0.007608452130361218,-0.010472135954999575,0.013420792354404118,0.03330495168499706,-0.007608452130361238,0.021888543819998326,0.02171529818538058,-0.02588854381999833,-0.009404564036679558,-0.017304951684997055,-0.013420792354404115,0.0064721359549995885,0.010514622242382672,0.0005835921350012614,-0.013420792354404125
3,370000,10000,7e59baa8568258c2e002ff52a09199034d0b1728bedd9fa6a511b60f0527c09a,4b0e5bc5b1c1d2cfb711d757e82038ca5c7de053da1173ca494ebb1ff6dad014,1.8440363494407353e-17,0.013527864045000438,0.04163448446444283,0.007055728090000858,0.04274454267014593,-0.009888543819998333,-0.02102924448476534,-0.009527864045000422,-0.008294505830976469,0.013527864045000407,-0.04163448446444283,0.007055728090000821,-0.04274454267014593,-0.009888543819998305,0.02102924448476534,-0.009527864045000412,0.008294505830976467,0.02247213595499958,0.0011100582057031036,-0.03294427190999916,0.006498393924658138,0.007999999999999998,0.003592223812636658,-0.009527864045000422,0.01410684605501936
4,380000,10000,4a0c2ec386f654b47f297b6a108a24dc4edf8b185f4fe66e4223580a5c187087,26124a23b9739596af0860065e62bd45587f4e42e1ea5e4ec4da67bfd7ac2d2f,1.5515838457795457e-17,0.012583592135001244,-0.0387283143524214,-0.016360679774997902,-0.01051462224238266,-0.012944271909999156,0.011624680448085779,-0.018472135954999587,-0.007608452130361222,0.012583592135001279,0.03872831435242138,-0.016360679774997885,0.01051462224238268,-0.01294427190999917,-0.011624680448085766,-0.018472135954999573,0.007608452130361236,-0.021888543819998333,-0.025307521998017262,0.016000000000000014,0.03402603233408158,0.026249223594996207,-0.04454065457646429,-0.0005835921350012558,0.017013016167040797
5,390000,10000,09eb01018abf767caba4472566b712e30210229aa0ce00dd84bc2a1da6a9c9f5,2c4d6c3bc07021daefb7c1de1f668acfc2e2884f2f18eb00c1b02eb2aa249d60,1.8683543625880677e-17,-0.02305572809000084,0.01812307437274392,-0.02247213595499957,0.023511410091698957,-0.02777708763999664,-0.009404564036679566,0.0009442719099991463,-0.0029061701120214464,-0.02305572809000084,-0.018123074372743905,-0.022472135954999577,-0.023511410091698916,-0.027777087639996638,0.009404564036679582,0.0009442719099991654,0.0029061701120214386,0.014832815729997489,0.018809128073359143,0.05330495168499706,0.035136090539784684,-0.004360679774997892,-0.001796111906318351,0.01199999999999999,-0.008718510336064331
6,400000,10000,aab9761dcd18078677fb8c968eb8e8da25a508452b7181f276384d276c02cb37,7f24a5d67c6822f2bf27c2a30d83228d3b2bb7396f419f5d92e9135089ce84e9,1.6365348541700844e-17,-0.007416407864998727,0.035822144240399936,-0.012944271909999147,0.012996787849316252,-0.021888543819998323,-0.01812307437274389,0.013888543819998305,-0.012310734148701014,-0.007416407864998747,-0.03582214424039994,-0.012944271909999172,-0.012996787849316252,-0.021888543819998316,0.018123074372743922,0.013888543819998326,0.012310734148701003,-0.0363606797749979,0.011200675942997923,-0.03294427190999916,-0.0029061701120214343,-0.012944271909999151,0.0340260323340816,-0.010832815729997478,0.012310734148701017
7,410000,10000,762b42b9e1274c689ac393895ee3bd1c6b60f75e6636d078cafce4ee06302d28,a412e3135e69d0c5b45751e3eb7583826f97299c89a31627e141239854e17fc7,1.6296247535484087e-17,0.05141640786499872,-0.040948430763827606,0.006111456180001679,-0.005812340224042891,0.03141640786499873,-0.017013016167040818,0.009527864045000415,-0.0351360905397847,0.05141640786499876,0.040948430763827565,0.006111456180001679,0.005812340224042886,0.031416407864998754,0.017013016167040783,0.00952786404500044,0.0351360905397847,-0.008583592135001258,0.007608452130361234,-0.019416407864998757,-0.044540654576464264,0.02588854381999831,0.0035922238126366874,-0.010472135954999585,-0.013420792354404118
8,420000,10000,b39bf95574583554c38260eb3213e55e404e902c019b560624c49eb53fcd6a63,ee9c394e9770eb73340347c0b00c38dd275e4517d4e32cb154320af2101fde4e,1.8440363494407353e-17,-0.021888543819998333,-0.027527638409423467,-0.03483281572999749,-0.008718510336064321,-0.018472135954999577,0.007608452130361236,-0.002472135954999591,-0.022825356391083677,-0.02188854381999831,0.02752763840942348,-0.03483281572999749,0.008718510336064342,-0.018472135954999587,-0.0076084521303612235,-0.0024721359549995693,0.02282535639108368,-0.012944271909999163,-0.015216904260722457,0.009888543819998317,-0.009404564036679575,-0.007416407864998736,0.013420792354404116,0.0064721359549995815,0.004702282018339776
9,430000,10000,963d63940e8866a99e56b7a5c1eae6a9ababbe66a79813d6d98530e2fa1053d6,61c0c818f42a064eff500ae7dc8bea47ca04df4cc2b0932338256ba3d1a13e1f,2.023017827855918e-17,-0.04224922359499621,0.02573152650310515,0.0015278640450004316,0.02213930269046844,-0.015416407864998746,-0.017013016167040786,0.015999999999999993,-0.009404564036679575,-0.042249223594996235,-0.025731526503105107,0.0015278640450004108,-0.022139302690468446,-0.015416407864998724,0.017013016167040807,0.016000000000000007,0.00940456403667957,-0.00988854381999832,-0.021029244484765335,-0.03977708763999663,0.021715298185380608,0.02588854381999834,0.04565071278216737,-0.012944271909999158,0.00940456403667957
