batch,replica_first,samples,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im,field_sha256,translation_sha256
0,0,10000,1.6365348541700844e-17,0.007055728090000818,-0.06736601096754796,-0.007639320225002098,0.014106846055019353,0.019416407864998732,-0.038728314352421384,0.0013049516849970664,0.02282535639108369,0.007055728090000872,0.06736601096754795,-0.007639320225002102,-0.014106846055019344,0.019416407864998767,0.038728314352421384,0.0013049516849970456,-0.02282535639108369,-0.02188854381999831,0.03693220244610306,0.03316718427000251,-0.034026032334081614,0.07177708763999664,0.012310734148701001,-0.025527864045000397,0.050352994800507166,98193a90dc06852617a8a3d50a84b4e34fc529e3f1ad8410403d04df5f09dcfa,7d301247aaf902c04b060eca2214ddee762acd7e3b6b625f8907a6fca89c9a6c
1,10000,10000,1.3548623466035522e-17,0.012944271909999154,-0.009404564036679577,-0.01999999999999999,0.031119862222060167,-0.0015278640450004273,-0.004702282018339781,-0.0544721359549996,0.001110058205703127,0.012944271909999161,0.009404564036679563,-0.020000000000000018,-0.031119862222060146,-0.001527864045000417,0.004702282018339785,-0.05447213595499959,-0.0011100582057030836,-0.05730495168499706,-0.02282535639108365,-0.02894427190999916,-0.015216904260722459,0.03847213595499958,-0.0011100582057031252,0.026832815729997475,0.02171529818538056,1e21d2b5541161b72486e82ff940c5f55587284d513ea3ff31c85fce70e7ee7f,0f72221f9522d954bd56dda193f55ff9f40cb606c54db2baac9f18c438a51344
2,20000,10000,1.8440363494407353e-17,0.02530495168499706,0.00760845213036122,0.030249223594996214,-0.007608452130361242,0.019777087639996634,-0.009404564036679573,0.034472135954999594,-0.011200675942997923,0.025304951684997058,-0.007608452130361243,0.030249223594996218,0.0076084521303612105,0.01977708763999664,0.00940456403667957,0.0344721359549996,0.011200675942997906,-0.013888543819998324,-0.027527638409423478,-0.04683281572999748,0.007184447625273397,-0.027055728090000848,-0.028213692110038692,-0.011055728090000846,0.018809128073359136,b63f7146c799c9d56d7c282100114eeaca283eff6c0c4f2fd201e977433c591d,285adbcdaef14ed4b80e4d220fd75ba87c9a86522f6bc7fdd02892a61298a2b9
3,30000,10000,1.734723475976807e-17,-0.017665631459994946,0.027527638409423485,-0.04377708763999664,-0.024621468297402006,0.012583592135001273,0.03513609053978469,-0.013527864045000426,0.007608452130361231,-0.017665631459994974,-0.027527638409423467,-0.04377708763999663,0.02462146829740205,0.01258359213500125,-0.035136090539784705,-0.013527864045000414,-0.007608452130361222,0.026249223594996242,0.0655698990612296,0.03541640786499876,0.004702282018339764,0.00494427190999914,-0.02102924448476534,-0.01905572809000084,0.005812340224042898,3fa25450be938444d373cabeae456bd0b2540296f9c4302a989372b24b608400,3d7f9bf6e8e32fdbad8de12fae0efe92b4197e949e57fdc58eda6d666b212d36
4,40000,10000,1.8683543625880677e-17,0.011416407864998729,-0.014106846055019356,-0.039777087639996656,-0.018123074372743887,0.00588854381999833,0.015902957961337692,-0.02400000000000001,-0.00940456403667956,0.01141640786499875,0.01410684605501936,-0.03977708763999663,0.018123074372743925,0.00588854381999831,-0.015902957961337703,-0.023999999999999997,0.009404564036679584,-0.02988854381999833,-0.021715298185380573,-0.021888543819998326,0.02752763840942349,-0.0043606797749979,0.007608452130361225,0.0049442719099991785,0.04924293659480406,bce21a7192a8b2df7e7f63f18148f593065d4e301fb0ba4729a5ed415cbc993e,ff974bf2a00add0130915b9dd4dd49405fcb3d011aa9e58c8cefbfeb5293e469
5,50000,10000,2.023017827855918e-17,0.007416407864998743,-0.022825356391083695,0.021888543819998295,-0.0521491067068255,0.012944271909999167,0.01521690426072245,-0.02152786404500041,0.007608452130361227,0.00741640786499875,0.022825356391083688,0.021888543819998347,0.0521491067068255,0.01294427190999915,-0.015216904260722468,-0.02152786404500043,-0.007608452130361212,-0.024944271909999156,-0.021715298185380573,0.0005835921350012697,0.035822144240399936,0.03424922359499622,0.010514622242382662,-0.030472135954999594,-0.01991918627906223,a4e5d14362260522853d9d79459b43bcae44e2d06606cf5f0c5920cd1af6d083,c4ec3cec6919e93104bcb4f9a18e8ebdffd747ffd5606d51cd1234d2cdc046eb
6,60000,10000,2.0816681711721685e-17,-0.029304951684997062,0.004702282018339794,-0.046832815729997486,-0.0058123402240428754,0.000944271909999165,0.012310734148701014,-0.02341640786499876,-0.03222992042776324,-0.029304951684997062,-0.004702282018339776,-0.04683281572999747,0.00581234022404291,0.0009442719099991542,-0.012310734148701024,-0.02341640786499872,0.03222992042776326,0.00647213595499958,-0.0011100582057031027,-0.0034164078649987425,0.0047022820183397936,0.02436067977499791,0.02932375031574179,-0.011055728090000825,0.02821369211003872,f9d5f8ac25ad659966fbe9d29c8cb2c08d49dc08416d9b99db7026adcef471e3,55693979fded9b546498e8b532d3112b70ffc1c1abb536680d74132c10761646
7,70000,10000,1.8440363494407353e-17,-0.016944271909999187,-0.07899069141563371,0.01199999999999999,-0.015902957961337703,-0.02377708763999664,-0.012310734148701007,-0.014832815729997454,0.043430596370761174,-0.016944271909999125,0.07899069141563375,0.012000000000000005,0.0159029579613377,-0.023777087639996627,0.012310734148701027,-0.0148328157299975,-0.04343059637076116,0.020944271909999174,0.009404564036679554,-0.002472135954999572,0.017013016167040797,0.0009442719099991576,-0.014530850560107219,0.015416407864998727,-0.0532591649125286,f78ec955d27a4b57cb5712f8b135e767c693acacda462e38b98853398aa75234,ae7be89bff5d8124c7a08d23f6aac5f414e8d845e57e7059225e2c94079887da
8,80000,10000,1.6296247535484087e-17,0.021527864045000428,0.005388335718955029,-0.011999999999999983,0.027527638409423467,0.015999999999999993,-0.024621468297402027,-0.02988854381999831,0.021715298185380594,0.021527864045000428,-0.005388335718955029,-0.012000000000000021,-0.027527638409423467,0.016000000000000014,0.02462146829740203,-0.029888543819998337,-0.021715298185380576,0.059416407864998744,0.010514622242382657,-0.012000000000000004,-0.008718510336064337,0.039416407864998754,-0.0017961119063183509,-0.047777087639996635,0.0029061701120214603,5e431db6ef5d411942f2b63be04d0f38c25b64f4c4e37e6883f9a6576193c62c,8c6e849a967bdbe62d22d9cdad5e7d8ff6df29055cc72554b52389f7360947a6
9,90000,10000,2.359479019930958e-17,0.012944271909999151,-0.02462146829740203,-0.013527864045000414,0.001796111906318352,-0.0015278640450004074,0.014106846055019355,-0.04588854381999835,-0.012310734148700991,0.012944271909999167,0.024621468297402024,-0.013527864045000417,-0.001796111906318339,-0.0015278640450004342,-0.014106846055019351,-0.04588854381999831,0.012310734148701027,-0.0015278640450004078,0.01410684605501936,0.000944271909999149,-0.006498393924658127,0.027416407864998736,-0.010514622242382686,-0.022472135954999597,-0.014106846055019353,e2c74348d17d508a5875a97c1df2179e3f5c4f23864abae4e137766ac2aa0815,00ee43ccf70272b835ecbacf83f856750ef64d5d2ff960eb9cb1dca725d19ba0
