batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,8015889,8015889,5308877,5308877,64280561199,42641208886,42641208886,28648557651,1740100,1152628,1152628,769036
1,1000,7992963,7992963,5233558,5233558,63915955337,41919111321,41919111321,27832308332,1732738,1135067,1135067,746204
2,1000,8004911,8004911,5283021,5283021,64105663355,42377583620,42377583620,28359442979,1738930,1146723,1146723,760982
3,1000,7999717,7999717,5274960,5274960,64020777641,42277196451,42277196451,28243959118,1737886,1145240,1145240,756106
4,1000,8005437,8005437,5263973,5263973,64114820283,42229629322,42229629322,28172304931,1738318,1144503,1144503,755480
5,1000,7997330,7997330,5236208,5236208,63985083798,41968641877,41968641877,27920464070,1737566,1136735,1136735,747734
6,1000,8004337,8004337,5301235,5301235,64095135323,42510337888,42510337888,28511590867,1737874,1153016,1153016,765444
7,1000,8003383,8003383,5264048,5264048,64083483203,42224990665,42224990665,28191648888,1736116,1144093,1144093,756912
8,1000,8000983,8000983,5264068,5264068,64044001003,42212618114,42212618114,28206717584,1736600,1143305,1143305,755126
9,1000,7998908,7998908,5273044,5273044,64009640884,42267451183,42267451183,28270866328,1734224,1145780,1145780,757924
10,1000,8001682,8001682,5276801,5276801,64054266348,42307854553,42307854553,28294885171,1734600,1146742,1146742,757326
11,1000,8009373,8009373,5303014,5303014,64177524661,42558585048,42558585048,28570429648,1740234,1150883,1150883,768100
12,1000,7998621,7998621,5269546,5269546,64005809685,42240258155,42240258155,28253850648,1732748,1143892,1143892,761304
13,1000,8013935,8013935,5296087,5296087,64250272691,42528764406,42528764406,28506961789,1741834,1152879,1152879,763448
14,1000,7996480,7996480,5221778,5221778,63972759358,41847765763,41847765763,27746874620,1733998,1134363,1134363,742422
15,1000,8005677,8005677,5275853,5275853,64120524859,42331839627,42331839627,28314475641,1739146,1146503,1146503,757284
16,1000,8004687,8004687,5271982,5271982,64101496865,42286210154,42286210154,28247013352,1737324,1145080,1145080,757678
17,1000,8004967,8004967,5271003,5271003,64107412479,42282333489,42282333489,28235677505,1737104,1145264,1145264,755542
18,1000,8001507,8001507,5270965,5270965,64050734985,42265060826,42265060826,28268179951,1737392,1145268,1145268,758180
19,1000,7999920,7999920,5263440,5263440,64027343582,42196219431,42196219431,28155081504,1736242,1142321,1142321,753202
20,1000,8011148,8011148,5337626,5337626,64207610294,42849801554,42849801554,28936180748,1737454,1159815,1159815,776936
21,1000,8001148,8001148,5258365,5258365,64046019196,42162537004,42162537004,28119784499,1736442,1144531,1144531,756370
22,1000,7996814,7996814,5257800,5257800,63977054036,42136659980,42136659980,28123606596,1737324,1141347,1141347,757872
23,1000,8002913,8002913,5263188,5263188,64074805759,42212586539,42212586539,28182709762,1738320,1146486,1146486,759472
24,1000,8009614,8009614,5293327,5293327,64182987744,42491359610,42491359610,28515349519,1738734,1149358,1149358,765498
25,1000,8003744,8003744,5260382,5260382,64086313776,42184438457,42184438457,28123306164,1737522,1141529,1141529,753428
26,1000,7992246,7992246,5224991,5224991,63901004940,41837899438,41837899438,27727811455,1732568,1133540,1133540,744310
27,1000,8004638,8004638,5288336,5288336,64101052556,42418018995,42418018995,28437165242,1737200,1149953,1149953,763060
28,1000,8007785,8007785,5269673,5269673,64153795317,42293705891,42293705891,28254508045,1736938,1146379,1146379,757438
29,1000,7998115,7998115,5263828,5263828,63998759529,42191700335,42191700335,28175302776,1734174,1143237,1143237,755534
30,1000,8005669,8005669,5277120,5277120,64117721945,42335552075,42335552075,28317416358,1738150,1145822,1145822,758874
31,1000,8000980,8000980,5265656,5265656,64041779054,42215351555,42215351555,28175695166,1736978,1143126,1143126,755042
32,1000,8008279,8008279,5300417,5300417,64158873145,42531544524,42531544524,28537184433,1742278,1153385,1153385,767054
33,1000,8005861,8005861,5280732,5280732,64120368011,42360665076,42360665076,28325849978,1738676,1147510,1147510,756908
34,1000,8000334,8000334,5265022,5265022,64035198416,42220039283,42220039283,28212240970,1736268,1145012,1145012,756430
35,1000,8000360,8000360,5258015,5258015,64031214886,42146011608,42146011608,28091801273,1735550,1143321,1143321,754224
36,1000,8001796,8001796,5265880,5265880,64056663528,42228426536,42228426536,28204689938,1738578,1143716,1143716,756980
37,1000,8000357,8000357,5262533,5262533,64032427573,42185422515,42185422515,28133258873,1736122,1143361,1143361,756796
38,1000,8002538,8002538,5288480,5288480,64068355956,42407549392,42407549392,28415108838,1738264,1145903,1145903,762352
39,1000,8002794,8002794,5290636,5290636,64070774770,42423908830,42423908830,28449502434,1737328,1149567,1149567,767108
40,1000,7998109,7998109,5226117,5226117,63998395851,41890358192,41890358192,27797599561,1734734,1133154,1133154,742840
41,1000,8005030,8005030,5290384,5290384,64108001000,42435639389,42435639389,28424684176,1741410,1150274,1150274,763782
42,1000,7995712,7995712,5240142,5240142,63958413196,41985757419,41985757419,27937086402,1735604,1139255,1139255,752404
43,1000,7999381,7999381,5264120,5264120,64016891407,42196270566,42196270566,28165463490,1735406,1144436,1144436,757758
44,1000,8007331,8007331,5284946,5284946,64142713115,42399994820,42399994820,28383425000,1742402,1148990,1148990,759660
45,1000,7997690,7997690,5244402,5244402,63989512726,42027387027,42027387027,27958248202,1733454,1138309,1138309,750156
46,1000,8005728,8005728,5299615,5299615,64115172378,42502390077,42502390077,28501823731,1738968,1149862,1149862,763268
47,1000,8006638,8006638,5270223,5270223,64133553180,42283520982,42283520982,28238364479,1737638,1144741,1144741,758376
48,1000,7999105,7999105,5260685,5260685,64013401907,42174198822,42174198822,28171127297,1738726,1141386,1141386,752564
