batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,3555932,3555932,2487574,2487574,12656547520,8875648618,8875648618,6307992774,772044,539537,539537,380124
1,1000,3556400,3556400,2480851,2480851,12659050386,8852052432,8852052432,6270664767,772270,540134,540134,378714
2,1000,3558582,3558582,2488134,2488134,12675513558,8885859970,8885859970,6321558714,773946,540953,540953,382008
3,1000,3555862,3555862,2487196,2487196,12655377592,8874232181,8874232181,6308907212,771088,539606,539606,379228
4,1000,3555907,3555907,2473479,2473479,12656408005,8827391331,8827391331,6246706879,772534,539108,539108,376110
5,1000,3562026,3562026,2509343,2509343,12699248220,8967931210,8967931210,6414511861,777174,544998,544998,385750
6,1000,3559700,3559700,2490870,2490870,12684386860,8900550988,8900550988,6334504438,773070,541236,541236,382272
7,1000,3563349,3563349,2505164,2505164,12709577745,8957951031,8957951031,6398799246,774266,546455,546455,385190
8,1000,3559872,3559872,2496666,2496666,12684290118,8916739909,8916739909,6351358748,774254,543030,543030,382806
9,1000,3559158,3559158,2495522,2495522,12678614702,8909969626,8909969626,6339040280,772540,542529,542529,381988
10,1000,3563232,3563232,2505469,2505469,12707177362,8954663971,8954663971,6390218577,776094,544311,544311,385644
11,1000,3555903,3555903,2491253,2491253,12655388023,8886557665,8886557665,6322834583,771550,540643,540643,379852
12,1000,3554863,3554863,2484596,2484596,12648672217,8862937900,8862937900,6293267354,771562,538532,538532,378108
13,1000,3558518,3558518,2483311,2483311,12675217162,8869737501,8869737501,6294753773,772770,539423,539423,377592
14,1000,3556141,3556141,2480896,2480896,12657878641,8852691452,8852691452,6280647276,772168,539659,539659,379102
15,1000,3554481,3554481,2474111,2474111,12646330201,8826570488,8826570488,6250743347,770226,537357,537357,375472
16,1000,3555755,3555755,2491938,2491938,12655132041,8891774835,8891774835,6336710794,771834,541154,541154,383060
17,1000,3555138,3555138,2478280,2478280,12651231888,8842450146,8842450146,6271810758,771672,539425,539425,377512
18,1000,3564887,3564887,2506817,2506817,12720598367,8967427103,8967427103,6407782673,775636,545632,545632,385906
19,1000,3555511,3555511,2474077,2474077,12652355409,8824815241,8824815241,6239998277,770482,536784,536784,374890
20,1000,3557586,3557586,2483954,2483954,12667446948,8865904568,8865904568,6291585500,771768,538800,538800,379392
21,1000,3558594,3558594,2504103,2504103,12673821010,8938837511,8938837511,6389122909,771804,544466,544466,384616
22,1000,3557328,3557328,2489728,2489728,12666420166,8888674721,8888674721,6328835120,772974,540961,540961,381178
23,1000,3552931,3552931,2483541,2483541,12635085543,8854591734,8854591734,6291057313,769286,538829,538829,378670
24,1000,3556351,3556351,2477640,2477640,12659348809,8842920279,8842920279,6268074572,771616,537968,537968,377428
25,1000,3559659,3559659,2506907,2506907,12682506469,8954457777,8954457777,6408282251,773902,544209,544209,385800
26,1000,3554252,3554252,2479234,2479234,12643598096,8839523417,8839523417,6259833324,772366,537979,537979,375890
27,1000,3559997,3559997,2497003,2497003,12685243395,8919077869,8919077869,6354663887,773456,542439,542439,381888
28,1000,3561046,3561046,2495613,2495613,12692536882,8916453736,8916453736,6343743185,775292,542956,542956,382348
29,1000,3557179,3557179,2497887,2497887,12665178787,8915945423,8915945423,6358348139,774612,543002,543002,382806
30,1000,3561500,3561500,2510979,2510979,12695352102,8970984050,8970984050,6414761195,773444,546227,546227,384614
31,1000,3558794,3558794,2495717,2495717,12675868976,8910056730,8910056730,6349159487,772188,542249,542249,382000
32,1000,3560428,3560428,2494738,2494738,12688690930,8914888855,8914888855,6356542114,774996,543186,543186,383798
33,1000,3559327,3559327,2506653,2506653,12680978109,8953689509,8953689509,6408515155,774372,544736,544736,385848
34,1000,3562200,3562200,2501921,2501921,12701428432,8944136202,8944136202,6386233927,773074,544273,544273,385198
35,1000,3558609,3558609,2489308,2489308,12675330401,8889734462,8889734462,6329319458,772750,542264,542264,382866
36,1000,3554523,3554523,2488187,2488187,12646356445,8874864334,8874864334,6315170969,771812,538715,538715,381006
37,1000,3565597,3565597,2515113,2515113,12725332511,8997950152,8997950152,6446328063,778658,546664,546664,388630
38,1000,3558862,3558862,2487156,2487156,12676682246,8879906878,8879906878,6305573858,774040,541459,541459,380158
39,1000,3559086,3559086,2494294,2494294,12679169158,8908429993,8908429993,6346315910,774600,542146,542146,381984
40,1000,3555855,3555855,2494793,2494793,12655836233,8901932754,8901932754,6347450003,773122,542731,542731,382754
41,1000,3556385,3556385,2486107,2486107,12659365281,8872702234,8872702234,6310409221,771698,541088,541088,382678
42,1000,3562043,3562043,2506148,2506148,12700388507,8959800687,8959800687,6407482176,775250,543999,543999,385804
43,1000,3559775,3559775,2495297,2495297,12683802259,8914220264,8914220264,6351804589,771858,542098,542098,381164
44,1000,3567177,3567177,2510178,2510178,12736268681,8984727414,8984727414,6423729726,776128,546355,546355,386178
45,1000,3556979,3556979,2488343,2488343,12664370009,8882970981,8882970981,6313493255,771854,541201,541201,379106
46,1000,3560503,3560503,2493579,2493579,12688960525,8909458350,8909458350,6343465439,773132,542496,542496,383526
47,1000,3556415,3556415,2483344,2483344,12660223747,8864040596,8864040596,6298394582,772972,540513,540513,378138
48,1000,3561401,3561401,2504751,2504751,12695171765,8950365429,8950365429,6397153865,775020,544998,544998,385882
49,1000,3555330,3555330,2491335,2491335,12651582150,8886761142,8886761142,6321337561,771138,540667,540667,380486
50,1000,3555533,3555533,2483708,2483708,12655049611,8865694355,8865694355,6305232648,769422,538446,538446,378142
51,1000,3558905,3558905,2499569,2499569,12678378479,8928516444,8928516444,6376610247,771368,543680,543680,383918
52,1000,3562743,3562743,2508103,2508103,12705208495,8967849133,8967849133,6417817241,773780,546138,546138,386730
53,1000,3559275,3559275,2513278,2513278,12680565583,8977089925,8977089925,6439595566,773622,547530,547530,389508
54,1000,3553668,3553668,2488159,2488159,12639018672,8870569534,8870569534,6308929101,769380,538310,538310,380916
55,1000,3560349,3560349,2500998,2500998,12687641451,8934853646,8934853646,6377195672,772658,542462,542462,385070
56,1000,3560413,3560413,2501410,2501410,12688577855,8937184462,8937184462,6376528198,773866,544389,544389,383074
57,1000,3561698,3561698,2501756,2501756,12697313520,8940238139,8940238139,6376059018,774004,543563,543563,383558
58,1000,3564837,3564837,2510662,2510662,12719814459,8980908475,8980908475,6429658630,774710,546815,546815,387088
59,1000,3563056,3563056,2512279,2512279,12707061790,8982079597,8982079597,6434525367,774402,545284,545284,387666
60,1000,3559946,3559946,2501910,2501910,12685183168,8937598920,8937598920,6382095330,774484,544300,544300,384390
61,1000,3554998,3554998,2477716,2477716,12650011544,8841119766,8841119766,6271125606,770308,538082,538082,377622
62,1000,3558506,3558506,2495590,2495590,12675142236,8912762867,8912762867,6356771244,772516,542139,542139,384240
63,1000,3559346,3559346,2494119,2494119,12681131156,8909874015,8909874015,6353764467,773078,542392,542392,380744
64,1000,3557892,3557892,2496461,2496461,12670340160,8912029557,8912029557,6351850317,772386,542668,542668,382530
65,1000,3559930,3559930,2493637,2493637,12685059582,8909091797,8909091797,6344714559,773206,542471,542471,382534
66,1000,3556319,3556319,2484338,2484338,12659198125,8864494431,8864494431,6286016642,772194,539117,539117,377366
67,1000,3561682,3561682,2510613,2510613,12697649646,8973874873,8973874873,6429409991,775444,546006,546006,388646
68,1000,3557730,3557730,2495118,2495118,12669504188,8908753643,8908753643,6351004838,770374,542110,542110,381598
69,1000,3557184,3557184,2491124,2491124,12665696618,8893644088,8893644088,6336737420,773442,540617,540617,382484
70,1000,3551804,3551804,2473908,2473908,12627271308,8819050110,8819050110,6251236168,770914,536201,536201,375208
71,1000,3562800,3562800,2507309,2507309,12705232324,8963753785,8963753785,6411005103,776358,545063,545063,386944
72,1000,3560513,3560513,2499880,2499880,12688125529,8928896769,8928896769,6366490666,772786,542415,542415,381960
73,1000,3562609,3562609,2514449,2514449,12703810171,8988294303,8988294303,6443046741,772468,546832,546832,387644
74,1000,3561969,3561969,2497789,2497789,12698927887,8927852177,8927852177,6363405481,773622,543783,543783,384710
75,1000,3556332,3556332,2499055,2499055,12658671358,8917139749,8917139749,6366955211,771254,542370,542370,382276
76,1000,3553573,3553573,2472042,2472042,12639758837,8815939246,8815939246,6238648566,770942,536637,536637,375356
77,1000,3557436,3557436,2500750,2500750,12667519868,8927692517,8927692517,6377284180,773600,544902,544902,385134
78,1000,3561844,3561844,2506858,2506858,12698950384,8961277713,8961277713,6411445274,773534,544363,544363,384110
79,1000,3560077,3560077,2490963,2490963,12686053241,8899089045,8899089045,6329686273,773720,540846,540846,379338
80,1000,3563527,3563527,2503968,2503968,12711011219,8955340644,8955340644,6396580092,776518,545625,545625,385326
81,1000,3560262,3560262,2483187,2483187,12686708256,8870674596,8870674596,6288040535,773966,539985,539985,378880
82,1000,3564743,3564743,2507606,2507606,12719560821,8970014388,8970014388,6411552408,775212,544708,544708,385838
83,1000,3563761,3563761,2509881,2509881,12712473151,8976794198,8976794198,6424609149,774968,547587,547587,386724
84,1000,3557600,3557600,2494716,2494716,12668276560,8906005253,8906005253,6347873218,772366,540891,540891,379760
85,1000,3557376,3557376,2496108,2496108,12666921280,8911280601,8911280601,6359052674,773184,542266,542266,382976
86,1000,3566160,3566160,2519165,2519165,12729766716,9015476494,9015476494,6469290013,774962,547890,547890,388298
87,1000,3559798,3559798,2490474,2490474,12682697714,8893551160,8893551160,6315359586,772752,541459,541459,381900
88,1000,3564137,3564137,2512428,2512428,12714265203,8985450452,8985450452,6437500042,774810,547752,547752,387564
89,1000,3555447,3555447,2485499,2485499,12652338711,8866324868,8866324868,6300815673,772510,539549,539549,380880
90,1000,3553154,3553154,2463348,2463348,12636834332,8783815348,8783815348,6191212772,769994,534239,534239,371320
91,1000,3552833,3552833,2474109,2474109,12635058939,8823282776,8823282776,6253529315,770332,536720,536720,376550
92,1000,3557703,3557703,2494640,2494640,12668597565,8905542375,8905542375,6345861010,772712,541630,541630,384214
93,1000,3557232,3557232,2493726,2493726,12665724596,8901056752,8901056752,6337440986,772738,541684,541684,380792
94,1000,3557288,3557288,2505677,2505677,12666652858,8946446109,8946446109,6411400471,771530,544635,544635,386092
95,1000,3564638,3564638,2512189,2512189,12718952480,8986371240,8986371240,6434166601,776110,546285,546285,386706
96,1000,3557716,3557716,2487713,2487713,12669280152,8881609186,8881609186,6314299591,771366,541571,541571,379636
97,1000,3557990,3557990,2485072,2485072,12671283482,8872757531,8872757531,6298632272,772166,539565,539565,378524
98,1000,3557131,3557131,2478335,2478335,12664531489,8846926315,8846926315,6271081211,772614,537579,537579,377444
99,1000,3552222,3552222,2472113,2472113,12630024938,8811563904,8811563904,6230670407,771692,534851,534851,374376
