batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
0,1000,891071,891071,722918,722918,796797005,648871492,648871492,532885678,194428,157337,157337,128740
1,1000,894800,894800,725713,725713,803421656,653896351,653896351,536543259,194892,158026,158026,128880
2,1000,891913,891913,719218,719218,798212023,646309187,646309187,528460632,195084,157033,157033,127912
3,1000,890744,890744,721249,721249,796221380,647266160,647266160,531060057,194320,157057,157057,127534
4,1000,892569,892569,719173,719173,799090227,646130910,646130910,527015859,194628,156270,156270,127236
5,1000,890615,890615,721286,721286,796138685,647406146,647406146,531263814,194178,157115,157115,127668
6,1000,892368,892368,723594,723594,798793446,649925725,649925725,533312780,194570,157615,157615,128198
7,1000,890582,890582,717891,717891,795754440,643976954,643976954,526017657,193540,156027,156027,127312
8,1000,891324,891324,720159,720159,797137016,646555616,646555616,529081651,194276,156140,156140,126662
9,1000,890911,890911,724296,724296,796377875,649995566,649995566,535416004,194780,157511,157511,128650
10,1000,892893,892893,723660,723660,800138051,651184316,651184316,535005838,193516,157516,157516,128178
11,1000,890827,890827,719933,719933,796318397,646065778,646065778,528690959,193998,156051,156051,126792
12,1000,890586,890586,719912,719912,795932108,645966784,645966784,529145362,193088,156967,156967,127110
13,1000,892666,892666,721102,721102,799790000,648746806,648746806,531401996,194790,157477,157477,127592
14,1000,890591,890591,719589,719589,795689139,645199468,645199468,527742045,192938,155922,155922,126402
15,1000,892479,892479,723230,723230,799034101,649810277,649810277,533094006,194950,158091,158091,127334
16,1000,891946,891946,719372,719372,798225592,646389666,646389666,528607854,194688,156572,156572,127118
17,1000,893442,893442,723447,723447,801001994,651168079,651168079,534066489,194756,157858,157858,128142
18,1000,891107,891107,719400,719400,796923375,645859078,645859078,528041032,193024,156487,156487,127604
19,1000,892749,892749,726654,726654,799931999,653714197,653714197,539175376,195020,158877,158877,129840
20,1000,892566,892566,721180,721180,799267372,648175862,648175862,530188220,194260,158477,158477,127846
21,1000,890911,890911,722128,722128,796584053,648209330,648209330,532163810,193532,157257,157257,127758
22,1000,890412,890412,718656,718656,795579002,644735982,644735982,527315468,192782,156289,156289,126584
23,1000,892582,892582,724955,724955,799618664,652053157,652053157,536440057,193960,158396,158396,128764
24,1000,890659,890659,720183,720183,796045379,646336257,646336257,530046607,193462,156858,156858,127608
25,1000,890134,890134,718479,718479,795223578,644495641,644495641,527265919,194016,156220,156220,127100
26,1000,889565,889565,719201,719201,793986555,644345900,644345900,527708019,194080,157044,157044,128034
27,1000,893398,893398,721909,721909,801036362,649753879,649753879,531558333,194610,157248,157248,127616
28,1000,887814,887814,713420,713420,791058272,638422194,638422194,520365130,192014,155362,155362,124968
29,1000,891488,891488,721368,721368,797589780,647972900,647972900,531151302,193380,156810,156810,127288
30,1000,891955,891955,722098,722098,798445795,648977184,648977184,532306318,194644,158234,158234,128262
31,1000,892394,892394,721467,721467,799089918,648610640,648610640,531250979,194870,157763,157763,128204
32,1000,891549,891549,720423,720423,797772745,647267924,647267924,530122809,194612,157329,157329,127932
33,1000,892583,892583,723833,723833,799621663,651184506,651184506,535356197,194258,158167,158167,128554
34,1000,888791,888791,716493,716493,792699943,641463806,641463806,523746153,193816,156389,156389,126492
