batch,samples,sum_L1,sum_L2,sum_D1,sum_D2,sum_product_LL,sum_product_L1D2,sum_product_D1L2,sum_product_DD,sum_four_LL,sum_four_L1D2,sum_four_D1L2,sum_four_DD
85,1000,893025,893025,686277,686277,800334513,618142523,618142523,484970611,194680,150190,150190,116810
86,1000,890807,890807,682298,682298,796446923,613592855,613592855,480935202,194200,149300,149300,115018
87,1000,889671,889671,681377,681377,794308515,611713224,611713224,479259953,192222,147309,147309,113840
88,1000,892186,892186,683825,683825,799070958,616091562,616091562,483376351,194048,148923,148923,115382
89,1000,891895,891895,682880,682880,798181925,614483899,614483899,481723670,194400,149060,149060,115300
90,1000,891917,891917,685091,685091,798232565,616574147,616574147,484830007,193822,149328,149328,115622
91,1000,892103,892103,684774,684774,798698677,616538363,616538363,484439278,193958,149877,149877,115644
92,1000,893187,893187,689477,689477,800564911,621452347,621452347,490832231,195192,150484,150484,117782
93,1000,890777,890777,683590,683590,796157471,614297666,614297666,482168942,193454,148646,148646,115518
94,1000,889201,889201,677867,677867,793589115,608605844,608605844,475254481,192716,147275,147275,113578
95,1000,889642,889642,676416,676416,794178156,607009605,607009605,471649184,193782,146819,146819,112578
96,1000,892054,892054,684966,684966,798554118,616680134,616680134,484752654,194170,150039,150039,115944
97,1000,893418,893418,689211,689211,800930854,620952316,620952316,489050953,195456,150369,150369,117086
98,1000,889978,889978,679246,679246,794789874,609948327,609948327,476819380,192690,148074,148074,113526
99,1000,892027,892027,683898,683898,798420663,615311049,615311049,482517624,194598,148884,148884,114950
