n,a,b,orientation,batch,samples,tau1,tau2,kind,ell_x,ell_y,count
85,9,2,first,0,10000,25,52,LINE,0,1,1
85,9,2,first,0,10000,25,55,LINE,1,0,1
85,9,2,first,0,10000,27,48,LINE,0,1,1
85,9,2,first,0,10000,28,45,LINE,0,1,1
85,9,2,first,0,10000,28,50,LINE,0,1,1
85,9,2,first,0,10000,28,53,LINE,0,1,1
85,9,2,first,0,10000,28,53,LINE,1,0,1
85,9,2,first,0,10000,28,54,LINE,0,1,1
85,9,2,first,0,10000,28,54,LINE,1,0,1
85,9,2,first,0,10000,28,61,LINE,1,0,1
85,9,2,first,0,10000,29,57,LINE,1,0,1
85,9,2,first,0,10000,29,58,LINE,1,0,1
85,9,2,first,0,10000,30,47,LINE,1,0,1
85,9,2,first,0,10000,30,48,LINE,0,1,1
85,9,2,first,0,10000,30,51,LINE,0,1,1
85,9,2,first,0,10000,30,55,LINE,0,1,1
85,9,2,first,0,10000,30,56,LINE,0,1,1
85,9,2,first,0,10000,30,58,LINE,1,0,1
85,9,2,first,0,10000,30,60,LINE,0,1,1
85,9,2,first,0,10000,31,41,LINE,0,1,1
85,9,2,first,0,10000,31,41,LINE,1,0,1
85,9,2,first,0,10000,31,48,LINE,0,1,1
85,9,2,first,0,10000,31,48,LINE,1,0,1
85,9,2,first,0,10000,31,51,LINE,1,-1,1
85,9,2,first,0,10000,31,52,LINE,0,1,1
85,9,2,first,0,10000,31,52,LINE,1,0,1
85,9,2,first,0,10000,31,56,LINE,1,0,1
85,9,2,first,0,10000,31,57,LINE,1,0,1
85,9,2,first,0,10000,31,58,LINE,1,0,1
85,9,2,first,0,10000,31,63,LINE,1,0,1
85,9,2,first,0,10000,32,44,LINE,1,0,1
85,9,2,first,0,10000,32,45,LINE,1,0,1
85,9,2,first,0,10000,32,46,LINE,0,1,1
85,9,2,first,0,10000,32,46,LINE,1,0,1
85,9,2,first,0,10000,32,48,LINE,0,1,1
85,9,2,first,0,10000,32,48,LINE,1,0,1
85,9,2,first,0,10000,32,49,LINE,0,1,1
85,9,2,first,0,10000,32,50,LINE,0,1,1
85,9,2,first,0,10000,32,51,LINE,0,1,1
85,9,2,first,0,10000,32,51,LINE,1,0,2
85,9,2,first,0,10000,32,52,LINE,0,1,1
85,9,2,first,0,10000,32,53,LINE,0,1,1
85,9,2,first,0,10000,32,54,LINE,1,0,1
85,9,2,first,0,10000,32,55,LINE,0,1,1
85,9,2,first,0,10000,32,56,LINE,0,1,1
85,9,2,first,0,10000,32,57,LINE,1,0,1
85,9,2,first,0,10000,32,60,LINE,1,0,1
85,9,2,first,0,10000,32,64,LINE,1,0,1
85,9,2,first,0,10000,33,38,LINE,0,1,1
85,9,2,first,0,10000,33,45,LINE,0,1,1
85,9,2,first,0,10000,33,46,LINE,1,0,2
85,9,2,first,0,10000,33,47,LINE,1,0,2
85,9,2,first,0,10000,33,48,LINE,0,1,3
85,9,2,first,0,10000,33,48,LINE,1,0,2
85,9,2,first,0,10000,33,49,LINE,0,1,1
85,9,2,first,0,10000,33,50,LINE,0,1,1
85,9,2,first,0,10000,33,50,LINE,1,0,1
85,9,2,first,0,10000,33,51,LINE,1,0,1
85,9,2,first,0,10000,33,53,LINE,0,1,3
85,9,2,first,0,10000,33,55,LINE,0,1,1
85,9,2,first,0,10000,33,55,LINE,1,0,1
85,9,2,first,0,10000,33,56,LINE,0,1,1
85,9,2,first,0,10000,33,57,LINE,1,0,1
85,9,2,first,0,10000,33,58,LINE,0,1,1
85,9,2,first,0,10000,33,61,LINE,0,1,1
85,9,2,first,0,10000,33,61,LINE,1,0,1
85,9,2,first,0,10000,33,62,LINE,0,1,1
85,9,2,first,0,10000,34,40,LINE,0,1,2
85,9,2,first,0,10000,34,42,LINE,1,-1,1
85,9,2,first,0,10000,34,43,LINE,0,1,1
85,9,2,first,0,10000,34,44,LINE,1,0,1
85,9,2,first,0,10000,34,46,LINE,1,0,1
85,9,2,first,0,10000,34,48,LINE,0,1,4
85,9,2,first,0,10000,34,49,LINE,0,1,1
85,9,2,first,0,10000,34,49,LINE,1,0,2
85,9,2,first,0,10000,34,50,LINE,0,1,3
85,9,2,first,0,10000,34,51,LINE,0,1,1
85,9,2,first,0,10000,34,52,LINE,0,1,1
85,9,2,first,0,10000,34,52,LINE,1,0,1
85,9,2,first,0,10000,34,53,LINE,0,1,2
85,9,2,first,0,10000,34,54,LINE,0,1,3
85,9,2,first,0,10000,34,54,LINE,1,0,1
85,9,2,first,0,10000,34,55,LINE,0,1,2
85,9,2,first,0,10000,34,55,LINE,1,0,3
85,9,2,first,0,10000,34,56,LINE,0,1,1
85,9,2,first,0,10000,34,57,LINE,1,0,1
85,9,2,first,0,10000,34,58,LINE,1,0,4
85,9,2,first,0,10000,34,59,LINE,1,0,1
85,9,2,first,0,10000,34,64,LINE,1,0,1
85,9,2,first,0,10000,34,65,LINE,0,1,1
85,9,2,first,0,10000,34,66,LINE,0,1,1
85,9,2,first,0,10000,35,38,LINE,1,0,1
85,9,2,first,0,10000,35,41,LINE,1,0,2
85,9,2,first,0,10000,35,42,LINE,0,1,1
85,9,2,first,0,10000,35,43,LINE,0,1,2
85,9,2,first,0,10000,35,44,LINE,1,-1,1
85,9,2,first,0,10000,35,44,LINE,1,0,1
85,9,2,first,0,10000,35,47,LINE,0,1,3
85,9,2,first,0,10000,35,47,LINE,1,-1,1
85,9,2,first,0,10000,35,47,LINE,1,0,2
85,9,2,first,0,10000,35,48,LINE,1,0,2
85,9,2,first,0,10000,35,49,LINE,0,1,2
85,9,2,first,0,10000,35,49,LINE,1,0,1
85,9,2,first,0,10000,35,50,LINE,0,1,2
85,9,2,first,0,10000,35,50,LINE,1,-1,1
85,9,2,first,0,10000,35,51,LINE,0,1,3
85,9,2,first,0,10000,35,51,LINE,1,0,1
85,9,2,first,0,10000,35,52,LINE,0,1,1
85,9,2,first,0,10000,35,52,LINE,1,0,2
85,9,2,first,0,10000,35,53,LINE,0,1,3
85,9,2,first,0,10000,35,53,LINE,1,0,1
85,9,2,first,0,10000,35,54,LINE,1,0,2
85,9,2,first,0,10000,35,55,LINE,0,1,3
85,9,2,first,0,10000,35,55,LINE,1,0,1
85,9,2,first,0,10000,35,56,LINE,1,0,3
85,9,2,first,0,10000,35,57,LINE,0,1,5
85,9,2,first,0,10000,35,57,LINE,1,0,1
85,9,2,first,0,10000,35,58,LINE,0,1,1
85,9,2,first,0,10000,35,58,LINE,1,0,2
85,9,2,first,0,10000,35,59,LINE,1,1,1
85,9,2,first,0,10000,35,60,LINE,0,1,1
85,9,2,first,0,10000,35,60,LINE,1,0,1
85,9,2,first,0,10000,35,64,LINE,0,1,1
85,9,2,first,0,10000,36,37,LINE,1,0,1
85,9,2,first,0,10000,36,40,LINE,0,1,2
85,9,2,first,0,10000,36,41,LINE,0,1,1
85,9,2,first,0,10000,36,42,LINE,0,1,1
