N,p0,p0_se,delta_cos4,P4_S,P4_S_se,P4_S_scaled,P4_S_scaled_se,P4_D,P4_D_se,P4_D_scaled,P4_D_scaled_se,P4_S_prime,P4_S_prime_se,P4_S_prime_scaled,P4_S_prime_scaled_se,P4_D_prime,P4_D_prime_se,P4_D_prime_scaled,P4_D_prime_scaled_se
65,0.5927105422397663,1.2396665098293219e-05,1.3633136094674556,-9.967960013732283e-05,4.160191623567723e-05,-0.006479174008925984,0.00270412455531902,0.0002628673918137605,7.44385710975361e-05,0.23212446757754912,0.06573281518116614,0.009900542667461638,0.0005161233095012846,1.8272614651936119,0.09525662041126166,-0.0021357115672487495,0.00047184656468179795,-0.029014390226084014,0.006410200967423211
85,0.5927690808532711,1.236720848666896e-05,1.5944636678200692,-9.141968822960133e-05,3.9968933398018695e-05,-0.007770673499516113,0.003397359338831589,0.00022897608080048432,6.343530622372409e-05,0.31267695354498476,0.08662371295676971,0.00796312422727826,0.0004565814163455858,2.055214465644394,0.11783977052667213,-0.001524332125274887,0.00044189991071273417,-0.024488739479094284,0.007099221757415688
130,0.5927459691773138,9.940908595182883e-06,1.3633136094674556,-0.000145843371270251,4.8113981606763183e-05,-0.01895963826513263,0.006254817608879214,0.0001649259811683836,8.660558026059553e-05,0.44920752614597803,0.23588690019421243,0.0061556612176163405,0.0007230503946912131,2.7021154484851513,0.3173933022722408,-0.00025807469171057706,0.0006974434736836599,-0.005407045353731453,0.014612469238559593
145,0.5927452209588293,8.801906746646508e-06,1.9177170035671818,-9.208967203741951e-05,3.552649457693502e-05,-0.01335300244542583,0.0051513417136555785,0.00016688452256978487,5.45606033524217e-05,0.5427990317029842,0.1774606908585008,0.004880967607261833,0.0005240961138429514,2.4559296836277893,0.26370656530190456,-0.0014089488335274902,0.0005007790949995791,-0.031604594551940486,0.011233140537775662
170,0.5927541467025166,9.081425918637663e-06,1.5944636678200692,-6.432397963011246e-05,4.022119319455204e-05,-0.010935076537119118,0.006837602843073846,0.00018275014609054282,6.349675119384856e-05,0.7697279026809939,0.26744285664911543,0.005043693784309166,0.0007165227637740349,3.0960635273617445,0.4398363759407092,-0.0007868221517735612,0.0006720877404786231,-0.019494277959912112,0.016651622220862597
