metric,N_i,N_j,covariance,correlation
P4_S,65,65,7.312289610679288e-06,1.0
P4_S,65,85,1.0008622037573942e-06,0.10894470129932889
P4_S,65,130,1.8078432914397195e-06,0.10688565918923877
P4_S,65,145,5.583265238861044e-07,0.04008124548811364
P4_S,65,170,5.941514614013473e-06,0.3213413443657725
P4_S,85,85,1.1542050477146211e-05,1.0
P4_S,85,130,-4.847129800762907e-07,-0.02281016963292635
P4_S,85,145,2.249316602053604e-06,0.12852533496491367
P4_S,85,170,1.518228716022765e-06,0.06535696030058206
P4_S,130,130,3.9122743320345484e-05,1.0
P4_S,130,145,-4.5600361164243115e-06,-0.14152503551049636
P4_S,130,170,1.7942755213302596e-06,0.0419537330591058
P4_S,145,145,2.6536321450847994e-05,1.0
P4_S,145,170,-2.842295575436935e-07,-0.00806946993342822
P4_S,170,170,4.675281263961154e-05,1.0
P4_D,65,65,0.004320802991641346,1.0
P4_D,65,85,0.0008153656252476233,0.14319681905420711
P4_D,65,130,0.003294499682543789,0.21247283575598278
P4_D,65,145,0.0009338463795013219,0.08005547505204517
P4_D,65,170,-0.0028790354143140287,-0.1637697824517117
P4_D,85,85,0.007503667646416834,1.0
P4_D,85,130,-0.0007882895098828147,-0.038578481473591546
P4_D,85,145,0.00048476154240911784,0.03153473572411998
P4_D,85,170,0.0009673917715987386,0.041757509791955326
P4_D,130,130,0.05564262968323434,1.0
P4_D,130,145,0.009225919508661234,0.2203959806576214
P4_D,130,170,-0.0013454479486948764,-0.021327113248990684
P4_D,145,145,0.03149229679997639,1.0
P4_D,145,170,-0.00253736632971339,-0.05346259096630309
P4_D,170,170,0.0715256815726393,1.0
P4_S_prime,65,65,0.009073823732175192,1.0
P4_S_prime,65,85,0.0010081292690864222,0.08981092440158997
P4_S_prime,65,130,0.0063885369893694095,0.21130437377107372
P4_S_prime,65,145,0.0021292058746664962,0.0847620680710794
P4_S_prime,65,170,-0.004923512209137568,-0.11751375555965278
P4_S_prime,85,85,0.013886211517778748,1.0
P4_S_prime,85,130,-0.0027633088174404117,-0.07388219281880884
P4_S_prime,85,145,0.00450886063368896,0.1450955126820008
P4_S_prime,85,170,-0.0030032005348807535,-0.057943043138862435
P4_S_prime,130,130,0.10073850832727799,1.0
P4_S_prime,130,145,0.019708619486442272,0.2354710414074137
P4_S_prime,130,170,0.01093474374796003,0.07832848162046145
P4_S_prime,145,145,0.06954115258332766,1.0
P4_S_prime,145,170,-0.004847881695698414,-0.04179650104349335
P4_S_prime,170,170,0.19345603760065685,1.0
P4_D_prime,65,65,4.109067644275348e-05,1.0
P4_D_prime,65,85,8.24498517289401e-06,0.18117884686815644
P4_D_prime,65,130,7.665919100881796e-06,0.08184063238023237
P4_D_prime,65,145,9.239252691171531e-06,0.12831103476431746
P4_D_prime,65,170,1.9670502001699805e-05,0.18428383807605525
P4_D_prime,85,85,5.039894956096429e-05,1.0
P4_D_prime,85,130,-8.5600155973586e-06,-0.08251638694041902
P4_D_prime,85,145,1.5524775132573284e-06,0.019467643454159717
P4_D_prime,85,170,3.3453400710598134e-07,0.002829912326440002
P4_D_prime,130,130,0.00021352425724785037,1.0
P4_D_prime,130,145,-1.0517603895938465e-05,-0.0640755006948394
P4_D_prime,130,170,-1.9968423331105855e-06,-0.00820660661316738
P4_D_prime,145,145,0.00012618344634141888,1.0
P4_D_prime,145,170,-3.3138680926339457e-05,-0.1771648152688037
P4_D_prime,170,170,0.00027727652258632504,1.0
