batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,3,3129,3519,6845,5224,5140,3155,3545,6871,5250,5166,3144,3528,6799,5154,5173,3201,3585,6856,5211,5230
1,10000,10000,3,3113,3468,6842,5136,5174,3158,3513,6887,5181,5219,3131,3531,6788,5167,5152,3212,3612,6869,5248,5233
2,20000,10000,3,3138,3479,6939,5229,5189,3061,3402,6862,5152,5112,3152,3510,6860,5167,5203,3140,3498,6848,5155,5191
3,30000,10000,3,3126,3513,6911,5271,5153,3089,3476,6874,5234,5116,3130,3501,6859,5167,5193,3141,3512,6870,5178,5204
4,40000,10000,3,3176,3547,6882,5213,5216,3118,3489,6824,5155,5158,3137,3514,6879,5245,5148,3121,3498,6863,5229,5132
5,50000,10000,3,3169,3548,6843,5179,5212,3157,3536,6831,5167,5200,3132,3520,6876,5206,5190,3124,3512,6868,5198,5182
6,60000,10000,3,3183,3566,6911,5209,5268,3089,3472,6817,5115,5174,3220,3582,6864,5252,5194,3136,3498,6780,5168,5110
7,70000,10000,3,3150,3517,6913,5224,5206,3087,3454,6850,5161,5143,3146,3535,6907,5220,5222,3093,3482,6854,5167,5169
8,80000,10000,3,3104,3470,6946,5209,5207,3054,3420,6896,5159,5157,3151,3549,6887,5269,5167,3113,3511,6849,5231,5129
9,90000,10000,3,3092,3471,6880,5104,5247,3120,3499,6908,5132,5275,3088,3497,6835,5169,5163,3165,3574,6912,5246,5240
10,100000,10000,3,3103,3499,6883,5192,5190,3117,3513,6897,5206,5204,3152,3539,6939,5281,5197,3061,3448,6848,5190,5106
11,110000,10000,3,3273,3637,6868,5249,5256,3132,3496,6727,5108,5115,3144,3528,6881,5229,5180,3119,3503,6856,5204,5155
12,120000,10000,3,3175,3562,6936,5231,5267,3064,3451,6825,5120,5156,3119,3518,6944,5198,5264,3056,3455,6881,5135,5201
13,130000,10000,3,3121,3495,6841,5191,5145,3159,3533,6879,5229,5183,3081,3470,6804,5101,5173,3196,3585,6919,5216,5288
14,140000,10000,3,3120,3477,6844,5188,5133,3156,3513,6880,5224,5169,3077,3439,6804,5085,5158,3196,3558,6923,5204,5277
15,150000,10000,3,3139,3542,6839,5131,5250,3161,3564,6861,5153,5272,3102,3472,6840,5146,5166,3160,3530,6898,5204,5224
16,160000,10000,3,3084,3454,6799,5114,5139,3201,3571,6916,5231,5256,3077,3486,6838,5172,5152,3162,3571,6923,5257,5237
17,170000,10000,3,3115,3503,6831,5144,5190,3169,3557,6885,5198,5244,3166,3547,6897,5189,5255,3103,3484,6834,5126,5192
18,180000,10000,3,3098,3512,6895,5151,5256,3105,3519,6902,5158,5263,3134,3536,6888,5259,5165,3112,3514,6866,5237,5143
19,190000,10000,3,3257,3650,6917,5280,5287,3083,3476,6743,5106,5113,3319,3684,6909,5319,5274,3091,3456,6681,5091,5046
