batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,1,3102,3452,6800,5074,5178,3200,3550,6898,5172,5276,3179,3569,6801,5183,5187,3199,3589,6821,5203,5207
1,10000,10000,1,3116,3500,6874,5168,5206,3126,3510,6884,5178,5216,3089,3470,6817,5126,5161,3183,3564,6911,5220,5255
2,20000,10000,1,3218,3603,6898,5234,5267,3102,3487,6782,5118,5151,3145,3504,6931,5172,5263,3069,3428,6855,5096,5187
3,30000,10000,1,3119,3506,6843,5142,5207,3157,3544,6881,5180,5245,3101,3485,6816,5170,5131,3184,3568,6899,5253,5214
4,40000,10000,1,3168,3544,6886,5199,5231,3114,3490,6832,5145,5177,3094,3478,6832,5219,5091,3168,3552,6906,5293,5165
5,50000,10000,1,3096,3480,6877,5241,5116,3123,3507,6904,5268,5143,3114,3482,6850,5166,5166,3150,3518,6886,5202,5202
6,60000,10000,1,3198,3571,6885,5229,5227,3115,3488,6802,5146,5144,3171,3563,6936,5236,5263,3064,3456,6829,5129,5156
7,70000,10000,1,3181,3551,6918,5236,5233,3082,3452,6819,5137,5134,3154,3500,6858,5232,5126,3142,3488,6846,5220,5114
8,80000,10000,1,3194,3552,7002,5263,5291,2998,3356,6806,5067,5095,3197,3579,6950,5296,5233,3050,3432,6803,5149,5086
9,90000,10000,1,3129,3467,6823,5153,5137,3177,3515,6871,5201,5185,3119,3510,6841,5142,5209,3159,3550,6881,5182,5249
10,100000,10000,1,3219,3551,6859,5204,5206,3141,3473,6781,5126,5128,3222,3595,6931,5211,5315,3069,3442,6778,5058,5162
11,110000,10000,1,3224,3578,6937,5247,5268,3063,3417,6776,5086,5107,3210,3590,6901,5225,5266,3099,3479,6790,5114,5155
12,120000,10000,1,3136,3499,6950,5218,5231,3050,3413,6864,5132,5145,3101,3469,6896,5131,5234,3104,3472,6899,5134,5237
13,130000,10000,1,3106,3485,6842,5200,5127,3158,3537,6894,5252,5179,3091,3472,6757,5098,5131,3243,3624,6909,5250,5283
14,140000,10000,1,3147,3550,6822,5136,5236,3178,3581,6853,5167,5267,3084,3451,6728,5078,5101,3272,3639,6916,5266,5289
15,150000,10000,1,3125,3448,6893,5117,5224,3107,3430,6875,5099,5206,3073,3467,6863,5168,5162,3137,3531,6927,5232,5226
16,160000,10000,1,3045,3429,6826,5156,5099,3174,3558,6955,5285,5228,3196,3542,6791,5184,5149,3209,3555,6804,5197,5162
17,170000,10000,1,3097,3502,6884,5189,5197,3116,3521,6903,5208,5216,3111,3486,6827,5189,5124,3173,3548,6889,5251,5186
18,180000,10000,1,3131,3509,6892,5232,5169,3108,3486,6869,5209,5146,3114,3501,6899,5241,5159,3101,3488,6886,5228,5146
19,190000,10000,1,3169,3547,6892,5242,5197,3108,3486,6831,5181,5136,3239,3585,6932,5304,5213,3068,3414,6761,5133,5042
