batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,8,3117,3511,6874,5192,5193,3126,3520,6883,5201,5202,3134,3509,6851,5237,5123,3149,3524,6866,5252,5138
1,10000,10000,8,3126,3498,6828,5163,5163,3172,3544,6874,5209,5209,3079,3494,6790,5132,5152,3210,3625,6921,5263,5283
2,20000,10000,8,3149,3554,6897,5255,5196,3103,3508,6851,5209,5150,3134,3513,6887,5225,5175,3113,3492,6866,5204,5154
3,30000,10000,8,3119,3547,6924,5280,5191,3076,3504,6881,5237,5148,3134,3506,6897,5117,5286,3103,3475,6866,5086,5255
4,40000,10000,8,3179,3544,6934,5251,5227,3066,3431,6821,5138,5114,3119,3537,6934,5252,5219,3066,3484,6881,5199,5166
5,50000,10000,8,3110,3500,6815,5169,5146,3185,3575,6890,5244,5221,3172,3573,6894,5193,5274,3106,3507,6828,5127,5208
6,60000,10000,8,3118,3488,6839,5123,5204,3161,3531,6882,5166,5247,3236,3642,6888,5231,5299,3112,3518,6764,5107,5175
7,70000,10000,8,3155,3557,6943,5298,5202,3057,3459,6845,5200,5104,3121,3525,6812,5140,5197,3188,3592,6879,5207,5264
8,80000,10000,8,3106,3502,6817,5160,5159,3183,3579,6894,5237,5236,3136,3526,6919,5232,5213,3081,3471,6864,5177,5158
9,90000,10000,8,3107,3507,6855,5191,5171,3145,3545,6893,5229,5209,3027,3433,6800,5103,5130,3200,3606,6973,5276,5303
10,100000,10000,8,3110,3484,6850,5154,5180,3150,3524,6890,5194,5220,3098,3483,6920,5210,5193,3080,3465,6902,5192,5175
11,110000,10000,8,3064,3512,6938,5197,5253,3062,3510,6936,5195,5251,3176,3580,6903,5259,5224,3097,3501,6824,5180,5145
12,120000,10000,8,3116,3517,6904,5244,5177,3096,3497,6884,5224,5157,3093,3508,6918,5240,5186,3082,3497,6907,5229,5175
13,130000,10000,8,3088,3453,6833,5175,5111,3167,3532,6912,5254,5190,3146,3553,6841,5199,5195,3159,3566,6854,5212,5208
14,140000,10000,8,3122,3512,6893,5245,5160,3107,3497,6878,5230,5145,3119,3510,6916,5175,5251,3084,3475,6881,5140,5216
15,150000,10000,8,3142,3546,6927,5224,5249,3073,3477,6858,5155,5180,3135,3532,6919,5213,5238,3081,3478,6865,5159,5184
16,160000,10000,8,3198,3627,6890,5262,5255,3110,3539,6802,5174,5167,3119,3482,6902,5213,5171,3098,3461,6881,5192,5150
17,170000,10000,8,3119,3492,6854,5173,5173,3146,3519,6881,5200,5200,3067,3443,6844,5109,5178,3156,3532,6933,5198,5267
18,180000,10000,8,3106,3492,6844,5136,5200,3156,3542,6894,5186,5250,3129,3519,6855,5181,5193,3145,3535,6871,5197,5209
19,190000,10000,8,3074,3490,6875,5211,5154,3125,3541,6926,5262,5205,3164,3557,6938,5264,5231,3062,3455,6836,5162,5129
