batch,first_replica,samples,t,o1_primal_cross,o1_primal_both,o1_primal_either,o1_primal_direction_0,o1_primal_direction_1,o1_matching_cross,o1_matching_both,o1_matching_either,o1_matching_direction_0,o1_matching_direction_1,o2_primal_cross,o2_primal_both,o2_primal_either,o2_primal_direction_0,o2_primal_direction_1,o2_matching_cross,o2_matching_both,o2_matching_either,o2_matching_direction_0,o2_matching_direction_1
0,0,10000,4,3102,3452,6800,5074,5178,3200,3550,6898,5172,5276,3092,3432,6790,5128,5094,3210,3550,6908,5246,5212
1,10000,10000,4,3116,3500,6874,5168,5206,3126,3510,6884,5178,5216,3109,3454,6783,5137,5100,3217,3562,6891,5245,5208
2,20000,10000,4,3218,3603,6898,5234,5267,3102,3487,6782,5118,5151,3216,3595,6913,5303,5205,3087,3466,6784,5174,5076
3,30000,10000,4,3119,3506,6843,5142,5207,3157,3544,6881,5180,5245,3082,3460,6892,5194,5158,3108,3486,6918,5220,5184
4,40000,10000,4,3168,3544,6886,5199,5231,3114,3490,6832,5145,5177,3119,3458,6843,5127,5174,3157,3496,6881,5165,5212
5,50000,10000,4,3096,3480,6877,5241,5116,3123,3507,6904,5268,5143,3099,3477,6906,5177,5206,3094,3472,6901,5172,5201
6,60000,10000,4,3198,3571,6885,5229,5227,3115,3488,6802,5146,5144,3166,3526,6876,5215,5187,3124,3484,6834,5173,5145
7,70000,10000,4,3181,3551,6918,5236,5233,3082,3452,6819,5137,5134,3176,3498,6849,5121,5226,3151,3473,6824,5096,5201
8,80000,10000,4,3194,3552,7002,5263,5291,2998,3356,6806,5067,5095,3217,3578,6945,5266,5257,3055,3416,6783,5104,5095
9,90000,10000,4,3129,3467,6823,5153,5137,3177,3515,6871,5201,5185,3099,3463,6862,5123,5202,3138,3502,6901,5162,5241
10,100000,10000,4,3219,3551,6859,5204,5206,3141,3473,6781,5126,5128,3238,3621,6908,5233,5296,3092,3475,6762,5087,5150
11,110000,10000,4,3224,3578,6937,5247,5268,3063,3417,6776,5086,5107,3169,3541,6857,5147,5251,3143,3515,6831,5121,5225
12,120000,10000,4,3136,3499,6950,5218,5231,3050,3413,6864,5132,5145,3107,3499,6899,5235,5163,3101,3493,6893,5229,5157
13,130000,10000,4,3106,3485,6842,5200,5127,3158,3537,6894,5252,5179,3190,3546,6821,5218,5149,3179,3535,6810,5207,5138
14,140000,10000,4,3147,3550,6822,5136,5236,3178,3581,6853,5167,5267,3154,3513,6871,5225,5159,3129,3488,6846,5200,5134
15,150000,10000,4,3125,3448,6893,5117,5224,3107,3430,6875,5099,5206,3113,3482,6863,5199,5146,3137,3506,6887,5223,5170
16,160000,10000,4,3045,3429,6826,5156,5099,3174,3558,6955,5285,5228,3137,3488,6846,5177,5157,3154,3505,6863,5194,5174
17,170000,10000,4,3097,3502,6884,5189,5197,3116,3521,6903,5208,5216,3107,3437,6787,5137,5087,3213,3543,6893,5243,5193
18,180000,10000,4,3131,3509,6892,5232,5169,3108,3486,6869,5209,5146,3129,3504,6829,5136,5197,3171,3546,6871,5178,5239
19,190000,10000,4,3169,3547,6892,5242,5197,3108,3486,6831,5181,5136,3233,3651,6881,5266,5266,3119,3537,6767,5152,5152
