n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
65,7,4,second,59,10000,0,0,0,0,0
65,8,1,first,60,10000,0,0,0,0,0
65,7,4,second,60,10000,0,0,0,0,0
65,8,1,first,61,10000,0,0,0,0,0
65,7,4,second,61,10000,0,0,0,0,0
65,8,1,first,62,10000,0,0,0,0,0
65,7,4,second,62,10000,0,0,0,0,0
65,8,1,first,63,10000,0,0,0,0,0
65,7,4,second,63,10000,0,0,0,0,0
65,8,1,first,64,10000,0,0,0,0,0
65,7,4,second,64,10000,0,0,0,0,0
65,8,1,first,65,10000,0,0,0,0,0
65,7,4,second,65,10000,0,0,0,0,0
65,8,1,first,66,10000,0,0,0,0,0
65,7,4,second,66,10000,0,0,0,0,0
65,8,1,first,67,10000,0,0,0,0,0
65,7,4,second,67,10000,0,0,0,0,0
65,8,1,first,68,10000,0,0,0,0,0
65,7,4,second,68,10000,0,0,0,0,0
65,8,1,first,69,10000,0,0,0,0,0
65,7,4,second,69,10000,0,0,0,0,0
65,8,1,first,70,10000,0,0,0,0,0
65,7,4,second,70,10000,0,0,0,0,0
65,8,1,first,71,10000,0,0,0,0,0
65,7,4,second,71,10000,0,0,0,0,0
65,8,1,first,72,10000,0,0,0,0,0
65,7,4,second,72,10000,0,0,0,0,0
65,8,1,first,73,10000,0,0,0,0,0
65,7,4,second,73,10000,0,0,0,0,0
65,8,1,first,74,10000,0,0,0,0,0
65,7,4,second,74,10000,0,0,0,0,0
65,8,1,first,75,10000,0,0,0,0,0
65,7,4,second,75,10000,0,0,0,0,0
65,8,1,first,76,10000,0,0,0,0,0
65,7,4,second,76,10000,0,0,0,0,0
65,8,1,first,77,10000,0,0,0,0,0
65,7,4,second,77,10000,0,0,0,0,0
65,8,1,first,78,10000,0,0,0,0,0
65,7,4,second,78,10000,0,0,0,0,0
65,8,1,first,79,10000,0,0,0,0,0
65,7,4,second,79,10000,0,0,0,0,0
65,8,1,first,80,10000,0,0,0,0,0
65,7,4,second,80,10000,0,0,0,0,0
65,8,1,first,81,10000,0,0,0,0,0
65,7,4,second,81,10000,0,0,0,0,0
65,8,1,first,82,10000,0,0,0,0,0
65,7,4,second,82,10000,0,0,0,0,0
65,8,1,first,83,10000,0,0,0,0,0
65,7,4,second,83,10000,0,0,0,0,0
65,8,1,first,84,10000,0,0,0,0,0
65,7,4,second,84,10000,0,0,0,0,0
65,8,1,first,85,10000,0,0,0,0,0
65,7,4,second,85,10000,0,0,0,0,0
65,8,1,first,86,10000,0,0,0,0,0
65,7,4,second,86,10000,0,0,0,0,0
65,8,1,first,87,10000,0,0,0,0,0
65,7,4,second,87,10000,0,0,0,0,0
65,8,1,first,88,10000,0,0,0,0,0
65,7,4,second,88,10000,0,0,0,0,0
65,8,1,first,89,10000,0,0,0,0,0
65,7,4,second,89,10000,0,0,0,0,0
65,8,1,first,90,10000,0,0,0,0,0
65,7,4,second,90,10000,0,0,0,0,0
65,8,1,first,91,10000,0,0,0,0,0
65,7,4,second,91,10000,0,0,0,0,0
65,8,1,first,92,10000,0,0,0,0,0
65,7,4,second,92,10000,0,0,0,0,0
65,8,1,first,93,10000,0,0,0,0,0
65,7,4,second,93,10000,0,0,0,0,0
65,8,1,first,94,10000,0,0,0,0,0
65,7,4,second,94,10000,0,0,0,0,0
65,8,1,first,95,10000,0,0,0,0,0
65,7,4,second,95,10000,0,0,0,0,0
65,8,1,first,96,10000,0,0,0,0,0
65,7,4,second,96,10000,0,0,0,0,0
65,8,1,first,97,10000,0,0,0,0,0
65,7,4,second,97,10000,0,0,0,0,0
65,8,1,first,98,10000,0,0,0,0,0
65,7,4,second,98,10000,0,0,0,0,0
65,8,1,first,99,10000,0,0,0,0,0
65,7,4,second,99,10000,0,0,0,0,0
