n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D,sum_local_R2_S,sum_local_R2_D,sum_q_local_R2_S,sum_q_local_R2_D,sum_local_R2_I02,sum_local_R4_S,sum_local_R4_D,sum_q_local_R4_S,sum_q_local_R4_D,sum_local_R4_I02
65,8,1,first,0,10000,25,-9884,9884,58,0,0,58,2320,-2320,2320,2320,2320,-2320,2038.85443786982248521,1107.0106508875739645,-2038.85443786982248521,-1107.0106508875739645,2038.85443786982248521,1107.0106508875739645,400,-400,-40,40,40,-40,0,1600,-1600,-1600,1600,0
65,8,1,first,0,10000,26,-9826,9826,97,0,0,97,3783,-3783,3783,3783,3783,-3783,3118.92,1693.44,-3118.92,-1693.44,3118.92,1693.44,624,-624,39,-39,-39,39,0,1833,-1833,-1833,1833,0
65,8,1,first,0,10000,27,-9729,9729,141,2,2,141,5434,-5282,5434,5282,5434,-5282,4307.95881656804733728,2339.03715976331360947,-4241.16875739644970414,-2302.77301775147928994,4274.56378698224852071,2320.9050887573964497,608,-608,-76,76,76,-76,0,3116,-2964,-3078,3002,38
65,8,1,first,0,10000,28,-9586,9590,187,5,5,187,7104,-6734,7104,6734,7104,-6734,5202.59408284023668639,2824.78579881656804734,-5007.49680473372781065,-2718.85633136094674556,5105.04544378698224852,2771.82106508875739645,1591,-1591,0,74,37,-37,0,3145,-3145,-3145,3145,0
65,8,1,first,0,10000,29,-9394,9408,302,12,12,302,11304,-10440,11304,10440,11304,-10440,8921.74579881656804734,4844.12591715976331361,-8352.27266272189349112,-4534.9263905325443787,8637.00923076923076923,4689.52615384615384615,972,-828,-792,792,792,-792,0,5976,-5832,-5940,5868,36
65,8,1,first,0,10000,30,-9080,9118,371,23,23,371,13790,-12180,13790,12180,13790,-12180,9904.26272189349112426,5377.59053254437869822,-8858.47100591715976331,-4809.77041420118343195,9381.36686390532544379,5093.68047337278106509,1260,-1120,-455,455,455,-455,0,6125,-5285,-5705,5705,0
65,8,1,first,0,10000,31,-8686,8770,487,39,39,487,17884,-15232,17884,15232,17884,-15232,12310.4624852071005917,6684.05396449704142012,-10935.9933727810650888,-5937.77609467455621302,11623.2279289940828402,6310.91502958579881657,2040,-1700,-1326,850,1088,-1088,0,7310,-6494,-6936,6868,34
65,8,1,first,0,10000,32,-8160,8322,660,63,63,660,23859,-19701,23859,19701,23859,-19701,16791.5481656804733728,9117.09159763313609467,-14007.4572781065088757,-7605.44946745562130178,15399.5027218934911243,8361.27053254437869822,1716,-1452,-3201,2937,3069,-3069,0,8712,-7260,-8052,7920,66
65,8,1,first,0,10000,33,-7437,7725,749,124,124,749,27936,-20000,27936,20000,27936,-20000,17238.8657988165680473,9359.96591715976331361,-13301.7675739644970414,-7222.29017751479289941,15270.3166863905325444,8291.12804733727810651,2560,-1792,-2880,1920,2400,-2400,0,7808,-5504,-6752,6560,96
65,8,1,first,0,10000,34,-6564,7100,889,214,214,889,34193,-20925,34193,20925,34193,-20925,21277.0279289940828402,11552.5150295857988166,-13485.4402366863905325,-7322.01656804733727811,17381.2340828402366864,9437.26579881656804734,2511,-899,-3193,2139,2666,-2666,0,9176,-6572,-7967,7781,93
65,8,1,first,0,10000,35,-5461,6425,996,305,305,996,39030,-20730,39030,20730,39030,-20730,23807.1408284023668639,12926.2579881656804734,-13314.0710059171597633,-7228.97041420118343195,18560.6059171597633136,10077.6142011834319527,2220,-1380,-4260,2400,3330,-3330,0,10710,-5430,-8280,7860,210
65,8,1,first,0,10000,36,-4160,5734,1012,485,485,1012,43413,-15283,43413,15283,43413,-15283,26307.370385798816568,14252.0966059171597633,-9690.70671715976331361,-5229.95980118343195266,17999.0385514792899408,9741.02820355029585799,1305,203,-5075,1131,3103,-3103,0,10730,-3654,-7337,7047,145
