geometry,tau,alpha,source_component,k_minus,count,sum_q0,sum_q1,sum_e0,sum_e1,sum_a0,sum_a1,sum_q0a0,sum_q1a1,sum_e0a0,sum_e1a1
axis,__GLOBAL__,__SOURCE__,axial2,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,2,253,-253,-253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,4,8855,-8855,-8854,8855,8854,0,8,0,-8,0,8
axis,__GLOBAL__,__SOURCE__,axial2,5,33649,-33642,-33623,33642,33623,8,136,-8,-136,8,136
axis,__GLOBAL__,__SOURCE__,axial2,6,100947,-100821,-100636,100821,100636,136,1152,-136,-1152,136,1152
axis,__GLOBAL__,__SOURCE__,axial2,7,245157,-244028,-242847,244028,242847,1144,6348,-1144,-6348,1144,6348
axis,__GLOBAL__,__SOURCE__,axial2,8,490314,-483784,-478372,483784,478380,6236,25012,-6220,-24948,6220,24948
axis,__GLOBAL__,__SOURCE__,axial2,9,817190,-790316,-771500,790340,771716,23892,72970,-23652,-72042,23652,72042
axis,__GLOBAL__,__SOURCE__,axial2,10,1144066,-1061068,-1009805,1061572,1012337,65976,156988,-64184,-150764,64184,150764
axis,__GLOBAL__,__SOURCE__,axial2,11,1352078,-1153615,-1043492,1158251,1060582,131420,240626,-123132,-216126,123132,216238
axis,__GLOBAL__,__SOURCE__,axial2,12,1352078,-979802,-796677,1004442,869629,185772,247764,-160864,-189198,160976,190974
axis,__GLOBAL__,__SOURCE__,axial2,13,1144066,-597795,-369590,680555,571000,181948,162656,-133816,-81402,135112,90730
axis,__GLOBAL__,__SOURCE__,axial2,14,817190,-198120,7579,377618,354097,121568,70536,-63648,-7956,68784,26628
axis,__GLOBAL__,__SOURCE__,axial2,15,490314,43621,173642,208983,248460,56092,21964,-13640,6258,21976,9262
axis,__GLOBAL__,__SOURCE__,axial2,16,245157,101929,158242,129045,166310,18252,4800,676,2950,5564,3018
axis,__GLOBAL__,__SOURCE__,axial2,17,100947,68710,85123,70818,85391,4036,648,1016,544,1304,544
axis,__GLOBAL__,__SOURCE__,axial2,18,33649,28809,31930,28849,31930,536,40,216,40,216,40
axis,__GLOBAL__,__SOURCE__,axial2,19,8855,8414,8770,8414,8770,32,0,16,0,16,0
axis,__GLOBAL__,__SOURCE__,axial2,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,21,253,253,253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,axial2,23,1,1,1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,2,253,-253,-253,253,253,4,4,-4,-4,4,4
axis,__GLOBAL__,__SOURCE__,diag1,3,1771,-1771,-1771,1771,1771,80,80,-80,-80,80,80
axis,__GLOBAL__,__SOURCE__,diag1,4,8855,-8855,-8854,8855,8854,760,766,-760,-766,760,766
axis,__GLOBAL__,__SOURCE__,diag1,5,33649,-33642,-33623,33642,33623,4574,4656,-4574,-4656,4574,4656
axis,__GLOBAL__,__SOURCE__,diag1,6,100947,-100821,-100636,100821,100636,19568,20092,-19568,-20088,19568,20088
axis,__GLOBAL__,__SOURCE__,diag1,7,245157,-244028,-242847,244028,242847,63168,65199,-63148,-65119,63148,65119
axis,__GLOBAL__,__SOURCE__,diag1,8,490314,-483784,-478372,483784,478380,159182,164175,-158878,-163407,158878,163407
axis,__GLOBAL__,__SOURCE__,diag1,9,817190,-790316,-771500,790340,771716,318914,325113,-316634,-320355,316634,320355
axis,__GLOBAL__,__SOURCE__,diag1,10,1144066,-1061068,-1009805,1061572,1012337,510792,503419,-499886,-483031,499886,483055
axis,__GLOBAL__,__SOURCE__,diag1,11,1352078,-1153615,-1043492,1158251,1060582,648824,592875,-612956,-532723,613020,533243
axis,__GLOBAL__,__SOURCE__,diag1,12,1352078,-979802,-796677,1004442,869629,638654,507178,-556702,-389942,557654,394170
axis,__GLOBAL__,__SOURCE__,diag1,13,1144066,-597795,-369590,680555,571000,470606,302708,-343410,-159226,349046,175290
axis,__GLOBAL__,__SOURCE__,diag1,14,817190,-198120,7579,377618,354097,251694,127813,-122944,-20665,139272,49413
axis,__GLOBAL__,__SOURCE__,diag1,15,490314,43621,173642,208983,248460,97538,40629,-15418,8771,38374,16177
axis,__GLOBAL__,__SOURCE__,diag1,16,245157,101929,158242,129045,166310,27778,9514,5022,5240,10870,5552
axis,__GLOBAL__,__SOURCE__,diag1,17,100947,68710,85123,70818,85391,5562,1550,2628,1282,2940,1282
axis,__GLOBAL__,__SOURCE__,diag1,18,33649,28809,31930,28849,31930,690,160,510,160,510,160
axis,__GLOBAL__,__SOURCE__,diag1,19,8855,8414,8770,8414,8770,40,8,40,8,40,8
axis,__GLOBAL__,__SOURCE__,diag1,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,21,253,253,253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,diag1,23,1,1,1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,2,253,-253,-253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,4,8855,-8855,-8854,8855,8854,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,5,33649,-33642,-33623,33642,33623,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,6,100947,-100821,-100636,100821,100636,4,12,-4,-12,4,12
axis,__GLOBAL__,__SOURCE__,far,7,245157,-244028,-242847,244028,242847,84,332,-84,-332,84,332
axis,__GLOBAL__,__SOURCE__,far,8,490314,-483784,-478372,483784,478380,820,3166,-820,-3166,820,3166
axis,__GLOBAL__,__SOURCE__,far,9,817190,-790316,-771500,790340,771716,4586,15802,-4586,-15770,4586,15770
axis,__GLOBAL__,__SOURCE__,far,10,1144066,-1061068,-1009805,1061572,1012337,16054,46768,-16038,-46288,16038,46288
axis,__GLOBAL__,__SOURCE__,far,11,1352078,-1153615,-1043492,1158251,1060582,36312,83530,-36096,-80810,36096,80810
axis,__GLOBAL__,__SOURCE__,far,12,1352078,-979802,-796677,1004442,869629,52550,84503,-51446,-76757,51446,76757
axis,__GLOBAL__,__SOURCE__,far,13,1144066,-597795,-369590,680555,571000,46172,43997,-43350,-34093,43350,34261
axis,__GLOBAL__,__SOURCE__,far,14,817190,-198120,7579,377618,354097,22278,10589,-18926,-5239,18966,5671
axis,__GLOBAL__,__SOURCE__,far,15,490314,43621,173642,208983,248460,5126,1355,-3540,-99,3604,451
axis,__GLOBAL__,__SOURCE__,far,16,245157,101929,158242,129045,166310,492,133,-260,47,276,81
axis,__GLOBAL__,__SOURCE__,far,17,100947,68710,85123,70818,85391,20,8,-16,8,16,8
axis,__GLOBAL__,__SOURCE__,far,18,33649,28809,31930,28849,31930,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,21,253,253,253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,far,23,1,1,1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,2,253,-253,-253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,4,8855,-8855,-8854,8855,8854,0,4,0,-4,0,4
axis,__GLOBAL__,__SOURCE__,knight_a,5,33649,-33642,-33623,33642,33623,4,68,-4,-68,4,68
axis,__GLOBAL__,__SOURCE__,knight_a,6,100947,-100821,-100636,100821,100636,60,568,-60,-568,60,568
axis,__GLOBAL__,__SOURCE__,knight_a,7,245157,-244028,-242847,244028,242847,428,3124,-428,-3124,428,3124
axis,__GLOBAL__,__SOURCE__,knight_a,8,490314,-483784,-478372,483784,478380,2024,12544,-2024,-12520,2024,12520
axis,__GLOBAL__,__SOURCE__,knight_a,9,817190,-790316,-771500,790340,771716,7144,37642,-7132,-37270,7132,37270
axis,__GLOBAL__,__SOURCE__,knight_a,10,1144066,-1061068,-1009805,1061572,1012337,19082,82416,-18918,-79904,18918,79904
axis,__GLOBAL__,__SOURCE__,knight_a,11,1352078,-1153615,-1043492,1158251,1060582,37136,124979,-36120,-115425,36120,115425
axis,__GLOBAL__,__SOURCE__,knight_a,12,1352078,-979802,-796677,1004442,869629,49728,122142,-46206,-100604,46206,100820
axis,__GLOBAL__,__SOURCE__,knight_a,13,1144066,-597795,-369590,680555,571000,42948,70853,-35834,-43577,35858,45273
axis,__GLOBAL__,__SOURCE__,knight_a,14,817190,-198120,7579,377618,354097,22556,23746,-14544,-5765,14720,9469
axis,__GLOBAL__,__SOURCE__,knight_a,15,490314,43621,173642,208983,248460,7236,5191,-2546,1159,2906,1641
axis,__GLOBAL__,__SOURCE__,knight_a,16,245157,101929,158242,129045,166310,1510,843,-64,464,312,448
axis,__GLOBAL__,__SOURCE__,knight_a,17,100947,68710,85123,70818,85391,198,84,36,64,36,64
axis,__GLOBAL__,__SOURCE__,knight_a,18,33649,28809,31930,28849,31930,12,4,4,4,4,4
axis,__GLOBAL__,__SOURCE__,knight_a,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,21,253,253,253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_a,23,1,1,1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,2,253,-253,-253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,4,8855,-8855,-8854,8855,8854,0,4,0,-4,0,4
axis,__GLOBAL__,__SOURCE__,knight_b,5,33649,-33642,-33623,33642,33623,4,68,-4,-68,4,68
axis,__GLOBAL__,__SOURCE__,knight_b,6,100947,-100821,-100636,100821,100636,60,568,-60,-568,60,568
axis,__GLOBAL__,__SOURCE__,knight_b,7,245157,-244028,-242847,244028,242847,428,3124,-428,-3124,428,3124
axis,__GLOBAL__,__SOURCE__,knight_b,8,490314,-483784,-478372,483784,478380,2024,12544,-2024,-12520,2024,12520
axis,__GLOBAL__,__SOURCE__,knight_b,9,817190,-790316,-771500,790340,771716,7144,37642,-7132,-37270,7132,37270
axis,__GLOBAL__,__SOURCE__,knight_b,10,1144066,-1061068,-1009805,1061572,1012337,19082,82416,-18918,-79904,18918,79904
axis,__GLOBAL__,__SOURCE__,knight_b,11,1352078,-1153615,-1043492,1158251,1060582,37136,124979,-36120,-115425,36120,115425
axis,__GLOBAL__,__SOURCE__,knight_b,12,1352078,-979802,-796677,1004442,869629,49728,122142,-46206,-100604,46206,100820
axis,__GLOBAL__,__SOURCE__,knight_b,13,1144066,-597795,-369590,680555,571000,42948,70853,-35834,-43577,35858,45273
axis,__GLOBAL__,__SOURCE__,knight_b,14,817190,-198120,7579,377618,354097,22556,23746,-14544,-5765,14720,9469
axis,__GLOBAL__,__SOURCE__,knight_b,15,490314,43621,173642,208983,248460,7236,5191,-2546,1159,2906,1641
axis,__GLOBAL__,__SOURCE__,knight_b,16,245157,101929,158242,129045,166310,1510,843,-64,464,312,448
axis,__GLOBAL__,__SOURCE__,knight_b,17,100947,68710,85123,70818,85391,198,84,36,64,36,64
axis,__GLOBAL__,__SOURCE__,knight_b,18,33649,28809,31930,28849,31930,12,4,4,4,4,4
axis,__GLOBAL__,__SOURCE__,knight_b,19,8855,8414,8770,8414,8770,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,20,1771,1752,1771,1752,1771,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,21,253,253,253,253,253,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,knight_b,23,1,1,1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,nn_other,0,1,-1,-1,1,1,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,nn_other,1,23,-23,-23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,nn_other,2,253,-253,-253,253,253,8,8,-8,-8,8,8
axis,__GLOBAL__,__SOURCE__,nn_other,3,1771,-1771,-1771,1771,1771,160,160,-160,-160,160,160
axis,__GLOBAL__,__SOURCE__,nn_other,4,8855,-8855,-8854,8855,8854,1520,1532,-1520,-1532,1520,1532
axis,__GLOBAL__,__SOURCE__,nn_other,5,33649,-33642,-33623,33642,33623,9156,9344,-9148,-9336,9148,9336
axis,__GLOBAL__,__SOURCE__,nn_other,6,100947,-100821,-100636,100821,100636,39336,40710,-39200,-40558,39200,40558
axis,__GLOBAL__,__SOURCE__,nn_other,7,245157,-244028,-242847,244028,242847,128404,134234,-127236,-132822,127236,132822
axis,__GLOBAL__,__SOURCE__,nn_other,8,490314,-483784,-478372,483784,478380,331068,345164,-324472,-336848,324472,336864
axis,__GLOBAL__,__SOURCE__,nn_other,9,817190,-790316,-771500,790340,771716,691468,701576,-664080,-666472,664112,666824
axis,__GLOBAL__,__SOURCE__,nn_other,10,1144066,-1061068,-1009805,1061572,1012337,1187728,1128664,-1098408,-1015358,1098984,1018846
axis,__GLOBAL__,__SOURCE__,nn_other,11,1352078,-1153615,-1043492,1158251,1060582,1684120,1421836,-1448376,-1139268,1453144,1159804
axis,__GLOBAL__,__SOURCE__,nn_other,12,1352078,-979802,-796677,1004442,869629,1950952,1376824,-1452668,-851844,1477828,930508
axis,__GLOBAL__,__SOURCE__,nn_other,13,1144066,-597795,-369590,680555,571000,1807564,1016806,-1002416,-326546,1093736,519482
axis,__GLOBAL__,__SOURCE__,nn_other,14,817190,-198120,7579,377618,354097,1313148,585230,-372136,36328,585744,254656
axis,__GLOBAL__,__SOURCE__,nn_other,15,490314,43621,173642,208983,248460,743964,268606,23844,115498,276804,143350
axis,__GLOBAL__,__SOURCE__,nn_other,16,245157,101929,158242,129045,166310,329296,96352,106672,68436,142384,69572
axis,__GLOBAL__,__SOURCE__,nn_other,17,100947,68710,85123,70818,85391,112568,25876,61844,22876,63972,22876
axis,__GLOBAL__,__SOURCE__,nn_other,18,33649,28809,31930,28849,31930,28796,4880,20412,4736,20412,4736
axis,__GLOBAL__,__SOURCE__,nn_other,19,8855,8414,8770,8414,8770,5200,576,4288,576,4288,576
axis,__GLOBAL__,__SOURCE__,nn_other,20,1771,1752,1771,1752,1771,592,32,544,32,544,32
axis,__GLOBAL__,__SOURCE__,nn_other,21,253,253,253,253,253,32,0,32,0,32,0
axis,__GLOBAL__,__SOURCE__,nn_other,22,23,23,23,23,23,0,0,0,0,0,0
axis,__GLOBAL__,__SOURCE__,nn_other,23,1,1,1,1,1,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,5,3,-3,0,3,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,6,57,-57,0,57,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,7,508,-508,0,508,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,8,2812,-2812,0,2812,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,9,10842,-10842,0,10842,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,10,30810,-30810,0,30810,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,11,65601,-65601,0,65601,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,12,102109,-102109,0,102109,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,13,109141,-109141,0,109141,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,14,72917,-72917,0,72917,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,15,27433,-27433,0,27433,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,16,5270,-5270,0,5270,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:absent,axial2,17,423,-423,0,423,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,4,4,-4,0,4,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,5,59,-59,0,59,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,6,415,-415,0,415,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,7,1834,-1834,0,1834,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,8,5666,-5666,0,5666,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,9,12886,-12886,0,12886,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,10,22056,-22056,0,22056,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,11,28306,-28306,0,28306,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,12,26194,-26194,0,26194,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,13,16123,-16123,0,16123,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,14,5893,-5893,0,5893,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,15,1145,-1145,0,1145,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,16,107,-107,0,107,0,0,0,0,0,0,0
axis,"collar_r1_birth:[0,1]",axial2:present,axial2,17,2,-2,0,2,0,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,8,2,0,2,0,2,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,9,60,0,60,0,60,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,10,680,0,680,0,680,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,11,4274,0,4274,0,4274,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,12,16878,0,16878,0,16878,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,13,42431,0,42431,0,42431,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,14,66343,0,66343,0,66343,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,15,61932,0,61932,0,61932,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,16,34045,0,34045,0,34045,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,17,11349,0,11349,0,11349,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,18,2361,0,2361,0,2361,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,19,295,0,295,0,295,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:absent,axial2,20,18,0,18,0,18,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,8,6,0,6,0,6,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,9,88,0,88,0,88,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,10,540,0,540,0,540,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,11,1888,0,1888,0,1888,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,12,4190,0,4190,0,4190,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,13,5857,0,5857,0,5857,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,14,4840,0,4840,0,4840,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,15,2181,0,2181,0,2181,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,16,514,0,514,0,514,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,17,63,0,63,0,63,0,0,0,0,0,0
axis,"collar_r1_birth:[1,2]",axial2:present,axial2,18,3,0,3,0,3,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,0,1,-1,-1,1,1,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,1,23,-23,-23,23,23,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,2,253,-253,-253,253,253,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,3,1771,-1771,-1771,1771,1771,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,4,8855,-8855,-8855,8855,8855,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,5,33649,-33649,-33649,33649,33649,24,24,-24,-24,24,24
tilted,__GLOBAL__,__SOURCE__,axial2,6,100947,-100947,-100912,100947,100912,352,372,-352,-372,352,372
tilted,__GLOBAL__,__SOURCE__,axial2,7,245157,-245012,-244479,245012,244479,2444,2770,-2444,-2770,2444,2770
tilted,__GLOBAL__,__SOURCE__,axial2,8,490314,-488238,-484427,488238,484427,10738,13006,-10738,-12986,10738,12986
tilted,__GLOBAL__,__SOURCE__,axial2,9,817190,-803301,-786282,803301,786354,33446,42350,-33370,-41910,33370,41910
tilted,__GLOBAL__,__SOURCE__,axial2,10,1144066,-1086414,-1033629,1086582,1035371,77718,98168,-76734,-94534,76734,94534
tilted,__GLOBAL__,__SOURCE__,axial2,11,1352078,-1186715,-1067765,1189901,1083169,136650,159634,-130964,-143564,130964,143756
tilted,__GLOBAL__,__SOURCE__,axial2,12,1352078,-1007607,-809976,1029695,882198,179208,174482,-159614,-132498,159790,134498
tilted,__GLOBAL__,__SOURCE__,axial2,13,1144066,-611040,-370556,692466,575296,169914,122706,-127494,-59080,129398,67912
tilted,__GLOBAL__,__SOURCE__,axial2,14,817190,-200036,10106,381484,355730,113556,57659,-57016,-4845,64872,21697
tilted,__GLOBAL__,__SOURCE__,axial2,15,490314,44454,173227,210430,247655,53182,19184,-7824,5784,21852,7976
tilted,__GLOBAL__,__SOURCE__,axial2,16,245157,101570,155778,128968,164044,17444,4384,4350,2626,7358,2690
tilted,__GLOBAL__,__SOURCE__,axial2,17,100947,67798,83285,70092,83661,3864,616,2330,504,2410,504
tilted,__GLOBAL__,__SOURCE__,axial2,18,33649,28295,31287,28367,31287,520,40,448,40,448,40
tilted,__GLOBAL__,__SOURCE__,axial2,19,8855,8277,8662,8277,8662,32,0,32,0,32,0
tilted,__GLOBAL__,__SOURCE__,axial2,20,1771,1734,1764,1734,1764,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,21,253,252,253,252,253,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,22,23,23,23,23,23,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,axial2,23,1,1,1,1,1,0,0,0,0,0,0
tilted,__GLOBAL__,__SOURCE__,diag1,0,1,-1,-1,1,1,0,0,0,0,0,0
