batch,replicas,sum_km1,sum_km2,sum_kp1,sum_kp2,sum_km1km2,sum_kp1kp2,sum_km1kp2,sum_kp1km2,sum_gap1gap2
0,50000,2374222,2376183,2704624,2705473,112844884,146327599,128448861,128510613,2213009
1,50000,2374901,2377134,2705862,2707267,112915666,146494005,128564480,128607471,2237720
2,50000,2375528,2376948,2706730,2708227,112942411,146599772,128657018,128649393,2235772
3,50000,2375507,2376469,2705855,2706427,112909189,146454004,128568535,128574425,2220233
4,50000,2374488,2376899,2705459,2706649,112884247,146430779,128531021,128577720,2206285
5,50000,2373029,2376793,2704936,2707845,112820437,146481872,128503566,128557863,2240880
6,50000,2374639,2376906,2703715,2707439,112896548,146389529,128576305,128496137,2213635
7,50000,2372738,2376116,2705063,2708094,112777399,146492274,128493808,128515190,2260675
8,50000,2374550,2377235,2704204,2707445,112905052,146410007,128562336,128523890,2228833
9,50000,2373342,2375242,2704472,2705344,112742592,146313065,128390122,128443058,2222477
10,50000,2374395,2375948,2705162,2706152,112842977,146400040,128498207,128514359,2230451
11,50000,2374119,2377106,2703800,2707651,112871780,146405572,128549690,128506722,2220940
12,50000,2374355,2377097,2707034,2705801,112893636,146484986,128476374,128670300,2231948
13,50000,2375949,2377313,2706440,2708016,112985833,146577414,128670165,128651902,2241180
14,50000,2375265,2377322,2704314,2707649,112934992,146418448,128602508,128545300,2205632
15,50000,2373646,2376670,2705091,2705860,112839753,146378358,128436182,128545553,2236376
16,50000,2374742,2375915,2704197,2705539,112852158,146314744,128492951,128461520,2212431
17,50000,2374324,2377506,2704224,2708125,112913756,146450686,128580249,128557674,2226519
18,50000,2373279,2377366,2703626,2706627,112842326,146339191,128448724,128516095,2216698
19,50000,2373559,2377345,2704589,2707328,112865142,146428220,128503296,128560651,2229415
20,50000,2374909,2377251,2703994,2706332,112920763,146339320,128526271,128522054,2211758
21,50000,2374680,2375479,2704574,2707378,112838498,146432432,128569617,128461694,2239619
22,50000,2374728,2376332,2705686,2707260,112878807,146487219,128555468,128563842,2246716
23,50000,2374298,2375492,2705991,2705385,112814591,146400619,128456324,128530595,2228291
24,50000,2375460,2377850,2705789,2708242,112973979,146547595,128650407,128642291,2228876
25,50000,2371711,2375838,2703940,2707709,112700020,146414301,128410412,128449907,2254002
26,50000,2375241,2377296,2704717,2706381,112937060,146375551,128543475,128560068,2209068
27,50000,2374822,2376947,2706398,2708293,112911406,146575742,128620949,128624452,2241747
28,50000,2372542,2377309,2703843,2706638,112811798,146346302,128417742,128527673,2212685
29,50000,2374230,2376108,2704565,2704753,112837797,146286852,128417046,128495220,2212383
30,50000,2373134,2376870,2705145,2706242,112824111,146411393,128440158,128570538,2224808
31,50000,2374708,2376203,2706357,2706454,112868699,146471313,128524637,128581092,2234283
32,50000,2373083,2377782,2703913,2706980,112854005,146370408,128450244,128550944,2223225
33,50000,2375358,2377769,2704999,2707093,112963057,146443988,128589245,128603002,2214798
34,50000,2374378,2375974,2704800,2706273,112838036,146391693,128504369,128510181,2215179
35,50000,2375634,2377263,2707664,2706842,112954912,146564768,128588764,128695490,2235426
36,50000,2375974,2376229,2706038,2706842,112920307,146473143,128605222,128560026,2228202
37,50000,2375079,2375106,2705321,2707691,112828746,146487801,128609853,128484087,2222607
38,50000,2374111,2376847,2705025,2705847,112853945,146367674,128461806,128546630,2213183
39,50000,2373793,2374761,2704839,2706044,112748211,146377440,128449974,128429209,2246468
