geometry,L,root_index,root_real,root_imaginary,is_real,is_upper_half,normalized_polynomial_residual,precision_stability_distance,conjugate_root_index,conjugate_pair_distance,matching_partner_root_index,matching_partner_expected_real,matching_partner_expected_imaginary,matching_partner_pair_distance,matching_partner_normalized_residual
axis,1,0,0.5,0.0,True,False,0.0,0.0,0,0.0,0,0.5,0.0,0.0,0.0
axis,2,0,-1.3065629648763765278566431734271871535837611883493,0.0,True,False,8.7954528901669569586765297582826093589910145212954e-121,1.9262814325071276508555340635843805146348602039134e-91,0,0.0,3,2.3065629648763765278566431734271871535837611883493,0.0,0.0,6.0560786233211352935934430197463751928431480816093e-122
axis,2,1,-0.54119610014619698439972320536638942006107206337802,0.0,True,False,1.4786030614812323697073013640279276541399326703123e-121,4.9193895105092247670055902134219095080142738569638e-91,1,0.0,2,1.541196100146196984399723205366389420061072063378,0.0,0.0,5.7197293400636816856913534295800088465757649708246e-123
axis,2,2,0.54119610014619698439972320536638942006107206337802,0.0,True,False,1.4786030614812323697073013640279276541399326703123e-121,4.9193895105092247670055902134219095080142738569638e-91,2,0.0,1,0.45880389985380301560027679463361057993892793662198,0.0,0.0,9.7724382588949058906597526012948674081768974134928e-122
axis,2,3,1.3065629648763765278566431734271871535837611883493,0.0,True,False,8.7954528901669569586765297582826093589910145212954e-121,1.9262814325071276508555340635843805146348602039134e-91,3,0.0,0,-0.30656296487637652785664317342718715358376118834927,0.0,2.0000000000030188525019478607511053272969365625972e-120,6.0059109089417907118711168260441805229406255528083e-120
axis,3,0,-0.71702138089689655130036921749317914723900940835993,0.0,True,False,2.7067539717400476622197773476132578227160696821301e-121,2.7727121612636691974150942716959954783997029969746e-91,0,0.0,8,1.7170213808968965513003692174931791472390094083599,0.0,3.0000000000045282787529217911266579909454048438958e-120,2.4958709006594706027814224676002588651018346389181e-124
axis,3,1,-0.29559987096644865270683905013480931912990221876134,-0.4305744186753440758405274778920995467386945625881,False,False,1.2937670721699066457658878302042994118640180209627e-120,4.1346120791715415915631161495817837565300166914895e-91,2,0.0,7,1.2955998709664486527068390501348093191299022187613,0.4305744186753440758405274778920995467386945625881,3.9999999999834962533003172650062171712869960904341e-120,1.4898252727915433500022690948865777650378415536549e-123
axis,3,2,-0.29559987096644865270683905013480931912990221876134,0.4305744186753440758405274778920995467386945625881,False,True,1.2937670721699066457658878302042994118640180209627e-120,4.1346120791715415915631161495817837565300166914895e-91,1,0.0,6,1.2955998709664486527068390501348093191299022187613,-0.4305744186753440758405274778920995467386945625881,3.9999999999834962533003172650062171712869960904341e-120,1.4898252727915433500022690948865777650378415536549e-123
axis,3,3,-0.045021901110775668680105854943520615468779846022084,-0.72865365233065995749434007115903774353496437198157,False,False,7.4967200257547336292358624876773743317659459631566e-121,1.0710596526093601553165288595081248905437436959239e-91,4,0.0,5,1.0450219011107756686801058549435206154687798460221,0.72865365233065995749434007115903774353496437198157,4.799999999989212084641812100605857998867146122425e-120,4.0658894735390704131905752379592686486822406435075e-123
axis,3,4,-0.045021901110775668680105854943520615468779846022084,0.72865365233065995749434007115903774353496437198157,False,True,7.4967200257547336292358624876773743317659459631566e-121,1.0710596526093601553165288595081248905437436959239e-91,3,0.0,4,1.0450219011107756686801058549435206154687798460221,-0.72865365233065995749434007115903774353496437198157,4.799999999989212084641812100605857998867146122425e-120,4.0658894735390704131905752379592686486822406435075e-123
axis,3,5,0.58651145511267563565455897660690173482430062489384,0.0,True,False,6.0360924445840910517811466813017635889155690773195e-121,4.2545395754016554861712367462788248862950353368548e-92,5,0.0,3,0.41348854488732436434544102339309826517569937510616,0.0,0.0,1.7901180264956318592718012394139038437522346837625e-121
