label,n,m00,m01,m10,m11,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,sum_global_twice,global_twice_score_t,global_twice_score_lambda,sum_epsilon_sign,epsilon_sign_score_t,epsilon_sign_score_lambda,sum_local_twice,local_twice_score_t,local_twice_score_lambda
N260_16_2,260,16,-2,2,16,4,4,15500000800,15500001000,200,-184,-144,188768,208992,-3840,-13,2316,1636,-18,1552,-768,-2,4,12
N260_16_2,260,16,-2,2,16,8,4,15500000800,15500001000,200,-184,-144,188768,208992,-3840,-13,2316,1636,-18,1552,-768,4,-132,76
N340_18_4,340,18,-4,4,18,2,4,15500000800,15500001000,200,340,300,245296,268976,28496,-1,2652,2556,-18,1536,-448,2,16,-72
N340_18_4,340,18,-4,4,18,4,4,15500000800,15500001000,200,340,300,245296,268976,28496,-1,2652,2556,-18,1536,-448,-3,28,180
N340_18_4,340,18,-4,4,18,8,4,15500000800,15500001000,200,340,300,245296,268976,28496,-1,2652,2556,-18,1536,-448,5,156,-172
N260_16_2,260,16,-2,2,16,2,5,15500001000,15500001200,200,-596,-588,229776,176272,-4752,0,2612,1284,0,1088,80,-5,96,-72
N260_16_2,260,16,-2,2,16,4,5,15500001000,15500001200,200,-596,-588,229776,176272,-4752,0,2612,1284,0,1088,80,-1,68,4
N260_16_2,260,16,-2,2,16,8,5,15500001000,15500001200,200,-596,-588,229776,176272,-4752,0,2612,1284,0,1088,80,-3,52,-60
N340_18_4,340,18,-4,4,18,2,5,15500001000,15500001200,200,-276,-444,306576,246096,-1072,-8,2480,2216,0,1336,824,-4,-28,-84
N340_18_4,340,18,-4,4,18,4,5,15500001000,15500001200,200,-276,-444,306576,246096,-1072,-8,2480,2216,0,1336,824,2,148,20
N340_18_4,340,18,-4,4,18,8,5,15500001000,15500001200,200,-276,-444,306576,246096,-1072,-8,2480,2216,0,1336,824,6,196,84
N260_16_2,260,16,-2,2,16,2,6,15500001200,15500001400,200,1328,392,244000,212384,-2688,11,2516,1556,26,536,504,3,84,-100
N260_16_2,260,16,-2,2,16,4,6,15500001200,15500001400,200,1328,392,244000,212384,-2688,11,2516,1556,26,536,504,2,136,56
N260_16_2,260,16,-2,2,16,8,6,15500001200,15500001400,200,1328,392,244000,212384,-2688,11,2516,1556,26,536,504,1,-64,16
N340_18_4,340,18,-4,4,18,2,6,15500001200,15500001400,200,1280,-184,300576,215520,-16224,15,2952,920,26,368,-432,1,32,-104
N340_18_4,340,18,-4,4,18,4,6,15500001200,15500001400,200,1280,-184,300576,215520,-16224,15,2952,920,26,368,-432,0,64,-64
N340_18_4,340,18,-4,4,18,8,6,15500001200,15500001400,200,1280,-184,300576,215520,-16224,15,2952,920,26,368,-432,-2,80,-56
N260_16_2,260,16,-2,2,16,2,7,15500001400,15500001600,200,436,276,211568,169968,14128,11,2504,1376,20,1864,-488,2,56,-104
N260_16_2,260,16,-2,2,16,4,7,15500001400,15500001600,200,436,276,211568,169968,14128,11,2504,1376,20,1864,-488,6,92,-52
N260_16_2,260,16,-2,2,16,8,7,15500001400,15500001600,200,436,276,211568,169968,14128,11,2504,1376,20,1864,-488,-3,72,16
N340_18_4,340,18,-4,4,18,2,7,15500001400,15500001600,200,476,-564,296112,229552,176,12,2688,1256,20,2048,112,1,84,-68
N340_18_4,340,18,-4,4,18,4,7,15500001400,15500001600,200,476,-564,296112,229552,176,12,2688,1256,20,2048,112,-1,-44,68
N340_18_4,340,18,-4,4,18,8,7,15500001400,15500001600,200,476,-564,296112,229552,176,12,2688,1256,20,2048,112,2,-24,-16
