n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
65,15,20000,0.59274605078999998,direction_1,8,1,7,4,10400,10406,10450,10444
65,16,20000,0.59274605078999998,cross,8,1,7,4,6116,6384,6184,6294
65,16,20000,0.59274605078999998,both,8,1,7,4,6872,7140,6887,6997
65,16,20000,0.59274605078999998,either,8,1,7,4,13616,13884,13706,13816
65,16,20000,0.59274605078999998,direction_0,8,1,7,4,10274,10542,10299,10409
65,16,20000,0.59274605078999998,direction_1,8,1,7,4,10214,10482,10294,10404
65,17,20000,0.59274605078999998,cross,8,1,7,4,6332,6244,6218,6266
65,17,20000,0.59274605078999998,both,8,1,7,4,7085,6997,6919,6967
65,17,20000,0.59274605078999998,either,8,1,7,4,13756,13668,13734,13782
65,17,20000,0.59274605078999998,direction_0,8,1,7,4,10451,10363,10260,10308
65,17,20000,0.59274605078999998,direction_1,8,1,7,4,10390,10302,10393,10441
65,18,20000,0.59274605078999998,cross,8,1,7,4,6417,6231,6383,6215
65,18,20000,0.59274605078999998,both,8,1,7,4,7144,6958,7155,6987
65,18,20000,0.59274605078999998,either,8,1,7,4,13769,13583,13785,13617
65,18,20000,0.59274605078999998,direction_0,8,1,7,4,10464,10278,10480,10312
65,18,20000,0.59274605078999998,direction_1,8,1,7,4,10449,10263,10460,10292
65,19,20000,0.59274605078999998,cross,8,1,7,4,6302,6147,6346,6233
65,19,20000,0.59274605078999998,both,8,1,7,4,7039,6884,7092,6979
65,19,20000,0.59274605078999998,either,8,1,7,4,13853,13698,13767,13654
65,19,20000,0.59274605078999998,direction_0,8,1,7,4,10537,10382,10483,10370
65,19,20000,0.59274605078999998,direction_1,8,1,7,4,10355,10200,10376,10263
65,20,20000,0.59274605078999998,cross,8,1,7,4,6178,6264,6160,6302
65,20,20000,0.59274605078999998,both,8,1,7,4,6915,7001,6901,7043
65,20,20000,0.59274605078999998,either,8,1,7,4,13736,13822,13698,13840
65,20,20000,0.59274605078999998,direction_0,8,1,7,4,10299,10385,10255,10397
65,20,20000,0.59274605078999998,direction_1,8,1,7,4,10352,10438,10344,10486
65,21,20000,0.59274605078999998,cross,8,1,7,4,6250,6256,6168,6292
65,21,20000,0.59274605078999998,both,8,1,7,4,6944,6950,6852,6976
65,21,20000,0.59274605078999998,either,8,1,7,4,13744,13750,13708,13832
65,21,20000,0.59274605078999998,direction_0,8,1,7,4,10369,10375,10314,10438
65,21,20000,0.59274605078999998,direction_1,8,1,7,4,10319,10325,10246,10370
65,22,20000,0.59274605078999998,cross,8,1,7,4,6184,6373,6164,6393
65,22,20000,0.59274605078999998,both,8,1,7,4,6903,7092,6886,7115
65,22,20000,0.59274605078999998,either,8,1,7,4,13627,13816,13607,13836
65,22,20000,0.59274605078999998,direction_0,8,1,7,4,10260,10449,10301,10530
65,22,20000,0.59274605078999998,direction_1,8,1,7,4,10270,10459,10192,10421
65,23,20000,0.59274605078999998,cross,8,1,7,4,6345,6297,6148,6373
65,23,20000,0.59274605078999998,both,8,1,7,4,7067,7019,6884,7109
65,23,20000,0.59274605078999998,either,8,1,7,4,13703,13655,13627,13852
65,23,20000,0.59274605078999998,direction_0,8,1,7,4,10399,10351,10257,10482
65,23,20000,0.59274605078999998,direction_1,8,1,7,4,10371,10323,10254,10479
65,24,20000,0.59274605078999998,cross,8,1,7,4,6323,6134,6385,6222
65,24,20000,0.59274605078999998,both,8,1,7,4,7059,6870,7129,6966
65,24,20000,0.59274605078999998,either,8,1,7,4,13866,13677,13778,13615
65,24,20000,0.59274605078999998,direction_0,8,1,7,4,10484,10295,10447,10284
