sector,N,estimate,sampling_se,frozen_mean,source_coefficient_se,residual,combined_marginal_se,residual_z,zero_z,two_size_target_chi_square,two_size_target_df,two_size_zero_chi_square
DeltaM,185,0.00013683009348575636,3.423519173966598e-05,0.00019223156676869253,8.581548700390585e-06,-5.540147328293618e-05,3.529435268635578e-05,-1.5696979563632423,3.996767260024446,3.045975773286075,2,29.40938431214955
DeltaM,265,0.00012711031441723863,3.467832774042033e-05,0.0001567390401230751,6.997101093636327e-06,-2.9628725705836456e-05,3.5377193763589744e-05,-0.8375092129644941,3.6654107247819083,3.045975773286075,2,29.40938431214955
DeltaS,185,-6.0815376233385734e-05,8.089565565582085e-06,6.752163745881449e-05,5.964854295017754e-06,-0.00012833701369220022,1.005089835789036e-05,-12.768710728374892,-7.51775552597425,240.2472113766935,2,112.53890899529225
DeltaS,265,-7.024950784522366e-05,9.385620077608982e-06,6.891944697034459e-05,6.088336639081946e-06,-0.00013916895481556825,1.1187390547934065e-05,-12.43980481590214,-7.484801991166891,240.2472113766935,2,112.53890899529225
