n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
85,9,2,first,0,0,1000,-1000,1000,1000,-1000,1000
85,9,2,first,0,1,1000,-1000,1000,2000,-2000,2000
85,9,2,first,0,2,1000,-1000,1000,2952,-2952,2952
85,9,2,first,0,3,1000,-1000,1000,3863,-3863,3863
85,9,2,first,0,4,1000,-1000,1000,4717,-4717,4717
85,9,2,first,0,5,1000,-1000,1000,5524,-5524,5524
85,9,2,first,0,6,1000,-1000,1000,6282,-6282,6282
85,9,2,first,0,7,1000,-1000,1000,6977,-6977,6977
85,9,2,first,0,8,1000,-1000,1000,7637,-7637,7637
85,9,2,first,0,9,1000,-1000,1000,8264,-8264,8264
85,9,2,first,0,10,1000,-1000,1000,8834,-8834,8834
85,9,2,first,0,11,1000,-1000,1000,9338,-9338,9338
85,9,2,first,0,12,1000,-1000,1000,9800,-9800,9800
85,9,2,first,0,13,1000,-1000,1000,10243,-10243,10243
85,9,2,first,0,14,1000,-1000,1000,10627,-10627,10627
85,9,2,first,0,15,1000,-1000,1000,10971,-10971,10971
85,9,2,first,0,16,1000,-1000,1000,11311,-11311,11311
85,9,2,first,0,17,1000,-1000,1000,11536,-11536,11536
85,9,2,first,0,18,1000,-1000,1000,11767,-11767,11767
85,9,2,first,0,19,1000,-1000,1000,11921,-11921,11921
85,9,2,first,0,20,1000,-1000,1000,12022,-12022,12022
85,9,2,first,0,21,1000,-1000,1000,12151,-12151,12151
85,9,2,first,0,22,1000,-1000,1000,12203,-12203,12203
85,9,2,first,0,23,1000,-1000,1000,12232,-12232,12232
85,9,2,first,0,24,1000,-1000,1000,12205,-12205,12205
85,9,2,first,0,25,1000,-1000,1000,12180,-12180,12180
85,9,2,first,0,26,1000,-1000,1000,12045,-12045,12045
85,9,2,first,0,27,1000,-1000,1000,11919,-11919,11919
85,9,2,first,0,28,1000,-1000,1000,11738,-11738,11738
85,9,2,first,0,29,1000,-999,999,11562,-11556,11556
85,9,2,first,0,30,1000,-997,997,11387,-11367,11367
85,9,2,first,0,31,1000,-996,996,11134,-11103,11103
85,9,2,first,0,32,1000,-988,988,10871,-10773,10773
85,9,2,first,0,33,1000,-985,985,10547,-10425,10425
85,9,2,first,0,34,1000,-983,983,10232,-10095,10095
85,9,2,first,0,35,1000,-977,977,9841,-9662,9662
85,9,2,first,0,36,1000,-972,972,9508,-9298,9298
85,9,2,first,0,37,1000,-961,961,9164,-8871,8871
85,9,2,first,0,38,1000,-951,951,8763,-8407,8407
85,9,2,first,0,39,1000,-935,935,8327,-7876,7876
85,9,2,first,0,40,1000,-915,915,7926,-7358,7358
85,9,2,first,0,41,1000,-884,890,7511,-6759,6791
85,9,2,first,0,42,1000,-850,862,7131,-6181,6243
85,9,2,first,0,43,1000,-789,807,6715,-5403,5495
85,9,2,first,0,44,1000,-716,750,6339,-4648,4828
85,9,2,first,0,45,1000,-634,686,5964,-3918,4184
85,9,2,first,0,46,1000,-530,636,5659,-3167,3673
85,9,2,first,0,47,1000,-431,587,5383,-2458,3184
85,9,2,first,0,48,1000,-323,529,5155,-1749,2719
85,9,2,first,0,49,1000,-196,502,4962,-1030,2494
85,9,2,first,0,50,1000,-77,487,4819,-419,2323
85,9,2,first,0,51,1000,77,495,4722,338,2334
85,9,2,first,0,52,1000,208,528,4662,948,2446
85,9,2,first,0,53,1000,335,555,4691,1558,2586
85,9,2,first,0,54,1000,455,607,4761,2181,2885
85,9,2,first,0,55,1000,570,662,4860,2797,3249
85,9,2,first,0,56,1000,657,719,4988,3337,3623
85,9,2,first,0,57,1000,742,782,5135,3859,4051
85,9,2,first,0,58,1000,802,830,5325,4327,4457
85,9,2,first,0,59,1000,854,874,5565,4812,4900
85,9,2,first,0,60,1000,890,900,5822,5255,5305
85,9,2,first,0,61,1000,924,930,6088,5697,5725
85,9,2,first,0,62,1000,950,954,6323,6047,6065
85,9,2,first,0,63,1000,965,967,6584,6393,6401
85,9,2,first,0,64,1000,978,980,6809,6693,6699
85,9,2,first,0,65,1000,986,986,7022,6945,6945
85,9,2,first,0,66,1000,990,990,7239,7183,7183
85,9,2,first,0,67,1000,994,994,7377,7344,7344
85,9,2,first,0,68,1000,997,997,7468,7454,7454
85,9,2,first,0,69,1000,997,997,7549,7533,7533
85,9,2,first,0,70,1000,998,998,7626,7615,7615
85,9,2,first,0,71,1000,1000,1000,7588,7588,7588
85,9,2,first,0,72,1000,1000,1000,7553,7553,7553
85,9,2,first,0,73,1000,1000,1000,7456,7456,7456
85,9,2,first,0,74,1000,1000,1000,7355,7355,7355
85,9,2,first,0,75,1000,1000,1000,7157,7157,7157
