n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
65,8,1,first,0,0,1000,-1000,1000,1000,-1000,1000
65,8,1,first,0,1,1000,-1000,1000,2000,-2000,2000
65,8,1,first,0,2,1000,-1000,1000,2927,-2927,2927
65,8,1,first,0,3,1000,-1000,1000,3818,-3818,3818
65,8,1,first,0,4,1000,-1000,1000,4624,-4624,4624
65,8,1,first,0,5,1000,-1000,1000,5396,-5396,5396
65,8,1,first,0,6,1000,-1000,1000,6035,-6035,6035
65,8,1,first,0,7,1000,-1000,1000,6649,-6649,6649
65,8,1,first,0,8,1000,-1000,1000,7215,-7215,7215
65,8,1,first,0,9,1000,-1000,1000,7699,-7699,7699
65,8,1,first,0,10,1000,-1000,1000,8135,-8135,8135
65,8,1,first,0,11,1000,-1000,1000,8553,-8553,8553
65,8,1,first,0,12,1000,-1000,1000,8868,-8868,8868
65,8,1,first,0,13,1000,-1000,1000,9144,-9144,9144
65,8,1,first,0,14,1000,-1000,1000,9336,-9336,9336
65,8,1,first,0,15,1000,-1000,1000,9526,-9526,9526
65,8,1,first,0,16,1000,-1000,1000,9600,-9600,9600
65,8,1,first,0,17,1000,-1000,1000,9695,-9695,9695
65,8,1,first,0,18,1000,-1000,1000,9703,-9703,9703
65,8,1,first,0,19,1000,-1000,1000,9652,-9652,9652
65,8,1,first,0,20,1000,-1000,1000,9550,-9550,9550
65,8,1,first,0,21,1000,-998,998,9499,-9484,9484
65,8,1,first,0,22,1000,-998,998,9314,-9300,9300
65,8,1,first,0,23,1000,-998,998,9083,-9069,9069
65,8,1,first,0,24,1000,-994,994,8782,-8736,8736
65,8,1,first,0,25,1000,-990,990,8499,-8425,8425
65,8,1,first,0,26,1000,-985,985,8200,-8097,8097
65,8,1,first,0,27,1000,-976,976,7777,-7622,7622
65,8,1,first,0,28,1000,-960,962,7391,-7143,7149
65,8,1,first,0,29,1000,-926,928,6974,-6540,6546
65,8,1,first,0,30,1000,-892,896,6587,-5986,5998
65,8,1,first,0,31,1000,-853,865,6213,-5432,5478
65,8,1,first,0,32,1000,-797,827,5805,-4773,4883
65,8,1,first,0,33,1000,-716,764,5444,-4063,4249
65,8,1,first,0,34,1000,-633,703,5091,-3359,3637
65,8,1,first,0,35,1000,-517,637,4786,-2604,3078
65,8,1,first,0,36,1000,-387,573,4505,-1831,2571
65,8,1,first,0,37,1000,-247,521,4304,-1152,2240
65,8,1,first,0,38,1000,-79,487,4112,-344,1986
65,8,1,first,0,39,1000,92,478,3999,354,1890
65,8,1,first,0,40,1000,256,528,3973,1023,2079
65,8,1,first,0,41,1000,414,582,3985,1687,2353
65,8,1,first,0,42,1000,559,657,4051,2321,2697
65,8,1,first,0,43,1000,673,725,4165,2884,3078
65,8,1,first,0,44,1000,753,775,4373,3383,3451
65,8,1,first,0,45,1000,832,842,4594,3903,3935
65,8,1,first,0,46,1000,887,891,4814,4356,4372
65,8,1,first,0,47,1000,928,930,5070,4763,4773
65,8,1,first,0,48,1000,949,949,5303,5080,5080
65,8,1,first,0,49,1000,969,969,5517,5376,5376
65,8,1,first,0,50,1000,983,983,5688,5615,5615
65,8,1,first,0,51,1000,990,990,5896,5851,5851
65,8,1,first,0,52,1000,997,997,6038,6026,6026
65,8,1,first,0,53,1000,999,999,6159,6156,6156
65,8,1,first,0,54,1000,1000,1000,6253,6253,6253
65,8,1,first,0,55,1000,1000,1000,6189,6189,6189
65,8,1,first,0,56,1000,1000,1000,6086,6086,6086
65,8,1,first,0,57,1000,1000,1000,5885,5885,5885
65,8,1,first,0,58,1000,1000,1000,5630,5630,5630
65,8,1,first,0,59,1000,1000,1000,5278,5278,5278
65,8,1,first,0,60,1000,1000,1000,4838,4838,4838
65,8,1,first,0,61,1000,1000,1000,4301,4301,4301
65,8,1,first,0,62,1000,1000,1000,3648,3648,3648
65,8,1,first,0,63,1000,1000,1000,2877,2877,2877
65,8,1,first,0,64,1000,1000,1000,2000,2000,2000
65,8,1,first,0,65,1000,1000,1000,1000,1000,1000
65,7,4,second,0,0,1000,-1000,1000,1000,-1000,1000
65,7,4,second,0,1,1000,-1000,1000,2000,-2000,2000
65,7,4,second,0,2,1000,-1000,1000,2930,-2930,2930
65,7,4,second,0,3,1000,-1000,1000,3808,-3808,3808
65,7,4,second,0,4,1000,-1000,1000,4631,-4631,4631
65,7,4,second,0,5,1000,-1000,1000,5390,-5390,5390
65,7,4,second,0,6,1000,-1000,1000,6088,-6088,6088
65,7,4,second,0,7,1000,-1000,1000,6667,-6667,6667
65,7,4,second,0,8,1000,-1000,1000,7229,-7229,7229
65,7,4,second,0,9,1000,-1000,1000,7745,-7745,7745
65,7,4,second,0,10,1000,-1000,1000,8218,-8218,8218
65,7,4,second,0,11,1000,-1000,1000,8608,-8608,8608
65,7,4,second,0,12,1000,-1000,1000,8938,-8938,8938
65,7,4,second,0,13,1000,-1000,1000,9183,-9183,9183
65,7,4,second,0,14,1000,-1000,1000,9418,-9418,9418
65,7,4,second,0,15,1000,-1000,1000,9557,-9557,9557
65,7,4,second,0,16,1000,-1000,1000,9678,-9678,9678
65,7,4,second,0,17,1000,-1000,1000,9790,-9790,9790
65,7,4,second,0,18,1000,-1000,1000,9793,-9793,9793
65,7,4,second,0,19,1000,-1000,1000,9672,-9672,9672
65,7,4,second,0,20,1000,-999,999,9570,-9564,9564
65,7,4,second,0,21,1000,-998,998,9398,-9386,9386
65,7,4,second,0,22,1000,-998,998,9193,-9180,9180
65,7,4,second,0,23,1000,-996,996,9006,-8977,8977
65,7,4,second,0,24,1000,-994,994,8767,-8725,8725
65,7,4,second,0,25,1000,-988,988,8494,-8416,8416
65,7,4,second,0,26,1000,-983,983,8179,-8065,8065
65,7,4,second,0,27,1000,-976,976,7863,-7707,7707
65,7,4,second,0,28,1000,-957,957,7471,-7204,7204
65,7,4,second,0,29,1000,-943,943,7088,-6745,6745
65,7,4,second,0,30,1000,-910,910,6691,-6169,6169
65,7,4,second,0,31,1000,-869,875,6262,-5544,5570
65,7,4,second,0,32,1000,-816,826,5887,-4901,4947
65,7,4,second,0,33,1000,-730,762,5525,-4168,4312
65,7,4,second,0,34,1000,-639,693,5141,-3417,3653
65,7,4,second,0,35,1000,-524,618,4831,-2637,3049
65,7,4,second,0,36,1000,-413,573,4544,-1979,2661
65,7,4,second,0,37,1000,-282,526,4323,-1280,2280
65,7,4,second,0,38,1000,-124,486,4157,-526,2006
65,7,4,second,0,39,1000,39,475,4034,110,1924
65,7,4,second,0,40,1000,207,503,3970,864,2012
65,7,4,second,0,41,1000,365,537,3987,1523,2199
