n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
130,11,3,first,0,0,1000,-1000,1000,1000,-1000,1000
130,11,3,first,0,1,1000,-1000,1000,2000,-2000,2000
130,11,3,first,0,2,1000,-1000,1000,2960,-2960,2960
130,11,3,first,0,3,1000,-1000,1000,3902,-3902,3902
130,11,3,first,0,4,1000,-1000,1000,4808,-4808,4808
130,11,3,first,0,5,1000,-1000,1000,5699,-5699,5699
130,11,3,first,0,6,1000,-1000,1000,6528,-6528,6528
130,11,3,first,0,7,1000,-1000,1000,7348,-7348,7348
130,11,3,first,0,8,1000,-1000,1000,8122,-8122,8122
130,11,3,first,0,9,1000,-1000,1000,8836,-8836,8836
130,11,3,first,0,10,1000,-1000,1000,9555,-9555,9555
130,11,3,first,0,11,1000,-1000,1000,10258,-10258,10258
130,11,3,first,0,12,1000,-1000,1000,10879,-10879,10879
130,11,3,first,0,13,1000,-1000,1000,11496,-11496,11496
130,11,3,first,0,14,1000,-1000,1000,12081,-12081,12081
130,11,3,first,0,15,1000,-1000,1000,12672,-12672,12672
130,11,3,first,0,16,1000,-1000,1000,13194,-13194,13194
130,11,3,first,0,17,1000,-1000,1000,13673,-13673,13673
130,11,3,first,0,18,1000,-1000,1000,14169,-14169,14169
130,11,3,first,0,19,1000,-1000,1000,14598,-14598,14598
130,11,3,first,0,20,1000,-1000,1000,15029,-15029,15029
130,11,3,first,0,21,1000,-1000,1000,15479,-15479,15479
130,11,3,first,0,22,1000,-1000,1000,15886,-15886,15886
130,11,3,first,0,23,1000,-1000,1000,16220,-16220,16220
130,11,3,first,0,24,1000,-1000,1000,16572,-16572,16572
130,11,3,first,0,25,1000,-1000,1000,16857,-16857,16857
130,11,3,first,0,26,1000,-1000,1000,17125,-17125,17125
130,11,3,first,0,27,1000,-1000,1000,17329,-17329,17329
130,11,3,first,0,28,1000,-1000,1000,17517,-17517,17517
130,11,3,first,0,29,1000,-1000,1000,17687,-17687,17687
130,11,3,first,0,30,1000,-1000,1000,17871,-17871,17871
130,11,3,first,0,31,1000,-1000,1000,17962,-17962,17962
130,11,3,first,0,32,1000,-1000,1000,18080,-18080,18080
130,11,3,first,0,33,1000,-1000,1000,18157,-18157,18157
130,11,3,first,0,34,1000,-1000,1000,18165,-18165,18165
130,11,3,first,0,35,1000,-1000,1000,18191,-18191,18191
130,11,3,first,0,36,1000,-1000,1000,18177,-18177,18177
130,11,3,first,0,37,1000,-1000,1000,18158,-18158,18158
130,11,3,first,0,38,1000,-1000,1000,18120,-18120,18120
130,11,3,first,0,39,1000,-1000,1000,18075,-18075,18075
130,11,3,first,0,40,1000,-1000,1000,17970,-17970,17970
130,11,3,first,0,41,1000,-999,999,17871,-17859,17859
130,11,3,first,0,42,1000,-999,999,17728,-17716,17716
130,11,3,first,0,43,1000,-999,999,17586,-17573,17573
130,11,3,first,0,44,1000,-999,999,17379,-17365,17365
130,11,3,first,0,45,1000,-999,999,17160,-17147,17147
130,11,3,first,0,46,1000,-999,999,16925,-16912,16912
130,11,3,first,0,47,1000,-999,999,16697,-16683,16683
130,11,3,first,0,48,1000,-998,998,16385,-16358,16358
130,11,3,first,0,49,1000,-998,998,16126,-16098,16098
130,11,3,first,0,50,1000,-998,998,15818,-15790,15790
130,11,3,first,0,51,1000,-995,995,15533,-15464,15464
130,11,3,first,0,52,1000,-991,991,15241,-15128,15128
130,11,3,first,0,53,1000,-989,989,14873,-14740,14740
130,11,3,first,0,54,1000,-986,986,14539,-14360,14360
130,11,3,first,0,55,1000,-984,984,14158,-13955,13955
130,11,3,first,0,56,1000,-981,981,13762,-13526,13526
130,11,3,first,0,57,1000,-977,977,13356,-13075,13075
130,11,3,first,0,58,1000,-971,971,13008,-12672,12672
130,11,3,first,0,59,1000,-970,970,12602,-12261,12261
130,11,3,first,0,60,1000,-965,965,12273,-11885,11885
130,11,3,first,0,61,1000,-952,954,11823,-11344,11362
130,11,3,first,0,62,1000,-938,940,11434,-10816,10836
130,11,3,first,0,63,1000,-926,928,10982,-10261,10281
130,11,3,first,0,64,1000,-907,909,10615,-9729,9749
130,11,3,first,0,65,1000,-878,880,10218,-9099,9119
130,11,3,first,0,66,1000,-847,857,9829,-8483,8561
130,11,3,first,0,67,1000,-808,826,9451,-7838,7974
130,11,3,first,0,68,1000,-774,802,9059,-7234,7456
130,11,3,first,0,69,1000,-727,765,8687,-6544,6830
130,11,3,first,0,70,1000,-670,724,8340,-5809,6217
130,11,3,first,0,71,1000,-596,680,8071,-5076,5662
130,11,3,first,0,72,1000,-505,629,7787,-4181,5067
130,11,3,first,0,73,1000,-411,601,7499,-3326,4614
130,11,3,first,0,74,1000,-305,567,7303,-2477,4259
130,11,3,first,0,75,1000,-214,550,7092,-1713,3941
130,11,3,first,0,76,1000,-115,523,6963,-949,3649
130,11,3,first,0,77,1000,-13,525,6814,-202,3576
130,11,3,first,0,78,1000,76,532,6684,484,3520
130,11,3,first,0,79,1000,167,535,6640,1120,3534
130,11,3,first,0,80,1000,283,551,6600,1851,3615
130,11,3,first,0,81,1000,370,568,6621,2448,3734
130,11,3,first,0,82,1000,466,608,6681,3175,4089
130,11,3,first,0,83,1000,559,653,6702,3832,4468
130,11,3,first,0,84,1000,637,695,6768,4376,4786
130,11,3,first,0,85,1000,718,758,6937,5061,5329
130,11,3,first,0,86,1000,773,797,7117,5581,5741
130,11,3,first,0,87,1000,815,831,7312,6061,6161
130,11,3,first,0,88,1000,865,875,7497,6569,6629
130,11,3,first,0,89,1000,896,902,7722,6983,7025
130,11,3,first,0,90,1000,927,929,7915,7391,7403
130,11,3,first,0,91,1000,939,941,8160,7727,7737
130,11,3,first,0,92,1000,952,952,8393,8034,8034
130,11,3,first,0,93,1000,964,964,8608,8330,8330
130,11,3,first,0,94,1000,975,975,8830,8638,8638
130,11,3,first,0,95,1000,977,977,9084,8904,8904
130,11,3,first,0,96,1000,984,984,9340,9216,9216
130,11,3,first,0,97,1000,991,991,9569,9488,9488
130,11,3,first,0,98,1000,993,993,9785,9720,9720
130,11,3,first,0,99,1000,995,995,9990,9943,9943
130,11,3,first,0,100,1000,995,995,10171,10123,10123
130,11,3,first,0,101,1000,997,997,10341,10315,10315
130,11,3,first,0,102,1000,997,997,10502,10476,10476
130,11,3,first,0,103,1000,999,999,10636,10626,10626
130,11,3,first,0,104,1000,1000,1000,10705,10705,10705
130,11,3,first,0,105,1000,1000,1000,10824,10824,10824
130,11,3,first,0,106,1000,1000,1000,10894,10894,10894
130,11,3,first,0,107,1000,1000,1000,10907,10907,10907
130,11,3,first,0,108,1000,1000,1000,10910,10910,10910
130,11,3,first,0,109,1000,1000,1000,10869,10869,10869
130,11,3,first,0,110,1000,1000,1000,10848,10848,10848
130,11,3,first,0,111,1000,1000,1000,10796,10796,10796
130,11,3,first,0,112,1000,1000,1000,10686,10686,10686
130,11,3,first,0,113,1000,1000,1000,10560,10560,10560
130,11,3,first,0,114,1000,1000,1000,10382,10382,10382
130,11,3,first,0,115,1000,1000,1000,10165,10165,10165
130,11,3,first,0,116,1000,1000,1000,9912,9912,9912
130,11,3,first,0,117,1000,1000,1000,9585,9585,9585
130,11,3,first,0,118,1000,1000,1000,9241,9241,9241
130,11,3,first,0,119,1000,1000,1000,8870,8870,8870
130,11,3,first,0,120,1000,1000,1000,8402,8402,8402
130,11,3,first,0,121,1000,1000,1000,7924,7924,7924
130,11,3,first,0,122,1000,1000,1000,7350,7350,7350
130,11,3,first,0,123,1000,1000,1000,6759,6759,6759
130,11,3,first,0,124,1000,1000,1000,6101,6101,6101
130,11,3,first,0,125,1000,1000,1000,5400,5400,5400
130,11,3,first,0,126,1000,1000,1000,4641,4641,4641
130,11,3,first,0,127,1000,1000,1000,3823,3823,3823
130,11,3,first,0,128,1000,1000,1000,2948,2948,2948
130,11,3,first,0,129,1000,1000,1000,2000,2000,2000
130,11,3,first,0,130,1000,1000,1000,1000,1000,1000
130,9,7,second,0,0,1000,-1000,1000,1000,-1000,1000
130,9,7,second,0,1,1000,-1000,1000,2000,-2000,2000
130,9,7,second,0,2,1000,-1000,1000,2973,-2973,2973
130,9,7,second,0,3,1000,-1000,1000,3900,-3900,3900
130,9,7,second,0,4,1000,-1000,1000,4816,-4816,4816
130,9,7,second,0,5,1000,-1000,1000,5688,-5688,5688
130,9,7,second,0,6,1000,-1000,1000,6553,-6553,6553
130,9,7,second,0,7,1000,-1000,1000,7357,-7357,7357
130,9,7,second,0,8,1000,-1000,1000,8132,-8132,8132
130,9,7,second,0,9,1000,-1000,1000,8878,-8878,8878
130,9,7,second,0,10,1000,-1000,1000,9601,-9601,9601
130,9,7,second,0,11,1000,-1000,1000,10308,-10308,10308
130,9,7,second,0,12,1000,-1000,1000,10975,-10975,10975
130,9,7,second,0,13,1000,-1000,1000,11584,-11584,11584
130,9,7,second,0,14,1000,-1000,1000,12194,-12194,12194
130,9,7,second,0,15,1000,-1000,1000,12762,-12762,12762
130,9,7,second,0,16,1000,-1000,1000,13283,-13283,13283
130,9,7,second,0,17,1000,-1000,1000,13746,-13746,13746
130,9,7,second,0,18,1000,-1000,1000,14248,-14248,14248
130,9,7,second,0,19,1000,-1000,1000,14717,-14717,14717
130,9,7,second,0,20,1000,-1000,1000,15140,-15140,15140
130,9,7,second,0,21,1000,-1000,1000,15546,-15546,15546
130,9,7,second,0,22,1000,-1000,1000,15925,-15925,15925
130,9,7,second,0,23,1000,-1000,1000,16266,-16266,16266
130,9,7,second,0,24,1000,-1000,1000,16607,-16607,16607
130,9,7,second,0,25,1000,-1000,1000,16905,-16905,16905
130,9,7,second,0,26,1000,-1000,1000,17186,-17186,17186
130,9,7,second,0,27,1000,-1000,1000,17419,-17419,17419
130,9,7,second,0,28,1000,-1000,1000,17604,-17604,17604
130,9,7,second,0,29,1000,-1000,1000,17736,-17736,17736
130,9,7,second,0,30,1000,-1000,1000,17881,-17881,17881
130,9,7,second,0,31,1000,-1000,1000,17959,-17959,17959
130,9,7,second,0,32,1000,-1000,1000,18025,-18025,18025
130,9,7,second,0,33,1000,-1000,1000,18082,-18082,18082
130,9,7,second,0,34,1000,-1000,1000,18119,-18119,18119
130,9,7,second,0,35,1000,-1000,1000,18137,-18137,18137
130,9,7,second,0,36,1000,-1000,1000,18127,-18127,18127
130,9,7,second,0,37,1000,-1000,1000,18071,-18071,18071
130,9,7,second,0,38,1000,-1000,1000,18016,-18016,18016
130,9,7,second,0,39,1000,-1000,1000,17928,-17928,17928
130,9,7,second,0,40,1000,-1000,1000,17818,-17818,17818
130,9,7,second,0,41,1000,-1000,1000,17698,-17698,17698
130,9,7,second,0,42,1000,-1000,1000,17567,-17567,17567
130,9,7,second,0,43,1000,-1000,1000,17402,-17402,17402
130,9,7,second,0,44,1000,-1000,1000,17243,-17243,17243
130,9,7,second,0,45,1000,-1000,1000,17050,-17050,17050
130,9,7,second,0,46,1000,-1000,1000,16879,-16879,16879
130,9,7,second,0,47,1000,-1000,1000,16612,-16612,16612
130,9,7,second,0,48,1000,-1000,1000,16349,-16349,16349
130,9,7,second,0,49,1000,-1000,1000,16079,-16079,16079
130,9,7,second,0,50,1000,-1000,1000,15762,-15762,15762
130,9,7,second,0,51,1000,-998,998,15450,-15425,15425
130,9,7,second,0,52,1000,-996,996,15076,-15029,15029
130,9,7,second,0,53,1000,-994,994,14773,-14697,14697
130,9,7,second,0,54,1000,-991,991,14420,-14310,14310
130,9,7,second,0,55,1000,-989,989,14110,-13975,13975
130,9,7,second,0,56,1000,-988,988,13752,-13606,13606
130,9,7,second,0,57,1000,-983,983,13356,-13159,13159
130,9,7,second,0,58,1000,-978,978,12970,-12732,12732
130,9,7,second,0,59,1000,-972,972,12546,-12244,12244
130,9,7,second,0,60,1000,-960,962,12178,-11770,11786
130,9,7,second,0,61,1000,-949,951,11754,-11230,11248
130,9,7,second,0,62,1000,-927,929,11322,-10594,10610
130,9,7,second,0,63,1000,-907,913,10961,-10052,10100
130,9,7,second,0,64,1000,-888,898,10539,-9474,9552
130,9,7,second,0,65,1000,-858,870,10140,-8833,8925
130,9,7,second,0,66,1000,-823,839,9747,-8160,8284
130,9,7,second,0,67,1000,-785,815,9327,-7480,7704
130,9,7,second,0,68,1000,-747,785,8941,-6810,7090
130,9,7,second,0,69,1000,-682,748,8565,-5969,6469
130,9,7,second,0,70,1000,-621,699,8244,-5280,5864
130,9,7,second,0,71,1000,-559,681,7943,-4592,5478
130,9,7,second,0,72,1000,-485,651,7607,-3813,4983
130,9,7,second,0,73,1000,-400,604,7361,-3052,4478
130,9,7,second,0,74,1000,-328,578,7155,-2423,4181
130,9,7,second,0,75,1000,-222,548,6923,-1542,3806
130,9,7,second,0,76,1000,-138,520,6741,-940,3488
130,9,7,second,0,77,1000,-46,502,6606,-267,3329
130,9,7,second,0,78,1000,84,512,6553,567,3373
130,9,7,second,0,79,1000,204,524,6504,1353,3401
130,9,7,second,0,80,1000,295,557,6500,1991,3641
130,9,7,second,0,81,1000,397,591,6507,2690,3824
130,9,7,second,0,82,1000,486,634,6561,3314,4160
130,9,7,second,0,83,1000,556,654,6611,3818,4372
130,9,7,second,0,84,1000,623,693,6770,4391,4791
130,9,7,second,0,85,1000,686,730,6920,4924,5166
130,9,7,second,0,86,1000,749,777,7089,5438,5604
130,9,7,second,0,87,1000,806,820,7276,5985,6063
130,9,7,second,0,88,1000,841,849,7431,6363,6409
130,9,7,second,0,89,1000,878,882,7616,6787,6815
130,9,7,second,0,90,1000,905,909,7829,7193,7223
130,9,7,second,0,91,1000,933,935,8067,7618,7632
130,9,7,second,0,92,1000,945,947,8362,7975,7989
130,9,7,second,0,93,1000,966,966,8593,8350,8350
130,9,7,second,0,94,1000,973,973,8834,8635,8635
130,9,7,second,0,95,1000,977,977,9119,8945,8945
130,9,7,second,0,96,1000,986,986,9347,9237,9237
130,9,7,second,0,97,1000,992,992,9611,9541,9541
