n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
170,13,1,first,0,0,1000,-1000,1000,1000,-1000,1000
170,13,1,first,0,1,1000,-1000,1000,2000,-2000,2000
170,13,1,first,0,2,1000,-1000,1000,2982,-2982,2982
170,13,1,first,0,3,1000,-1000,1000,3926,-3926,3926
170,13,1,first,0,4,1000,-1000,1000,4869,-4869,4869
170,13,1,first,0,5,1000,-1000,1000,5761,-5761,5761
170,13,1,first,0,6,1000,-1000,1000,6644,-6644,6644
170,13,1,first,0,7,1000,-1000,1000,7515,-7515,7515
170,13,1,first,0,8,1000,-1000,1000,8350,-8350,8350
170,13,1,first,0,9,1000,-1000,1000,9169,-9169,9169
170,13,1,first,0,10,1000,-1000,1000,9955,-9955,9955
170,13,1,first,0,11,1000,-1000,1000,10715,-10715,10715
170,13,1,first,0,12,1000,-1000,1000,11446,-11446,11446
170,13,1,first,0,13,1000,-1000,1000,12156,-12156,12156
170,13,1,first,0,14,1000,-1000,1000,12849,-12849,12849
170,13,1,first,0,15,1000,-1000,1000,13534,-13534,13534
170,13,1,first,0,16,1000,-1000,1000,14188,-14188,14188
170,13,1,first,0,17,1000,-1000,1000,14829,-14829,14829
170,13,1,first,0,18,1000,-1000,1000,15408,-15408,15408
170,13,1,first,0,19,1000,-1000,1000,15956,-15956,15956
170,13,1,first,0,20,1000,-1000,1000,16531,-16531,16531
170,13,1,first,0,21,1000,-1000,1000,17023,-17023,17023
170,13,1,first,0,22,1000,-1000,1000,17557,-17557,17557
170,13,1,first,0,23,1000,-1000,1000,18053,-18053,18053
170,13,1,first,0,24,1000,-1000,1000,18514,-18514,18514
170,13,1,first,0,25,1000,-1000,1000,18956,-18956,18956
170,13,1,first,0,26,1000,-1000,1000,19393,-19393,19393
170,13,1,first,0,27,1000,-1000,1000,19802,-19802,19802
170,13,1,first,0,28,1000,-1000,1000,20155,-20155,20155
170,13,1,first,0,29,1000,-1000,1000,20453,-20453,20453
170,13,1,first,0,30,1000,-1000,1000,20808,-20808,20808
170,13,1,first,0,31,1000,-1000,1000,21094,-21094,21094
170,13,1,first,0,32,1000,-1000,1000,21396,-21396,21396
170,13,1,first,0,33,1000,-1000,1000,21647,-21647,21647
170,13,1,first,0,34,1000,-1000,1000,21872,-21872,21872
170,13,1,first,0,35,1000,-1000,1000,22076,-22076,22076
170,13,1,first,0,36,1000,-1000,1000,22319,-22319,22319
170,13,1,first,0,37,1000,-1000,1000,22540,-22540,22540
170,13,1,first,0,38,1000,-1000,1000,22692,-22692,22692
170,13,1,first,0,39,1000,-1000,1000,22839,-22839,22839
170,13,1,first,0,40,1000,-1000,1000,22946,-22946,22946
170,13,1,first,0,41,1000,-1000,1000,23058,-23058,23058
170,13,1,first,0,42,1000,-1000,1000,23187,-23187,23187
170,13,1,first,0,43,1000,-1000,1000,23303,-23303,23303
170,13,1,first,0,44,1000,-1000,1000,23369,-23369,23369
170,13,1,first,0,45,1000,-1000,1000,23382,-23382,23382
170,13,1,first,0,46,1000,-1000,1000,23382,-23382,23382
170,13,1,first,0,47,1000,-1000,1000,23352,-23352,23352
170,13,1,first,0,48,1000,-1000,1000,23323,-23323,23323
170,13,1,first,0,49,1000,-1000,1000,23268,-23268,23268
170,13,1,first,0,50,1000,-1000,1000,23196,-23196,23196
170,13,1,first,0,51,1000,-1000,1000,23133,-23133,23133
170,13,1,first,0,52,1000,-1000,1000,23015,-23015,23015
170,13,1,first,0,53,1000,-1000,1000,22870,-22870,22870
170,13,1,first,0,54,1000,-1000,1000,22686,-22686,22686
170,13,1,first,0,55,1000,-1000,1000,22580,-22580,22580
170,13,1,first,0,56,1000,-1000,1000,22452,-22452,22452
170,13,1,first,0,57,1000,-1000,1000,22284,-22284,22284
170,13,1,first,0,58,1000,-1000,1000,22071,-22071,22071
170,13,1,first,0,59,1000,-1000,1000,21847,-21847,21847
170,13,1,first,0,60,1000,-1000,1000,21639,-21639,21639
170,13,1,first,0,61,1000,-1000,1000,21411,-21411,21411
170,13,1,first,0,62,1000,-1000,1000,21181,-21181,21181
170,13,1,first,0,63,1000,-1000,1000,20895,-20895,20895
170,13,1,first,0,64,1000,-1000,1000,20644,-20644,20644
170,13,1,first,0,65,1000,-1000,1000,20353,-20353,20353
170,13,1,first,0,66,1000,-1000,1000,20041,-20041,20041
170,13,1,first,0,67,1000,-998,998,19726,-19689,19689
