batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
0,0,1000,-1548.2779073125623,854.3130571935785,688.3610463437166,-3483.6398405176524,-1548.2779073125623,-854.3130571935785,0.0,0.0
1,1000,1000,4840.506248194965,-6187.190230202679,-659.055814625126,1792.2389091496532,4840.506248194965,6187.190230202679,0.0,0.0
2,2000,1000,-4614.867877445238,581.7032124947468,-1160.5478177105301,-1116.277153324128,-4614.867877445238,-581.7032124947468,0.0,0.0
3,3000,1000,-8103.42935735873,-1955.3981845572482,-664.6526158592956,3618.928184337719,-8103.42935735873,1955.3981845572482,0.0,0.0
4,4000,1000,-1534.6941853748685,784.6357282248572,1010.562645726639,6819.312431588238,-1534.6941853748685,-784.6357282248572,0.0,0.0
5,5000,1000,-14316.79040370247,-1719.2718629554688,-2262.076890836195,-4804.882666630573,-14316.79040370247,1719.2718629554688,0.0,0.0
6,6000,1000,6109.471509780875,-4146.9226907162,3651.722092687436,-1725.851297406371,6109.471509780875,4146.9226907162,0.0,0.0
7,7000,1000,2045.902615859285,1761.0782603367334,-134.2636622030014,-739.5396136181685,2045.902615859285,-1761.0782603367334,0.0,0.0
8,8000,1000,4939.207264671322,8912.032117024231,2136.2084304844207,-2455.5217593482143,4939.207264671322,-8912.032117024231,0.0,0.0
9,9000,1000,-38.36104634372009,562.444872416862,790.5210762110573,-606.2844268568156,-38.36104634372009,-562.444872416862,0.0,0.0
10,10000,1000,-982.3263079296412,-1675.4323085155324,3066.5899701326553,609.5741440822513,-982.3263079296412,1675.4323085155324,0.0,0.0
11,11000,1000,-6517.451016476367,-3672.63689045401,794.3883707497464,4629.821082487992,-6517.451016476367,3672.63689045401,0.0,0.0
12,12000,1000,8022.839970132666,2113.234585680652,-64.86787744522644,-609.5741440822452,8022.839970132666,-2113.234585680652,0.0,0.0
13,13000,1000,-2968.9578475778635,1826.689275188056,6989.637787843172,-5265.2330010990345,-2968.9578475778635,-1826.689275188056,0.0,0.0
14,14000,1000,2027.7909866090222,-1076.5039130015937,1308.3952018512496,-2519.876214032789,2027.7909866090222,1076.5039130015937,0.0,0.0
15,15000,1000,-5117.020493304504,-2964.2579256487793,-4875.000000000007,5091.427977123177,-5117.020493304504,2964.2579256487793,0.0,0.0
16,16000,1000,877.3678774452101,-5173.007614826939,-2190.2909866090044,5386.585879125346,877.3678774452101,5173.007614826939,0.0,0.0
17,17000,1000,-8851.061479913533,-5638.680823579526,-1414.0142451095708,340.25401660886746,-8851.061479913533,5638.680823579526,0.0,0.0
18,18000,1000,-2978.0136622030063,-4838.076472502235,112.28473841406958,7611.304191155941,-2978.0136622030063,4838.076472502235,0.0,0.0
19,19000,1000,-668.1116292502742,-5074.202794103953,-2636.631539648216,1668.8528740646382,-668.1116292502742,5074.202794103953,0.0,0.0
