batch,replica_first,samples,z1_re,z1_im,z2_re,z2_im
0,0,20000,0.00035724662712187383,-0.0038230633030182093,-0.0061677533728781292,0.0024556208744196395
1,20000,20000,0.0010572466271218661,-0.0063345369739933599,0.0023572466271218756,0.0017194992812027965
2,40000,20000,0.002857246627121876,-0.0029570378992336832,-0.0044177533728781276,0.0047072869242594378
3,60000,20000,0.0061572466271218734,-0.0042560760049104862,-0.00094275337287812178,0.0034515500887718764
4,80000,20000,0.0034572466271218655,-0.0048622937875596461,-0.0021677533728781256,0.0012431853091212919
5,100000,20000,-0.00059275337287813257,-0.0045158836260458524,-0.0042677533728781303,0.001502992930256658
6,120000,20000,-0.0017927533728781253,-0.0065943445951287261,-0.00014275337287812662,0.0025855246849873226
7,140000,20000,0.0039072466271218714,0.00059366625628290426,0.0014572466271218776,0.0036247551695287733
8,160000,20000,0.0068072466271218712,-9.9154066744711056e-05,-0.0035927533728781352,0.00076687133703981503
9,180000,20000,0.0027072466271218648,0.00016065355439062734,0.001382246627121872,0.0034948513589610763
10,200000,20000,0.0015822466271218777,-0.0034333518713151878,0.0010822466271218772,0.0033216462782041933
11,220000,20000,0.0010572466271218661,-0.0024374226569629509,0.0015572466271218666,0.0057898186789901024
12,240000,20000,0.0034822466271218766,0.00063696752647213195,-0.0064677533728781239,0.0024556208744196395
13,260000,20000,0.004757246627121875,-0.0014847947127999694,-0.001417753372878125,0.0053135047069086117
14,280000,20000,-0.0020177533728781283,-0.0026539290079090894,0.0010322466271218689,0.0049670945453947901
15,300000,20000,0.0026822466271218676,-0.003866364573207437,-0.0010427533728781246,0.0014596916600674303
16,320000,20000,0.0033822466271218737,-5.5852796555511119e-05,-0.00021775337287813223,0.0011565827687428365
17,340000,20000,0.0051322466271218753,-0.002394121386773751,0.00020724662712187647,0.0028453323061226887
18,360000,20000,0.0018072466271218668,-0.0025240251973414063,-0.0015677533728781223,0.0021958132532843011
19,380000,20000,0.0028322466271218649,0.00011735228420139965,0.00078224662712186865,0.00029055736495831042
20,400000,20000,0.0048822466271218751,0.0026288259551765503,0.0031072466271218763,0.0054434085174762947
21,420000,20000,0.0027322466271218759,-0.0030003391694229109,-0.0050927533728781227,0.00042046117552599349
22,440000,20000,0.0036822466271218685,-0.00074867311958312643,-1.7753372878126505e-05,0.0003771599053367658
23,460000,20000,0.0022072466271218782,-0.00027235914750162182,0.003182246627121868,0.0059197224895577855
24,480000,20000,-0.00036775337287812959,0.00046376244571522118,0.0043322466271218663,0.0008967751476074981
25,500000,20000,0.0075072466271218774,-0.00096517947052926489,-0.0038427533728781355,-0.0023508201165845233
26,520000,20000,0.0017822466271218695,-0.0036065569520720708,0.0014072466271218692,0.0023257170638519564
27,540000,20000,-0.00039275337287812684,-0.00035896168788007721,-0.0050677533728781254,0.0010699802283644089
28,560000,20000,0.0006322466271218713,-0.0029137366290444555,-0.0055927533728781231,-0.0020044099550707017
29,580000,20000,0.00070724662712187691,-0.0043426785452889416,0.00020724662712187647,0.0081280872692083422
30,600000,20000,0.0055822466271218674,-0.0034333518713151878,0.0022572466271218727,0.0048371907348271209
31,620000,20000,0.0006322466271218713,-0.001268288361853831,-0.0024427533728781231,0.001373089119688975
32,640000,20000,0.0021822466271218671,-0.0046457874366135354,-0.0063927533728781322,-0.00079197438977235413
33,660000,20000,0.0061822466271218707,0.00011735228420139965,0.00038224662712187107,0.0046206843838809825
34,680000,20000,-0.0049927533728781337,-0.0051221014086950123,-0.0058927533728781317,-0.0011383845512861757
35,700000,20000,0.0042322466271218773,0.00081017260722904272,0.00013224662712187085,-0.00083527565996158182
36,720000,20000,-9.2753372878132123e-05,-0.0053819090298303784,-0.0035927533728781352,0.00094007641779672579
37,740000,20000,0.0039072466271218714,-0.00096517947052926489,-0.00099275337287813015,0.0031051399272580549
38,760000,20000,0.0040572466271218688,0.0032783450080149656,-0.0071427533728781328,0.0029319348465011441
39,780000,20000,-0.0032677533728781294,-0.0066376458653179538,-0.00039275337287812684,0.00050706371590444888
40,800000,20000,-0.0017677533728781281,-0.0042127747347212585,0.0045572466271218692,0.003364947548393421
41,820000,20000,0.0050572466271218697,-0.00087857693015080951,-0.0048177533728781252,0.0037546589800964564
42,840000,20000,0.0026572466271218703,-0.0028704353588552278,-0.00064275337287812706,0.0018061018215812519
43,860000,20000,0.0050322466271218724,0.00063696752647213195,0.0014072466271218692,0.0059630237597470132
44,880000,20000,-0.0025677533728781232,-0.010621362722726818,-0.0037427533728781326,0.00033385863514753811
45,900000,20000,0.0043322466271218663,-0.0042993772750997139,-0.0017427533728781308,0.00094007641779672579
46,920000,20000,0.0039322466271218687,-0.0027405315482875447,0.0050322466271218724,0.004101069141610264
47,940000,20000,0.0066322466271218766,-0.0032601467905582771,-0.0056177533728781343,0.0042742742223671748
