N,batch,orientation,counter_first,counter_last,risk_count,solved_count,partial_pair_solved_count,h_zero_count,h_all_count,sum_hazard,sum_mu,sum_second_wait_moment,sum_wait_variance,integrated_B,integrated_V,canonical_B,canonical_V,h_zero_integrated_V,h_zero_canonical_V
325,0,first,43032500000,43032500999,473.0,473.0,0.0,29.0,0.0,29.560606060606087,5547.755999227921,103395.52967440562,33135.58207590092,0.02595230073251263,0.3117880055318312,2.1517361052629562,9.608290928088,0.0212882819807601,0.27878094228263084
325,0,second,43032500000,43032500999,430.0,430.0,0.0,35.0,0.0,26.924242424242436,5042.571118686324,93990.26973207206,29505.623202815867,0.022695847711381056,0.27763204489081117,1.914848988880188,8.599107808648185,0.026857390781394708,0.33392762116162594
325,1,first,43032501000,43032501999,441.0,440.0,1.0,32.0,0.0,28.3636363636364,5113.7897440500055,94832.70108893125,29843.388918159955,0.023525037120034772,0.28081023860664683,2.0013680313500846,8.852404284660462,0.025447368461085224,0.2609549370356058
325,1,second,43032501000,43032501999,446.0,443.0,0.0,32.0,0.0,28.65909090909095,5096.687251910682,93500.68714672721,30027.701490804993,0.02381690215701142,0.2825445207836666,2.0125455122705675,8.959505240569529,0.022836958559255414,0.3079085707580567
325,2,first,43032502000,43032502999,454.0,453.0,1.0,30.0,0.0,28.681818181818244,5309.5466668401705,98976.68361049859,31429.641775781005,0.024502024420782136,0.2957360248389197,2.0501732202637806,9.135411364420786,0.02397753557622952,0.25875722464631185
325,2,second,43032502000,43032502999,450.0,449.0,0.0,34.0,0.0,27.977272727272748,5246.786418789265,97178.67740132638,30752.824194226716,0.023775462624231875,0.2893675354193486,1.9993129448852727,9.0044380175077,0.025648270000401745,0.31587109662613705
325,3,first,43032503000,43032503999,472.0,470.0,0.0,30.0,0.0,30.22727272727275,5408.495799176461,99248.68842941448,31941.108205984994,0.025614649250182427,0.30054864885755034,2.1616680458284465,9.578842184959864,0.02268432840743159,0.27522459923602305
325,3,second,43032503000,43032503999,441.0,440.0,0.0,25.0,0.0,28.090909090909125,5109.211282381798,94453.18135219952,30215.492351706434,0.023887853746866146,0.28431153178240065,2.0021023554336104,8.909073002593638,0.01885751158742491,0.23912644607664635
325,4,first,43032504000,43032504999,428.0,428.0,0.0,38.0,0.0,26.143939393939426,5025.44564409011,93236.60151278369,29357.503527966743,0.02259283484044635,0.27623831841588625,1.9013782074936607,8.590176860788443,0.02753240074489908,0.36593472504334595
325,4,second,43032504000,43032504999,450.0,450.0,0.0,29.0,0.0,28.356060606060666,5201.779944200508,95506.75788560037,30619.740226364833,0.024521311739869496,0.288115286860296,2.0624574121853163,9.170848328024503,0.02123215745236408,0.2612487166421687
