n,a,b,orientation,batch,samples,sum_q,sum_e,sum_s,sum_k,sum_kk,sum_edges,sum_chi,sum_e_s,sum_e_k,sum_e_kk,sum_e_edges,sum_e_chi
85,9,2,first,0,10000,29,6273,53042,504208,25117436,598046,11535,34220,316615,15821622,376050,7213
85,7,6,second,0,10000,19,6217,52896,504208,25117436,598689,11277,33838,313336,15633234,372099,6979
85,9,2,first,1,10000,53,6275,53002,503931,25094472,597705,11269,34057,316215,15778770,375416,6964
85,7,6,second,1,10000,181,6261,53002,503931,25094472,597640,10933,34292,315718,15764812,374585,6949
85,9,2,first,2,10000,-43,6283,52920,503891,25094848,598079,11485,34175,316460,15785944,375465,7324
85,7,6,second,2,10000,-21,6289,52667,503891,25094848,597864,11408,34150,316638,15788972,375555,7437
85,9,2,first,3,10000,-128,6332,53024,503224,25027608,595986,11566,34572,318313,15847510,376686,7586
85,7,6,second,3,10000,-111,6229,53185,503224,25027608,595954,12026,34071,313537,15630854,371395,7600
85,9,2,first,4,10000,91,6249,53110,503777,25083332,597610,11377,34243,315102,15736134,373906,7050
85,7,6,second,4,10000,51,6295,53267,503777,25083332,597175,11186,34463,317220,15832370,376316,6894
85,9,2,first,5,10000,100,6246,52891,504620,25166398,599501,10811,33957,315325,15763788,374622,6759
85,7,6,second,5,10000,66,6240,53292,504620,25166398,599097,11136,34177,315005,15748450,374190,6955
85,9,2,first,6,10000,52,6288,53032,504675,25172572,599394,11104,34335,317160,15843648,376336,7295
85,7,6,second,6,10000,-9,6293,53106,504675,25172572,598912,11133,34524,317441,15859462,376728,7121
85,9,2,first,7,10000,-166,6270,53400,503360,25038196,595682,11880,34438,315643,15737198,373766,7452
85,7,6,second,7,10000,-60,6212,53095,503360,25038196,595980,11799,33733,312823,15598892,370789,7281
85,9,2,first,8,10000,-58,6198,52997,503886,25090278,597072,11447,33718,312515,15604920,370535,7148
85,7,6,second,8,10000,-22,6238,53313,503886,25090278,597110,11433,34315,314577,15710540,373224,7117
85,9,2,first,9,10000,-13,6329,53212,503834,25085484,597070,11735,34618,318951,15916280,378207,7501
85,7,6,second,9,10000,-82,6260,53061,503834,25085484,597309,11587,34297,315130,15709628,373220,7549
85,9,2,first,10,10000,-11,6139,53112,503888,25096556,597825,11273,33679,309439,15451488,367423,6936
85,7,6,second,10,10000,26,6268,53011,503888,25096556,597538,11425,34182,315952,15775366,374789,7134
85,9,2,first,11,10000,-4,6288,52809,503667,25067802,597009,11675,34110,316558,15779890,375176,7598
85,7,6,second,11,10000,86,6278,53013,503667,25067802,596629,11341,34175,316337,15783076,374926,7077
85,9,2,first,12,10000,-34,6288,52885,504162,25119874,597870,11627,34222,316785,15804234,375455,7486
