index,counter,first_mass,first_energy,first_degree,first_loop,second_mass,second_energy,second_degree,second_loop,W_first,W_second
5,43042500005,0.87861271676300901,0.0020561185557263959,2.0982658959537597,0.83815028901734201,0.87861271676300901,0.0014801890485710222,2.1618497109826609,0.98843930635838295,0.015068996625346642,0.01346520097564236
7,43042500007,0.78034682080925089,0.0016292895111880408,1.8092485549132966,0.76878612716763062,0.78034682080925089,0.0010807852186591118,1.8150289017341057,0.85549132947976969,0.012429416285208326,0.0099568979919141942
43,43042500043,0.87861271676300901,0.0030990492527884382,2.2832369942196542,0.86705202312138807,0.87861271676300901,0.0023709291179877159,2.1387283236994232,0.91907514450867167,0.018978248521500884,0.017374452871796585
60,43042500060,0.79768786127167879,0.001886932020425219,1.9884393063583832,0.90173410404624366,0.79768786127167879,0.0016482167719865726,1.8843930635838175,0.80924855491329561,0.012429416285208326,0.013030839653847439
63,43042500063,0.8670520231213904,0.0028228657533812666,2.2312138728323707,0.76878612716763084,0.8670520231213904,0.0026772417264211224,2.0982658959537588,0.89595375722543413,0.017541514918640783,0.016238430953256045
73,43042500073,0.8670520231213904,0.0013017320181848496,2.080924855491332,0.93641618497109969,0.8670520231213904,0.0016474442307294901,2.0057803468208122,0.71098265895953805,0.012529653513314847,0.014500985666076384
80,43042500080,0.78034682080925089,0.001158811885624495,1.71098265895954,0.75722543352601257,0.78034682080925089,0.001213662314877388,1.7745664739884415,0.73410404624277537,0.011159744729192423,0.010424671723077955
123,43042500123,0.90751445086705551,0.0034428301121903712,2.1560693641618522,0.88439306358381609,0.90751445086705551,0.0027185726836750608,2.277456647398846,0.98843930635838351,0.020247920077516805,0.020682281399311706
135,43042500135,0.8381502890173439,0.0013959820515489745,1.9537572254335285,0.80346820809248642,0.8381502890173439,0.0013137064076696359,1.8323699421965338,0.85549132947976958,0.012496241103946003,0.010591733769922144
155,43042500155,0.89017341040462761,0.0025215746631189,2.0173410404624312,0.72254335260115676,0.89017341040462761,0.0022357343979981913,2.0693641618497129,0.72832369942196618,0.017909051421698022,0.016305255771993713
184,43042500184,0.68208092485549277,0.00063387010143659862,1.5549132947976889,0.72254335260115643,0.68208092485549277,0.00059369795606828294,1.6011560693641633,0.77456647398843992,0.0072839052424070279,0.0066156570550302343
192,43042500192,0.92485549132948341,0.001980795783160804,2.1098265895953783,0.87861271676300745,0.92485549132948341,0.0020974495129803348,2.1734104046242795,0.9075144508670534,0.015737244812723445,0.015637007584616915
233,43042500233,0.82080924855491599,0.0013082986188700544,1.8728323699421991,0.8612716763005791,0.82080924855491599,0.0014311326787462516,1.8150289017341066,0.77456647398843992,0.011761168097831528,0.012262354238364123
240,43042500240,0.95375722543352992,0.0040299614675734464,2.5086705202312154,0.83815028901734234,0.95375722543352992,0.0039279860216384901,2.3988439306358407,0.90173410404624377,0.023221624511343505,0.023355274148818869
270,43042500270,0.90173410404624621,0.0025880132112280365,2.2312138728323712,0.84393063583815109,0.90173410404624621,0.0031426978338136261,2.1791907514450886,0.89595375722543469,0.016472317818837918,0.019512847071402318
322,43042500322,0.75144508670520438,0.0018444422512856539,1.6878612716763028,0.65895953757225478,0.75144508670520438,0.0014855968373706017,1.6705202312138745,0.69942196531791945,0.013131076881953961,0.011226569547930103
341,43042500341,0.70520231213872997,0.0011286827765982579,1.647398843930638,0.72254335260115654,0.70520231213872997,0.00042064871448169161,1.5664739884393086,0.73410404624277514,0.0093220622139062424,0.005479635136489692
344,43042500344,0.87861271676300901,0.002115990503150329,2.1040462427745683,0.96531791907514553,0.87861271676300901,0.0017324237690086216,2.0693641618497125,0.89595375722543491,0.015770657222092296,0.014534398075445223
393,43042500393,0.78034682080925089,0.0010977811263149374,1.8381502890173425,0.77456647398844014,0.78034682080925089,0.0008293230394785968,1.8554913294797704,0.93063583815029005,0.010524908951184469,0.0088208760733736492
403,43042500403,0.90751445086705551,0.0039210331503247483,2.1965317919075176,0.83815028901734201,0.90751445086705551,0.0028313637072091813,2.092485549132951,0.86705202312138874,0.021183467539844295,0.019111898158976227
408,43042500408,0.80346820809248809,0.0011155495752278473,1.8439306358381522,0.79190751445086782,0.80346820809248809,0.0012955516881281849,1.7861271676300601,0.76300578034682165,0.011694343279093853,0.010725383407397499
419,43042500419,0.8670520231213904,0.0018286051555154535,2.0520231213872862,0.88439306358381642,0.8670520231213904,0.0020491656844126467,1.9826589595375737,0.79768786127167701,0.014233686391125662,0.014901934578502446
433,43042500433,0.91329479768786481,0.0029399057538293406,2.2254335260115647,0.96531791907514608,0.91329479768786481,0.0034880237757297264,2.277456647398846,0.94219653179190865,0.019679909118246505,0.021985365364696453
443,43042500443,0.8670520231213904,0.0015277003358816262,1.9884393063583843,0.82658959537572341,0.8670520231213904,0.0018452147925427371,2.034682080924858,0.91907514450867178,0.013532025794380035,0.014233686391125662
452,43042500452,0.69942196531792067,0.0016115210622751318,1.5953757225433542,0.64161849710982677,0.69942196531792067,0.0013183416552121339,1.6358381502890198,0.64161849710982688,0.011226569547930103,0.011627518460356175
465,43042500465,0.92485549132948341,0.0030708514969049069,2.3063583815028919,1.0346820809248576,0.92485549132948341,0.0025385705707747261,2.3005780346820828,0.91907514450867178,0.020448394533729815,0.01947943466203347
508,43042500508,0.93063583815029272,0.0022202835728565326,2.2601156069364174,0.91907514450867211,0.93063583815029272,0.0020383501068134873,2.2543352601156101,0.85549132947977036,0.016205018543887194,0.017775401784222659
523,43042500523,0.90173410404624621,0.0018792066078543877,2.0867052023121411,0.92485549132948108,0.90173410404624621,0.0019321256839645755,2.080924855491332,0.82658959537572374,0.015302883490928525,0.015369708309666221
532,43042500532,0.8439306358381532,0.00091507511901480973,1.8497109826589619,0.83815028901734234,0.8439306358381532,0.00047704422624875056,1.8497109826589615,0.86705202312138818,0.0092218249857997231,0.0059139964582846033
542,43042500542,0.8728323699421997,0.0019120396112804168,2.0057803468208113,0.82658959537572385,0.8728323699421997,0.0022739751902237999,2.0289017341040494,0.79768786127167746,0.015536770356510394,0.018710949246550174
553,43042500553,0.89017341040462761,0.0020487794137841065,2.0462427745664762,0.93641618497109924,0.89017341040462761,0.0020986083248659593,2.0751445086705234,0.8439306358381512,0.015269471081559688,0.015870894450198809
570,43042500570,0.92485549132948341,0.0015690312931355662,2.1271676300578064,0.97109826589595505,0.92485549132948341,0.0017733684556340194,2.1502890173410441,0.91329479768786259,0.014400748437969865,0.015937719268936498
582,43042500582,0.78034682080925089,0.001367398025036905,1.8265895953757241,0.76878612716763073,0.78034682080925089,0.00073545927674301267,1.8092485549132971,0.87861271676300701,0.012162117010257602,0.0081192154766280226
595,43042500595,0.82080924855491599,0.0013492433054954546,1.8786127167630082,0.73988439306358489,0.82080924855491599,0.0015628509630789024,1.8959537572254359,0.73988439306358478,0.012629890741421368,0.012763540378896725
615,43042500615,0.8728323699421997,0.0021503685890905222,2.0867052023121411,0.84971098265896061,0.8728323699421997,0.0027606761821860845,2.0867052023121406,0.89017341040462461,0.016839854321895154,0.016138193725149512
630,43042500630,0.8497109826589625,0.0017737547262625592,2.1098265895953778,0.89595375722543447,0.8497109826589625,0.002786170043669824,2.1734104046242781,0.81502890173410503,0.015971131678305325,0.018777774065287838
686,43042500686,0.82658959537572529,0.0022442323518261035,2.0057803468208117,0.90751445086705329,0.82658959537572529,0.0025667683266582535,2.0404624277456676,0.79190751445086793,0.015770657222092293,0.018310000334124089
712,43042500712,0.8554913294797718,0.0040349829857444916,2.1329479768786155,0.89017341040462539,0.8554913294797718,0.0034702553268168182,2.1271676300578055,0.93641618497109946,0.020181095258779105,0.01847706238096828
724,43042500724,0.77456647398844158,0.0013388139985248335,1.780346820809251,0.73988439306358433,0.77456647398844158,0.0011630608625384515,1.8497109826589622,0.83236994219653271,0.011627518460356173,0.010224197266864913
728,43042500728,0.79190751445086949,0.0014295875962320856,1.9653179190751462,0.73410404624277492,0.79190751445086949,0.00073082402920051498,1.9132947976878625,0.94219653179190843,0.01136021918540546,0.0089211133014801703
732,43042500732,0.75722543352601368,0.0014450384213737454,1.6878612716763031,0.68786127167630118,0.75722543352601368,0.001603023108447217,1.7745664739884417,0.71098265895953816,0.012696715560159036,0.013097664472585121
734,43042500734,0.89595375722543691,0.0030248852921084704,2.225433526011563,0.96531791907514541,0.89595375722543691,0.0027490880633298425,2.208092485549134,0.95953757225433589,0.019846971165090717,0.018477062380968291
735,43042500735,0.8497109826589625,0.0015597607980505706,2.0289017341040485,0.89595375722543491,0.8497109826589625,0.0018421246275144053,1.9884393063583841,0.76300578034682165,0.011961642554044567,0.015904306859567639
740,43042500740,0.73988439306358578,0.00051567128910290046,1.6994219653179208,0.8670520231213884,0.73988439306358578,0.00056588647081329507,1.6011560693641633,0.69364161849711037,0.0059474088676534495,0.0065488322362925568
769,43042500769,0.80924855491329739,0.0007852881878248661,1.8901734104046268,0.91907514450867167,0.80924855491329739,0.0013955957809204339,1.8728323699421983,0.74566473988439363,0.0091215877576932107,0.013231314110060488
777,43042500777,0.89595375722543691,0.0023211002069058605,1.9768786127167659,0.71676300578034746,0.89595375722543691,0.0023597272697600106,2.0693641618497129,0.90173410404624366,0.015937719268936477,0.017073741187477016
779,43042500779,0.87861271676300901,0.0038885864175272613,2.2023121387283262,0.90173410404624421,0.87861271676300901,0.0038464829190162308,2.1791907514450899,1.0057803468208109,0.02074910621804938,0.020682281399311695
801,43042500801,0.79768786127167879,0.0016655989502709406,1.8381502890173436,0.71098265895953827,0.79768786127167879,0.0012569246252740359,1.7630057803468235,0.80346820809248642,0.014901934578502458,0.011026095091717064
852,43042500852,0.8612716763005811,0.0015821644945059766,1.9306358381502913,0.78034682080924966,0.8612716763005811,0.0016393325475301192,2.0173410404624295,0.89595375722543469,0.013197901700691636,0.014333923619232183
857,43042500857,0.88439306358381831,0.001806974000317129,2.1676300578034695,1.0289017341040472,0.88439306358381831,0.0027120060829898588,2.1502890173410409,0.77456647398844014,0.014434160847338694,0.017374452871796581
874,43042500874,0.81502890173410669,0.0024694281282657956,2.0057803468208104,0.80924855491329584,0.81502890173410669,0.0022585243650821386,1.8901734104046259,0.84971098265896017,0.016839854321895151,0.015202646262822009
886,43042500886,0.8381502890173439,0.0014210896424041726,1.9653179190751466,0.87283236994219771,0.8381502890173439,0.0017092475312961294,1.953757225433528,0.84393063583815098,0.012329179057101809,0.013999799525543789
913,43042500913,0.8497109826589625,0.002065775321439933,2.0924855491329502,0.8554913294797698,0.8497109826589625,0.0015620784218218196,2.0289017341040494,0.83815028901734212,0.015870894450198802,0.014668047712920575
941,43042500941,0.82080924855491599,0.0022361206686267328,1.9075144508670554,0.75144508670520327,0.82080924855491599,0.0012028467372782257,1.6936416184971124,0.78612716763005852,0.016639379865682112,0.0089211133014801668
977,43042500977,0.79768786127167879,0.0016907065411261391,1.8612716763005799,0.83815028901734201,0.79768786127167879,0.0024891279303214131,1.9306358381502899,0.90751445086705296,0.013431788566273525,0.014467573256707533
998,43042500998,0.94219653179191132,0.001741307993465074,2.225433526011563,1.0057803468208109,0.94219653179191132,0.0017092475312961294,2.2196531791907552,0.82080924855491455,0.015737244812723431,0.015068996625346651
1012,43042501012,0.90173410404624621,0.004907182064991196,2.16184971098266,0.83815028901734234,0.90173410404624621,0.0052034516370825208,2.1734104046242799,0.76878612716763095,0.023422098967556544,0.021651241271008037
1016,43042501016,0.79768786127167879,0.00083975234644921733,1.832369942196534,0.93063583815029005,0.79768786127167879,0.0016598048908428177,1.8554913294797701,0.80346820809248631,0.0078519162016772968,0.012930602425740914
