K_minus,K_plus,count
14,48,1
15,38,1
15,44,1
16,36,1
16,39,1
16,42,1
17,34,2
17,38,2
17,39,3
17,40,1
17,41,1
17,42,2
17,43,1
17,44,1
17,45,1
18,31,1
18,32,1
18,37,1
18,38,2
18,40,4
18,41,3
18,45,1
18,50,1
19,26,1
19,33,4
19,34,2
19,35,1
19,38,5
19,39,2
19,40,4
19,41,2
19,42,2
19,43,3
19,44,2
19,45,2
19,46,2
19,49,1
20,24,1
20,27,1
20,31,1
20,32,3
20,34,2
20,35,1
20,36,2
20,37,4
20,38,1
20,39,5
20,40,3
20,41,2
20,42,7
20,43,3
20,44,2
20,47,1
20,49,1
20,53,1
21,25,1
21,28,1
21,30,1
21,31,1
21,32,3
21,33,1
21,34,1
21,35,4
21,36,3
21,37,7
21,38,5
21,39,5
21,40,6
21,41,6
21,42,8
21,43,8
21,44,4
21,45,4
21,46,4
21,47,1
21,49,2
21,50,2
22,29,1
22,31,2
22,32,5
22,33,7
22,34,7
22,35,9
22,36,7
22,37,12
22,38,6
22,39,10
22,40,9
22,41,11
22,42,11
22,43,10
22,44,6
22,45,4
22,46,5
22,47,1
22,48,4
22,49,2
22,51,1
23,27,2
23,28,1
23,29,1
23,30,2
23,32,6
23,33,6
23,34,6
23,35,13
23,36,13
23,37,7
23,38,9
23,39,24
23,40,21
23,41,15
23,42,14
23,43,16
23,44,10
23,45,18
23,46,7
23,47,6
23,48,3
23,49,2
23,52,1
24,24,1
24,25,1
24,26,3
24,27,1
24,28,1
24,29,1
24,30,3
24,31,6
24,32,12
24,33,10
24,34,17
24,35,22
24,36,22
24,37,21
24,38,28
24,39,32
24,40,23
24,41,33
24,42,30
24,43,28
24,44,15
24,45,16
24,46,12
24,47,5
24,48,5
24,49,4
24,50,2
24,51,1
24,52,1
25,27,2
25,28,3
25,29,6
25,30,6
25,31,16
25,32,10
25,33,18
25,34,27
25,35,38
25,36,38
25,37,36
25,38,38
25,39,46
25,40,39
25,41,45
25,42,39
25,43,39
25,44,28
25,45,18
25,46,20
25,47,7
25,48,11
25,49,4
25,50,4
25,51,2
26,26,1
26,27,1
26,28,4
26,29,8
26,30,17
26,31,13
26,32,25
26,33,22
26,34,41
26,35,41
26,36,44
26,37,63
26,38,80
26,39,46
26,40,73
26,41,53
26,42,54
26,43,36
26,44,52
26,45,33
26,46,30
26,47,16
26,48,13
26,49,12
26,50,4
26,51,1
26,52,2
26,55,1
27,27,1
27,28,5
27,29,15
27,30,17
27,31,21
27,32,31
27,33,36
27,34,56
27,35,63
27,36,62
27,37,91
27,38,91
27,39,83
27,40,90
27,41,96
27,42,81
27,43,68
27,44,59
27,45,42
27,46,40
27,47,32
27,48,23
27,49,12
27,50,6
27,51,6
28,28,3
28,29,22
28,30,35
28,31,47
28,32,57
28,33,64
28,34,93
28,35,103
28,36,100
28,37,127
28,38,161
28,39,149
28,40,154
28,41,125
28,42,116
28,43,106
28,44,79
28,45,62
28,46,63
28,47,48
28,48,20
28,49,20
28,50,10
28,51,10
28,52,2
28,53,1
29,29,2
29,30,47
29,31,55
29,32,70
29,33,101
29,34,123
29,35,137
29,36,168
29,37,190
29,38,206
29,39,199
29,40,190
29,41,195
29,42,184
29,43,144
29,44,109
29,45,88
29,46,71
29,47,40
29,48,23
29,49,22
29,50,13
29,51,4
29,52,3
29,53,1
29,54,1
30,30,7
30,31,101
30,32,126
30,33,157
30,34,195
30,35,203
30,36,241
30,37,268
30,38,284
30,39,274
30,40,288
30,41,228
30,42,226
30,43,183
30,44,160
30,45,119
30,46,86
30,47,63
30,48,65
30,49,26
30,50,18
30,51,11
30,52,9
30,53,2
30,54,1
31,31,18
31,32,183
31,33,193
31,34,249
31,35,289
31,36,337
31,37,367
31,38,391
31,39,412
31,40,355
31,41,360
31,42,300
31,43,260
31,44,189
31,45,178
31,46,116
31,47,96
31,48,57
31,49,37
31,50,26
31,51,14
31,52,10
31,53,3
32,32,36
32,33,293
32,34,360
32,35,416
32,36,508
32,37,496
32,38,522
32,39,538
32,40,497
32,41,510
32,42,421
32,43,330
32,44,257
32,45,208
32,46,142
32,47,130
32,48,80
32,49,37
32,50,26
32,51,13
32,52,12
32,53,3
32,54,2
33,33,45
33,34,482
33,35,573
33,36,604
33,37,649
33,38,681
33,39,695
33,40,669
33,41,572
33,42,541
33,43,455
33,44,352
33,45,263
33,46,194
33,47,111
33,48,90
33,49,62
33,50,44
33,51,28
33,52,9
33,53,9
33,54,4
34,34,81
34,35,773
34,36,863
34,37,833
34,38,911
34,39,919
34,40,855
34,41,750
34,42,703
34,43,492
34,44,415
34,45,341
34,46,253
34,47,188
34,48,119
34,49,75
34,50,45
34,51,29
34,52,15
34,53,4
34,54,3
34,56,1
35,35,138
35,36,1005
35,37,1094
35,38,1052
35,39,1035
35,40,1006
35,41,935
35,42,780
35,43,623
35,44,482
35,45,415
35,46,314
35,47,207
35,48,132
35,49,88
35,50,56
35,51,22
35,52,16
35,53,10
35,54,4
35,55,1
35,56,1
36,36,152
36,37,1332
36,38,1365
36,39,1344
36,40,1255
36,41,1079
36,42,918
36,43,784
36,44,602
36,45,435
36,46,347
36,47,220
36,48,131
36,49,95
36,50,66
36,51,42
36,52,22
36,53,5
36,54,3
36,55,4
37,37,226
37,38,1603
37,39,1545
37,40,1425
37,41,1240
37,42,1027
37,43,791
37,44,611
37,45,502
37,46,338
37,47,233
37,48,148
37,49,103
37,50,64
37,51,33
37,52,21
37,53,10
37,54,7
37,55,1
37,57,1
38,38,234
38,39,1743
38,40,1591
38,41,1384
38,42,1135
38,43,926
38,44,709
38,45,550
38,46,383
38,47,237
38,48,164
38,49,112
38,50,55
38,51,29
38,52,12
38,53,4
38,54,3
39,39,244
39,40,1703
39,41,1478
39,42,1179
39,43,918
39,44,690
39,45,515
39,46,393
39,47,248
39,48,151
39,49,109
39,50,58
39,51,29
39,52,21
39,53,4
39,54,5
39,55,3
40,40,234
40,41,1535
40,42,1225
40,43,990
40,44,673
40,45,530
40,46,336
40,47,251
40,48,159
40,49,86
40,50,60
40,51,25
40,52,4
40,53,6
40,54,3
40,55,3
41,41,179
41,42,1145
41,43,939
41,44,696
41,45,476
41,46,315
41,47,227
41,48,139
41,49,101
41,50,42
41,51,29
41,52,16
41,53,4
41,54,2
41,56,1
42,42,150
42,43,873
42,44,633
42,45,437
42,46,292
42,47,219
42,48,130
42,49,77
42,50,43
42,51,20
42,52,13
42,53,5
42,54,3
42,55,4
43,43,119
43,44,545
43,45,355
43,46,252
43,47,181
43,48,105
43,49,51
43,50,31
43,51,17
43,52,12
43,53,7
43,54,3
43,55,1
44,44,55
44,45,281
44,46,185
44,47,121
44,48,74
44,49,49
44,50,32
44,51,10
44,52,7
44,53,3
44,57,1
45,45,26
45,46,179
45,47,95
45,48,64
45,49,34
45,50,20
45,51,8
45,52,4
45,53,2
45,55,1
46,46,12
46,47,72
46,48,45
46,49,21
46,50,10
46,51,8
46,52,5
46,53,1
46,54,3
47,47,2
47,48,34
47,49,7
47,50,4
47,51,5
47,52,1
47,56,1
48,48,4
48,49,13
48,50,6
48,51,3
48,52,4
48,53,1
49,50,2
49,51,1
49,52,1
