n,a,b,orientation,batch,samples,k1,k2,direct_0_to_2,site01,site12,line_null,ell_u,ell_v,iota01,iota12,physical_x,physical_y,chi4_re,chi4_im,mark01_valid,mark01_axis,mark01_diagonal,mark01_landed,mark01_h4,mark12_valid,mark12_axis,mark12_diagonal,mark12_landed,mark12_h4,count
145,12,1,first,0,500,59,79,0,69,66,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,1,1,1,0,1,0,1,1,-1,1
145,12,1,first,0,500,59,86,0,29,131,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,0,0,0,0,1
145,12,1,first,0,500,61,80,0,86,139,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,1,0,1,1,1
145,12,1,first,0,500,61,90,0,86,26,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,62,98,0,81,25,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,0,1,1,-1,1
145,12,1,first,0,500,63,74,0,144,125,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,1,0,1,1,1
145,12,1,first,0,500,64,87,0,107,19,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,0,1,1,-1,1
145,12,1,first,0,500,64,92,0,73,30,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,1,0,1,1,1
145,12,1,first,0,500,65,77,0,59,105,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,65,84,0,10,111,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,1,0,1,1,1
145,12,1,first,0,500,65,99,0,19,92,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,66,91,0,29,57,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,1,1,-1,1,0,0,0,0,1
145,12,1,first,0,500,66,91,0,74,144,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,66,98,0,130,98,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,67,80,0,107,53,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,1,0,1,1,1
145,12,1,first,0,500,67,81,0,132,85,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,0,0,0,0,1
145,12,1,first,0,500,67,85,0,13,59,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,0,0,0,0,1
145,12,1,first,0,500,67,88,0,35,143,0,1,1,1,1,11,13,-0.945208085612366230678,-0.326468489892984542212,1,0,0,0,0,1,0,1,1,-1,1
145,12,1,first,0,500,67,88,0,80,112,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,1,1,-1,1,1,1,1,0,1
145,12,1,first,0,500,67,103,0,140,22,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,68,71,0,105,49,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,1,0,1,1,1
145,12,1,first,0,500,68,83,0,41,140,0,1,-1,1,1,13,-11,-0.945208085612366230678,-0.326468489892984542212,1,0,1,1,-1,1,1,0,1,1,1
145,12,1,first,0,500,68,86,0,122,11,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,68,97,0,32,71,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,1,0,1,1,1,1,0,1,1,1
145,12,1,first,0,500,68,107,0,51,106,0,0,1,1,1,1,-12,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
145,12,1,first,0,500,69,79,0,26,114,0,1,0,1,1,12,1,0.945208085612366230678,0.326468489892984542212,1,0,0,0,0,1,0,0,0,0,1
