n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,8,1,first,0,1000,33,-730,756,85,14,14,85,3168,-2272,3168,2272,3168,-2272,2052.91550295857988166,1114.64520710059171598,-1602.96142011834319527,-870.339408284023668639,1827.93846153846153846,992.492307692307692308,-96,224
65,8,1,first,0,1000,34,-631,685,84,20,20,84,3224,-1984,3224,1984,3224,-1984,2016.00520710059171598,1094.60449704142011834,-1362.16568047337278107,-739.597633136094674556,1689.08544378698224852,917.10106508875739645,124,-124
65,8,1,first,0,1000,35,-527,621,95,47,47,95,4260,-1440,4260,1440,4260,-1440,2003.70177514792899408,1087.9242603550295858,-580.01893491124260355,-314.925443786982248521,1291.86035502958579882,701.42485207100591716,-120,180
65,8,1,first,0,1000,36,-385,573,92,45,45,92,3973,-1363,3973,1363,3973,-1363,2115.3114792899408284,1148.52355029585798817,-1146.85562130177514793,-622.69349112426035503,1631.08355029585798817,885.608520710059171598,29,87
65,8,1,first,0,1000,37,-248,526,103,60,60,103,4564,-1204,4564,1204,4564,-1204,2928.21680473372781065,1589.89633136094674556,-812.02650887573964497,-440.895621301775147929,1870.12165680473372781,1015.39597633136094675,0,-168
65,8,1,first,0,1000,38,-85,483,68,92,92,68,4320,648,4320,-648,4320,648,2752.45349112426035503,1494.46437869822485207,284.736568047337278107,154.599763313609467456,1233.85846153846153846,669.932307692307692308,324,270
65,8,1,first,0,1000,39,75,507,83,112,112,83,5070,754,5070,-754,5070,754,2719.05846153846153846,1476.33230769230769231,616.929230769230769231,334.966153846153846154,1051.06461538461538462,570.683076923076923077,0,-208
65,8,1,first,0,1000,40,270,536,47,91,91,47,3450,1100,3450,-1100,3450,1100,1669.7514792899408284,906.603550295857988166,439.408284023668639053,238.579881656804733728,615.171597633136094675,334.011834319526627219,-50,100
65,8,1,first,0,1000,41,408,580,35,100,100,35,3240,1560,3240,-1560,3240,1560,1961.51857988165680473,1065.02059171597633136,1160.0378698224852071,629.850887573964497041,400.740355029585798817,217.58485207100591716,24,216
65,8,1,first,0,1000,42,543,645,26,85,85,26,2553,1357,2553,-1357,2553,1357,1313.83076923076923077,713.353846153846153846,869.149585798816568047,471.911005917159763314,222.340591715976331361,120.721420118343195266,92,46
65,8,1,first,0,1000,43,654,704,10,78,78,10,1936,1496,1936,-1496,1936,1496,1237.37372781065088757,671.840946745562130178,928.03029585798816568,503.880710059171597633,154.671715976331360947,83.9801183431952662722,-110,-66
65,8,1,first,0,1000,44,742,772,7,84,84,7,1911,1617,1911,-1617,1911,1617,1273.40520710059171598,691.404497041420118343,1199.58461538461538462,651.323076923076923077,36.9102958579881656805,20.0407100591715976331,-84,-42
65,8,1,first,0,1000,45,833,849,3,51,51,3,1080,960,1080,-960,1080,960,738.205917159763313609,400.814201183431952663,632.747928994082840237,343.555029585798816568,52.7289940828402366864,28.6295857988165680473,-60,-20
