N,split,p1_star,p2_star,pbar_star,delta_root,p1_lin,p2_lin,delta_root_lin,p1_quad,p2_quad,delta_root_quad,direct_minus_lin,quad_minus_lin,M1_pref,M2_pref,Mbar_pref,delta_M_pref,M1prime_pref,M2prime_pref,mean_Mprime_pref,delta_Mprime_pref,M1pp_pref,M2pp_pref,M1ppp_pref,M2ppp_pref,Mbarprime_pref,M1_pbar,M2_pbar,delta_M_pbar,mean_Mprime_pbar,mean_Mprime_at_roots,C_N_direct,C_N_linearized,C_N_quadratic,C_N_at_mbar,C_N_mp_at_roots,A_M,B_slope,A_p_direct,A_p_lin,A_p_from_AM_over_B,A_p_pred,delta_cos4,batch
65,train,0.5926003263000073,0.592765066215067,0.5926828092060883,-0.00016473991505971952,0.59260029271574,0.5927650714648246,-0.00016477874908460421,0.5926002870418406,0.5927650713704722,-0.0001647843286315398,3.883402488469301e-08,-5.579546935585711e-09,0.0012238525181235062,-0.0001601375985460132,0.0005318574597887465,0.0013839901166695194,8.396464530039605,8.419134321058952,8.407799425549278,-0.02266979101934652,4.484448243735433,4.391400155503691,-917.9502073687328,-924.9477163828157,8.407799425549278,0.0006927125341550831,-0.0006927125341533721,0.0013854250683084553,8.40751714638602,8.407509697064855,1.000802062472309,1.0010379808420897,1.0010718768294633,0.9997319178364946,1.0007675753431458,0.8964404050561464,1.757275418477884,0.5105400080317545,0.5106603572705491,0.14535663167413412,0.5101308512200238,1.3633136094674556,0.0
65,train,0.5926993253989477,0.5925062955430553,0.5926027123973807,0.0001930298558923127,0.5926993135967851,0.5925062443087414,0.00019306928804363466,0.5926993129973935,0.5925062315402284,0.00019308145716512293,-3.943215132196087e-08,1.2169121488270207e-08,0.0003911448957937179,0.002011094146780168,0.001201119521286943,-0.0016199492509864502,8.369027990633569,8.38632099772565,8.377674494179608,-0.01729300709208026,4.592817727218795,3.72369168718262,-900.2566509831737,-910.7657134702541,8.377674494179608,-0.0008087289229357278,0.0008087289229389848,-0.0016174578458747126,8.3770696218291,8.377107668765628,0.9982666428219606,0.9984705687956784,0.9985335022108127,0.9997321080272503,0.998199101059211,-1.0492762522172403,1.750979145374795,-0.5982124255794643,-0.598334628452067,-0.17075055801375497,-0.5992511418476341,1.3633136094674556,1.0
65,train,0.5927098950342657,0.5929367971222479,0.5928233535209433,-0.0002269020879821504,0.5927098857992685,0.5929368571398805,-0.0002269713406120033,0.5927098854322572,0.5929368480422221,-0.00022696260996490913,6.92526298529117e-08,8.730647094168376e-09,0.00030272927924499026,-0.0015973176859235224,-0.0006472942033392661,0.0019000469651685127,8.370782227329645,8.37140747413768,8.371094850733662,-0.000625246808034774,4.697749452591615,4.184213937056582,-900.9332770301626,-907.7537050127302,8.371094850733662,0.0009499994310533806,-0.0009499994310576343,0.001899998862111015,8.371435177246656,8.371400183848584,0.9996694477284348,0.999974556151431,0.9999360912733132,0.9997353993223097,0.999705910364662,1.2307016145318952,1.7496039644142722,0.7031847368552732,0.7033993553840523,0.2004316388958195,0.7034172530261191,1.3633136094674556,2.0
65,train,0.5923935145681827,0.5930878249015619,0.592741120910234,-0.0006943103333791889,0.5923934522998564,0.5930879473007887,-0.000694495000932327,0.5923934218204685,0.5930879152483084,-0.0006944934278398929,1.846675531380626e-07,1.573092434092871e-09,0.002944221261889973,-0.0028617701038072263,4.122557904137343e-05,0.0058059913656972,8.350067645372677,8.37028174046721,8.360174692919944,-0.020214095094532425,4.093457163422477,4.591174676481132,-897.8144139556146,-903.6712487340078,8.360174692919944,0.0029030455420111377,-0.0029030455420078344,0.005806091084018972,8.360153291923048,8.360183342731553,0.9997527230997659,1.0000186299720135,1.0000163648416112,0.999732993371905,0.9997537574887623,3.7606664880981335,1.74732159254493,2.1517141310376533,2.152286428128059,0.6132608458809224,2.1522463318391307,1.3633136094674556,3.0
65,train,0.5926858551311747,0.5926014396638835,0.5926436427082202,8.441546729121008e-05,0.5926858400273235,0.5926014061347767,8.44338925467536e-05,0.5926858390501231,0.5926014011559844,8.443789413870029e-05,-1.842525554351937e-08,4.001591946689587e-09,0.0005047450598875525,0.0012128407141410854,0.0008587928870143189,-0.0007080956542535329,8.382970416697153,8.38496724722486,8.383968831961006,-0.0019968305277071607,4.519071329044441,3.990439184799411,-907.7231230252139,-906.0980198816234,8.383968831961006,-0.0003539444004031779,0.00035394440040089075,-0.0007078888008040687,8.383528699151832,8.383539065865016,0.999492995689993,0.9997111537414791,0.9997585332472814,0.9997325736532612,0.99944176121962,-0.4586489075840046,1.752294695912934,-0.2616091754887425,-0.2616662765872211,-0.07458070398508408,-0.2617418797498851,1.3633136094674556,4.0
65,train,0.5930244852907944,0.5926968576066767,0.5928603046932632,0.00032762768411775944,0.5930245820245266,0.5926968448685724,0.0003277371559541331,0.5930245586317694,0.5926968443155796,0.00032771431618983105,-1.0947183637366464e-07,-2.2839764302062804e-08,-0.002327928813110888,0.0004131422273661226,-0.0009573932928723828,-0.0027410710404770105,8.35787352401875,8.396188868086512,8.37703119605263,-0.038315344067761714,5.041181754307788,3.8351924028490716,-896.7519627720656,-919.3822637247221,8.37703119605263,-0.0013727236139102947,0.0013727236139148273,-0.0027454472278251223,8.377531955329651,8.377620288620232,1.0012682232662355,1.0016027819022029,1.0015329809319822,0.9997319800320741,1.0013386348063977,-1.7754511424734662,1.7508446925973113,-1.0153400918063507,-1.0156793523444005,-0.2889444540470602,-1.0140540448734217,1.3633136094674556,5.0
65,train,0.5926219530232382,0.5925708541047017,0.592596393871816,5.1098918536496285e-05,0.5926219238243855,0.5925708147476068,5.1109076778743656e-05,0.5926219198450957,0.5925708073731718,5.1112471923908664e-05,-1.0158242247371163e-08,3.395145165008273e-09,0.0010390450472169061,0.0014679953271608795,0.0012535201871888928,-0.0004289502799439734,8.370824377235708,8.377245283104045,8.374034830169876,-0.006420905868337101,4.323581512091791,4.023245541767239,-907.8378120948955,-907.4033340874029,8.374034830169876,-0.0002139930740873727,0.00021399307408635337,-0.0004279861481737261,8.373400576316726,8.373404158063796,0.9975611244839914,0.9977594352868283,0.9978257158447265,0.9997326216010611,0.9974859953511325,-0.2778403964525881,1.7502184359700979,-0.1583589640105111,-0.15839044508221545,-0.04523310464138142,-0.15874612605059713,1.3633136094674556,6.0
65,train,0.5927453910028766,0.5924922874642335,0.5926185248898184,0.00025310353864305135,0.5927453908274354,0.592492234304597,0.00025315652283841583,0.5927453908273135,0.5924922194663487,0.0002531713609648101,-5.298419536448051e-08,1.4838126394245421e-08,5.521675093661669e-06,0.0021342707343232283,0.001069896204708445,-0.0021287490592295667,8.366622320136925,8.408715900688593,8.387669110412759,-0.04209358055166845,4.682505586893829,3.873039020727381,-902.1393191187889,-917.0844319008004,8.387669110412759,-0.0010616848746679204,0.0010616848746655366,-0.002123369749333457,8.387116629853926,8.387161795311409,0.9972752418177546,0.9974840094490882,0.9975424744400055,0.9997358673374613,0.9972149231781281,-1.3788369193783212,1.7530680740628728,-0.7843847837656456,-0.7845489853285585,-0.22411317288267965,-0.7865278820478194,1.3633136094674556,7.0
65,train,0.5926369565559704,0.5930190962093587,0.5928282713633612,-0.0003821396533882915,0.592636930672092,0.5930191885875825,-0.0003822579154905137,0.5926369274712641,0.5930191692993929,-0.00038224182812884866,1.1826210222221079e-07,1.608736166502922e-08,0.0009139230691186307,-0.002293279583111092,-0.0006896782569962307,0.0032072026522297226,8.375385483921004,8.396053644130859,8.385719564025932,-0.020668160209854847,4.50258552610468,4.342045864410237,-905.573642540945,-915.2797954965682,8.385719564025932,0.0016027509383086224,-0.0016027509383133337,0.003205501876621956,8.386079804071112,8.386046716433846,0.999162296582796,0.9994715108519968,0.9994294479959579,0.9997353777847219,0.9992012769408594,2.0773746936723914,1.7526606083552179,1.1842763281708977,1.184642830330356,0.33773049172743597,1.185269232257066,1.3633136094674556,8.0
65,train,0.5925743416201712,0.5925977964438494,0.5925860619365657,-2.3454823678159542e-05,0.5925743036024863,0.5925977621520317,-2.345854954544091e-05,0.5925742957287069,0.5925977569029444,-2.3461174237460192e-05,3.725867281367812e-09,-2.624692019281838e-09,0.001439797609161788,0.0012416176526249259,0.001340707630893357,0.00019817995653686224,8.383238249199772,8.372978888021677,8.378108568610724,0.010259361178095006,4.475133033852302,3.9971208769262394,-909.7646860608751,-906.29906920397,8.378108568610724,9.827166538743671e-05,-9.82716653855508e-05,0.0001965433307729875,8.377419761669742,8.37741692644651,0.9915586957790612,0.9917162077754358,0.9918271673047493,0.99973325279017,0.9914768391408144,0.12836545461714202,1.7510698692716176,0.07268806630554629,0.07269961301728926,0.02088805245621758,0.07330687191284803,1.3633136094674556,9.0
