batch,first_replica,samples,defined,sum_Rminus,sum_Rminus2,sum_Rplus,sum_Rplus2,nonzero_Rminus,typed_defined_mismatch,typed_Rminus_residual_max,typed_Rplus_sum_max,typed_support_mismatch,fixed_support_order_null_failures,o0_samples,o0_defined,o0_sum_Rminus,o0_sum_Rplus,o1_samples,o1_defined,o1_sum_Rminus,o1_sum_Rplus,o2_samples,o2_defined,o2_sum_Rminus,o2_sum_Rplus,o3_samples,o3_defined,o3_sum_Rminus,o3_sum_Rplus,o4_samples,o4_defined,o4_sum_Rminus,o4_sum_Rplus,o5_samples,o5_defined,o5_sum_Rminus,o5_sum_Rplus,o6_samples,o6_defined,o6_sum_Rminus,o6_sum_Rplus,o7_samples,o7_defined,o7_sum_Rminus,o7_sum_Rplus,hist_Rminus_-2,hist_Rminus_-1,hist_Rminus_0,hist_Rminus_1,hist_Rminus_2
0,10260000000,500,25,45,85,3,5,25,0,0,0,0,0,63,3,5,1,63,5,10,0,63,4,6,1,63,2,4,0,62,4,7,-1,62,2,4,0,62,3,5,1,62,2,4,1,0,0,0,5,20
1,10260000500,500,23,38,68,-4,10,23,0,0,0,0,0,62,1,2,0,62,0,0,0,62,1,1,-1,62,3,6,0,63,4,6,0,63,5,9,-2,63,6,11,0,63,3,3,-1,0,0,0,8,15
2,10260001000,500,15,27,51,-4,6,15,0,0,0,0,0,63,1,2,0,63,2,4,0,63,4,7,-1,63,1,1,-1,62,3,5,-2,62,1,2,0,62,2,4,0,62,1,2,0,0,0,0,3,12
3,10260001500,500,19,33,61,0,8,19,0,0,0,0,0,62,4,6,0,62,5,8,1,62,3,5,0,62,2,4,-1,63,1,2,0,63,1,2,0,63,0,0,0,63,3,6,0,0,0,0,5,14
4,10260002000,500,19,34,64,-2,6,19,0,0,0,0,0,63,1,2,0,63,2,4,0,63,3,5,0,63,1,2,0,62,4,7,-1,62,2,4,0,62,4,7,0,62,2,3,-1,0,0,0,4,15
5,10260002500,500,17,32,62,-3,3,17,0,0,0,0,0,62,3,6,0,62,4,7,-1,62,3,6,-1,62,4,7,-1,63,1,2,0,63,2,4,0,63,0,0,0,63,0,0,0,0,0,0,2,15
6,10260003000,500,22,41,79,-2,6,22,0,0,0,0,0,63,3,5,1,63,4,7,-2,63,1,2,0,63,3,6,0,62,5,10,0,62,1,1,-1,62,1,2,0,62,4,8,0,0,0,0,3,19
7,10260003500,500,17,31,59,3,5,17,0,0,0,0,0,62,1,2,0,62,2,4,1,62,3,5,1,62,0,0,0,63,3,6,0,63,2,4,0,63,3,6,-1,63,3,4,2,0,0,0,3,14
8,10260004000,500,15,26,48,-3,3,15,0,0,0,0,0,63,4,7,0,63,0,0,0,63,0,0,0,63,1,2,0,62,4,7,-1,62,2,3,-2,62,2,3,0,62,2,4,0,0,0,0,4,11
9,10260004500,500,20,37,71,2,4,20,0,0,0,0,0,62,2,4,0,62,3,6,0,62,3,5,1,62,0,0,0,63,4,7,2,63,6,11,-1,63,0,0,0,63,2,4,0,0,0,0,3,17
10,10260005000,500,19,33,61,0,8,19,0,0,0,0,0,63,2,4,0,63,2,4,1,63,4,7,-1,63,2,4,0,62,3,3,-1,62,3,5,1,62,1,2,0,62,2,4,0,0,0,0,5,14
11,10260005500,500,23,38,68,-6,10,23,0,0,0,0,0,62,4,6,-2,62,1,2,0,62,2,4,0,62,3,5,-2,63,4,6,-2,63,1,2,0,63,6,9,0,63,2,4,0,0,0,0,8,15
12,10260006000,500,16,26,46,-4,8,16,0,0,0,0,0,63,3,5,0,63,1,2,0,63,2,3,-1,63,2,4,0,62,2,3,-1,62,1,1,1,62,4,6,-3,62,1,2,0,0,0,0,6,10
13,10260006500,500,16,29,55,-1,3,16,0,0,0,0,0,62,1,2,0,62,1,2,0,62,1,2,0,62,2,4,1,63,4,7,0,63,2,2,-1,63,3,6,0,63,2,4,-1,0,0,0,3,13
14,10260007000,500,21,38,72,1,3,21,0,0,0,0,0,63,5,9,-1,63,1,2,0,63,4,6,1,63,2,4,0,62,1,2,0,62,1,2,0,62,5,9,1,62,2,4,0,0,0,0,4,17
15,10260007500,500,23,40,74,4,12,23,0,0,0,0,0,62,5,8,2,62,3,5,-2,62,3,6,0,62,1,1,1,63,2,4,0,63,4,7,1,63,5,9,2,63,0,0,0,0,0,0,6,17
16,10260008000,500,21,38,72,-1,7,21,0,0,0,0,0,63,3,6,0,63,5,10,0,63,1,2,0,63,5,6,-2,62,4,8,1,62,2,4,0,62,0,0,0,62,1,2,0,0,0,0,4,17
17,10260008500,500,20,35,65,-2,12,20,0,0,0,0,0,62,2,4,0,62,1,1,-1,62,3,5,2,62,5,9,-2,63,3,6,0,63,0,0,0,63,2,3,-1,63,4,7,0,0,0,0,5,15
18,10260009000,500,14,25,47,3,11,14,0,0,0,0,0,63,1,1,1,63,1,2,0,63,3,5,1,63,1,2,0,62,0,0,0,62,5,10,0,62,2,4,-1,62,1,1,2,0,0,0,3,11
19,10260009500,500,21,41,81,-1,1,21,0,0,0,0,0,62,1,2,0,62,1,2,0,62,5,9,-1,62,3,6,0,63,2,4,0,63,4,8,0,63,4,8,0,63,1,2,0,0,0,0,1,20
20,10260010000,500,24,43,81,1,15,24,0,0,0,0,0,63,4,6,1,63,3,6,0,63,0,0,0,63,0,0,0,62,6,12,0,62,4,6,1,62,4,7,-1,62,3,6,0,0,0,0,5,19
