batch,first_replica,samples,defined,sum_Rminus,sum_Rminus2,sum_Rplus,sum_Rplus2,nonzero_Rminus,typed_defined_mismatch,typed_Rminus_residual_max,typed_Rplus_sum_max,typed_support_mismatch,fixed_support_order_null_failures,o0_samples,o0_defined,o0_sum_Rminus,o0_sum_Rplus,o1_samples,o1_defined,o1_sum_Rminus,o1_sum_Rplus,o2_samples,o2_defined,o2_sum_Rminus,o2_sum_Rplus,o3_samples,o3_defined,o3_sum_Rminus,o3_sum_Rplus,o4_samples,o4_defined,o4_sum_Rminus,o4_sum_Rplus,o5_samples,o5_defined,o5_sum_Rminus,o5_sum_Rplus,o6_samples,o6_defined,o6_sum_Rminus,o6_sum_Rplus,o7_samples,o7_defined,o7_sum_Rminus,o7_sum_Rplus,hist_Rminus_-2,hist_Rminus_-1,hist_Rminus_0,hist_Rminus_1,hist_Rminus_2
21,10250010500,500,16,28,52,0,2,16,0,0,0,0,0,62,3,4,-1,62,2,4,0,62,4,8,0,62,1,2,0,63,0,0,0,63,1,2,0,63,3,6,0,63,2,2,1,0,0,0,4,12
22,10250011000,500,21,37,69,0,12,21,0,0,0,0,0,63,2,4,1,63,5,7,-4,63,2,3,1,63,3,6,0,62,1,2,0,62,4,7,1,62,2,4,0,62,2,4,1,0,0,0,5,16
23,10250011500,500,18,30,54,-3,11,18,0,0,0,0,0,62,3,6,0,62,0,0,0,62,3,6,0,62,3,3,-1,63,1,2,0,63,4,5,-2,63,0,0,0,63,4,8,0,0,0,0,6,12
24,10250012000,500,19,32,58,-1,17,19,0,0,0,0,0,63,3,6,0,63,1,2,0,63,4,7,1,63,1,2,0,62,4,6,-1,62,4,5,-1,62,1,2,1,62,1,2,-1,0,0,0,6,13
25,10250012500,500,24,46,90,-3,7,24,0,0,0,0,0,62,11,21,0,62,0,0,0,62,4,8,-1,62,2,3,-2,63,1,2,0,63,2,4,0,63,3,6,0,63,1,2,0,0,0,0,2,22
26,10250013000,500,18,33,63,1,9,18,0,0,0,0,0,63,2,4,-1,63,3,6,1,63,1,2,0,63,2,4,0,62,2,3,1,62,4,7,-2,62,2,4,0,62,2,3,2,0,0,0,3,15
27,10250013500,500,17,28,50,-3,7,17,0,0,0,0,0,62,3,5,0,62,4,6,0,62,1,2,1,62,1,2,-1,63,5,9,-1,63,2,3,-1,63,0,0,0,63,1,1,-1,0,0,0,6,11
28,10250014000,500,27,50,96,-8,12,27,0,0,0,0,0,63,2,4,-1,63,2,4,0,63,4,6,-3,63,3,6,-1,62,2,3,-1,62,5,10,-1,62,6,11,-1,62,3,6,0,0,0,0,4,23
29,10250014500,500,18,35,69,-3,5,18,0,0,0,0,0,62,2,4,0,62,0,0,0,62,3,6,0,62,3,6,0,63,1,2,-1,63,3,6,-1,63,3,6,0,63,3,5,-1,0,0,0,1,17
30,10250015000,500,24,45,87,-4,8,24,0,0,0,0,0,63,3,4,0,63,2,4,0,63,2,4,0,63,2,4,-1,62,3,6,0,62,4,8,-1,62,6,11,-2,62,2,4,0,0,0,0,3,21
31,10250015500,500,12,21,39,0,6,12,0,0,0,0,0,62,1,1,1,62,3,6,-1,62,3,5,1,62,1,1,-1,63,2,4,0,63,2,4,0,63,0,0,0,63,0,0,0,0,0,0,3,9
32,10250016000,500,19,35,67,-7,9,19,0,0,0,0,0,63,2,4,0,63,2,4,-1,63,2,3,-2,63,4,7,-2,62,3,6,-1,62,1,2,0,62,2,3,0,62,3,6,-1,0,0,0,3,16
33,10250016500,500,21,38,72,-4,10,21,0,0,0,0,0,62,1,2,0,62,3,5,0,62,2,3,-2,62,5,10,-1,63,1,2,0,63,2,3,-1,63,4,7,0,63,3,6,0,0,0,0,4,17
34,10250017000,500,23,40,74,-2,10,23,0,0,0,0,0,63,3,6,1,63,1,2,0,63,7,10,-2,63,2,4,0,62,4,7,1,62,2,4,0,62,2,4,-1,62,2,3,-1,0,0,0,6,17
35,10250017500,500,21,36,66,-1,13,21,0,0,0,0,0,62,7,11,-3,62,2,3,2,62,0,0,0,62,2,4,0,63,2,3,-1,63,7,13,1,63,0,0,0,63,1,2,0,0,0,0,6,15
36,10250018000,500,16,26,46,2,16,16,0,0,0,0,0,63,0,0,0,63,0,0,0,63,3,6,0,63,2,3,0,62,4,5,-2,62,3,6,0,62,2,3,3,62,2,3,1,0,0,0,6,10
37,10250018500,500,17,31,59,1,7,17,0,0,0,0,0,62,0,0,0,62,3,6,0,62,2,4,0,62,4,8,0,63,1,1,1,63,2,4,-1,63,1,2,0,63,4,6,1,0,0,0,3,14
38,10250019000,500,17,30,56,-1,13,17,0,0,0,0,0,63,1,2,-1,63,3,5,2,63,2,2,0,63,1,2,-1,62,4,8,1,62,2,4,-1,62,2,3,-2,62,2,4,1,0,0,0,4,13
39,10250019500,500,22,43,85,0,2,22,0,0,0,0,0,62,1,2,0,62,2,4,0,62,6,11,1,62,1,2,0,63,2,4,-1,63,2,4,0,63,2,4,0,63,6,12,0,0,0,0,1,21
