n,g,k,q,e,s,qs,es,count01,count02,count12,s_previous01,s_previous02,s_previous12
85,0,0,-1000,1000,1000,-1000,1000,0,0,0,0,0,0
85,0,1,-1000,1000,2000,-2000,2000,0,0,0,0,0,0
85,0,2,-1000,1000,2952,-2952,2952,0,0,0,0,0,0
85,0,3,-1000,1000,3863,-3863,3863,0,0,0,0,0,0
85,0,4,-1000,1000,4717,-4717,4717,0,0,0,0,0,0
85,0,5,-1000,1000,5524,-5524,5524,0,0,0,0,0,0
85,0,6,-1000,1000,6282,-6282,6282,0,0,0,0,0,0
85,0,7,-1000,1000,6977,-6977,6977,0,0,0,0,0,0
85,0,8,-1000,1000,7637,-7637,7637,0,0,0,0,0,0
85,0,9,-1000,1000,8264,-8264,8264,0,0,0,0,0,0
85,0,10,-1000,1000,8834,-8834,8834,0,0,0,0,0,0
85,0,11,-1000,1000,9338,-9338,9338,0,0,0,0,0,0
85,0,12,-1000,1000,9800,-9800,9800,0,0,0,0,0,0
85,0,13,-1000,1000,10243,-10243,10243,0,0,0,0,0,0
85,0,14,-1000,1000,10627,-10627,10627,0,0,0,0,0,0
85,0,15,-1000,1000,10971,-10971,10971,0,0,0,0,0,0
85,0,16,-1000,1000,11311,-11311,11311,0,0,0,0,0,0
85,0,17,-1000,1000,11536,-11536,11536,0,0,0,0,0,0
85,0,18,-1000,1000,11767,-11767,11767,0,0,0,0,0,0
85,0,19,-1000,1000,11921,-11921,11921,0,0,0,0,0,0
85,0,20,-1000,1000,12022,-12022,12022,0,0,0,0,0,0
85,0,21,-1000,1000,12151,-12151,12151,0,0,0,0,0,0
85,0,22,-1000,1000,12203,-12203,12203,0,0,0,0,0,0
85,0,23,-1000,1000,12232,-12232,12232,0,0,0,0,0,0
85,0,24,-1000,1000,12205,-12205,12205,0,0,0,0,0,0
85,0,25,-1000,1000,12180,-12180,12180,0,0,0,0,0,0
85,0,26,-1000,1000,12045,-12045,12045,0,0,0,0,0,0
85,0,27,-1000,1000,11919,-11919,11919,0,0,0,0,0,0
85,0,28,-1000,1000,11738,-11738,11738,0,0,0,0,0,0
85,0,29,-999,999,11562,-11556,11556,1,0,0,7,0,0
85,0,30,-997,997,11387,-11367,11367,2,0,0,14,0,0
85,0,31,-996,996,11134,-11103,11103,1,0,0,10,0,0
85,0,32,-988,988,10871,-10773,10773,8,0,0,67,0,0
85,0,33,-985,985,10547,-10425,10425,3,0,0,27,0,0
85,0,34,-983,983,10232,-10095,10095,2,0,0,20,0,0
85,0,35,-977,977,9841,-9662,9662,6,0,0,49,0,0
85,0,36,-972,972,9508,-9298,9298,5,0,0,35,0,0
85,0,37,-961,961,9164,-8871,8871,11,0,0,94,0,0
85,0,38,-951,951,8763,-8407,8407,10,0,0,73,0,0
85,0,39,-935,935,8327,-7876,7876,16,0,0,114,0,0
85,0,40,-915,915,7926,-7358,7358,20,0,0,131,0,0
85,0,41,-884,890,7511,-6759,6791,28,0,3,192,0,16
85,0,42,-850,862,7131,-6181,6243,30,1,2,193,4,11
85,0,43,-789,807,6715,-5403,5495,58,0,3,396,0,16
85,0,44,-716,750,6339,-4648,4828,65,0,8,400,0,44
85,0,45,-634,686,5964,-3918,4184,73,0,9,387,0,46
85,0,46,-530,636,5659,-3167,3673,77,0,27,399,0,123
85,0,47,-431,587,5383,-2458,3184,73,1,24,382,5,107
85,0,48,-323,529,5155,-1749,2719,83,0,25,431,0,114
