lineage,role,design,seed_block,batch,samples,rank0,l0,l1,l2,rank1_other,rank2,invariant_failure
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,51,10000,3152,1196,1241,1231,39,3141,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,52,10000,3150,1141,1268,1289,41,3111,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,53,10000,3127,1280,1247,1282,48,3016,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,54,10000,3180,1170,1224,1252,29,3145,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,55,10000,3075,1162,1281,1311,49,3122,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,56,10000,3127,1155,1313,1224,42,3139,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,57,10000,3150,1138,1297,1256,27,3132,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,58,10000,3194,1137,1253,1231,42,3143,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,59,10000,3095,1198,1239,1244,48,3176,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,60,10000,3129,1192,1218,1264,26,3171,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,61,10000,3157,1124,1251,1283,30,3155,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,62,10000,3118,1143,1258,1312,36,3133,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,63,10000,3148,1258,1205,1241,33,3115,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,64,10000,3126,1196,1250,1245,44,3139,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,65,10000,3131,1225,1265,1256,29,3094,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,66,10000,3102,1196,1231,1337,35,3099,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,67,10000,3231,1150,1194,1254,41,3130,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,68,10000,3125,1201,1255,1242,52,3125,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,69,10000,3138,1165,1297,1229,34,3137,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,70,10000,3170,1165,1282,1229,29,3125,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,71,10000,3193,1184,1256,1215,37,3115,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,72,10000,3103,1196,1265,1327,36,3073,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,73,10000,3072,1212,1304,1277,39,3096,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,74,10000,3099,1129,1288,1289,51,3144,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,75,10000,3159,1154,1297,1217,32,3141,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,76,10000,3160,1190,1246,1247,41,3116,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,77,10000,3105,1229,1291,1234,47,3094,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,78,10000,3127,1155,1265,1247,39,3167,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,79,10000,3125,1165,1193,1284,34,3199,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,80,10000,3205,1173,1266,1267,30,3059,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,81,10000,3165,1133,1240,1230,23,3209,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,82,10000,3139,1219,1225,1192,36,3189,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,83,10000,3153,1176,1260,1230,32,3149,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,84,10000,3112,1216,1271,1226,37,3138,0
pell_Dminus2,parent,pell_Dminus2_N30,11418563313151150124,85,10000,3089,1147,1307,1285,31,3141,0
