k,g,q,bad2,n_bad3,count
0,0,-1,0,0,1
1,2,-1,0,0,25
2,4,-1,0,0,300
3,6,-1,0,0,2300
4,6,-1,0,0,25
4,8,-1,0,0,12625
5,8,-1,0,0,525
5,10,-1,0,0,52605
6,8,-1,0,0,50
6,10,-1,0,0,5150
6,12,-1,0,0,171900
7,10,-1,0,0,1000
7,12,-1,0,0,31250
7,13,0,0,0,125
7,13,0,1,1,125
7,14,-1,0,0,448200
8,10,-1,0,0,150
8,12,-1,0,0,9200
8,13,0,0,0,250
8,13,0,1,1,250
8,14,-1,0,0,130300
8,15,0,0,0,1750
8,15,0,1,1,1800
8,16,-1,0,0,937875
9,10,-1,0,0,25
9,12,-1,0,0,2650
9,13,0,0,0,400
9,13,0,1,1,400
9,14,-1,0,0,50600
9,15,0,0,0,3400
9,15,0,1,1,3450
9,16,-1,0,0,391425
9,17,0,0,0,11250
9,17,0,1,1,12000
9,18,-1,0,0,1567375
10,12,-1,0,0,850
10,13,0,0,0,500
10,13,0,1,1,500
10,14,-1,0,0,20000
10,15,0,0,0,5100
10,15,0,1,1,5150
10,16,-1,0,0,183650
10,17,0,0,0,21450
10,17,0,1,1,22650
10,18,-1,0,0,861350
10,18,1,1,1,200
10,19,0,0,0,43400
10,19,0,1,1,48450
10,20,-1,0,0,2055510
11,12,-1,0,0,200
11,13,0,0,0,575
11,13,0,1,1,575
11,14,-1,0,0,8550
11,15,0,0,0,6050
11,15,0,1,1,6100
11,16,-1,0,0,85700
11,17,0,0,0,30600
11,17,0,1,1,32150
11,18,-1,0,0,456800
11,18,1,1,1,950
11,19,0,0,0,81375
11,19,0,1,1,91075
11,20,-1,0,0,1375800
11,20,1,1,1,3450
11,21,0,0,0,108350
11,21,0,1,1,126850
11,22,-1,0,0,2042250
12,12,-1,0,0,50
12,13,0,0,0,600
12,13,0,1,1,600
12,14,-1,0,0,3075
12,15,0,0,0,6650
12,15,0,1,1,6700
12,16,-1,0,0,41825
12,16,1,1,1,150
12,17,0,0,0,34375
12,17,0,1,1,36175
12,18,-1,0,0,228600
12,18,1,1,1,3400
12,19,0,0,0,109925
12,19,0,1,1,122875
12,20,-1,0,0,772625
12,20,1,1,1,13400
12,21,0,0,0,196175
12,21,0,1,1,232575
12,22,-1,0,0,1536800
12,22,1,1,1,19100
12,23,0,0,0,175650
12,23,0,1,1,214800
12,24,-1,0,0,1444175
13,13,0,0,0,625
13,13,0,1,1,625
13,14,-1,0,0,1050
13,15,0,0,0,6550
13,15,0,1,1,6600
13,16,-1,0,0,17950
13,16,1,1,1,975
13,17,0,0,0,35400
13,17,0,1,1,37300
13,18,-1,0,0,113425
13,18,1,1,1,8650
13,19,0,0,0,114325
13,19,0,1,1,128275
13,20,-1,0,0,380650
13,20,1,1,1,36375
13,21,0,0,0,242650
13,21,0,1,1,287850
13,22,-1,0,0,844800
13,22,1,1,1,62925
13,23,0,0,0,296225
13,23,0,1,1,367675
13,24,-1,0,0,1110825
13,24,1,1,1,51125
13,25,0,0,0,174500
13,25,0,0,1,25
13,25,0,1,1,221125
13,26,-1,0,0,651800
14,13,0,0,0,625
14,13,0,1,1,625
14,14,-1,0,0,200
14,14,1,1,1,100
14,15,0,0,0,6200
14,15,0,1,1,6250
14,16,-1,0,0,7100
14,16,1,1,1,2850
14,17,0,0,0,32025
14,17,0,1,1,33825
14,18,-1,0,0,49300
14,18,1,1,1,18900
14,19,0,0,0,104800
14,19,0,1,1,117650
14,20,-1,0,0,170500
14,20,1,1,1,69950
14,21,0,0,0,222600
14,21,0,1,1,263800
14,22,-1,0,0,370700
14,22,1,1,1,136600
14,23,0,0,0,314675
14,23,0,1,1,390125
14,24,-1,0,0,533550
14,24,1,1,1,142350
14,25,0,0,0,256650
14,25,0,0,1,25
14,25,0,1,1,327100
14,25,0,1,2,175
14,26,-1,0,0,446400
14,26,1,1,1,68100
14,27,0,0,0,89650
14,27,0,1,1,116100
14,28,-1,0,0,157900
15,13,0,0,0,625
15,13,0,1,1,625
15,14,1,1,1,500
15,15,0,0,0,5375
15,15,0,1,1,5425
15,16,-1,0,0,2100
15,16,1,1,1,6100
15,17,0,0,0,26550
15,17,0,1,1,28050
15,18,-1,0,0,18800
15,18,1,1,1,33700
15,19,0,0,0,81350
15,19,0,1,1,91300
15,20,-1,0,0,62250
15,20,1,1,1,109300
15,21,0,0,0,167900
15,21,0,1,1,196900
15,22,-1,0,0,129900
15,22,1,1,1,208050
15,23,0,0,0,232225
15,23,0,1,1,284425
15,24,-1,0,0,178200
15,24,1,1,1,240900
15,25,0,0,0,205825
15,25,0,1,1,258350
15,25,0,1,2,375
15,26,-1,0,0,155400
15,26,1,1,1,145450
15,27,0,0,0,98400
15,27,0,1,1,126500
15,28,-1,0,0,77150
15,28,1,1,1,31900
15,29,0,0,0,18625
15,29,0,0,1,5
15,29,0,1,1,24530
15,30,-1,0,0,15700
16,12,1,1,1,25
16,13,0,0,0,600
16,13,0,1,1,600
16,14,1,1,1,1400
16,15,0,0,0,4300
16,15,0,1,1,4350
16,16,-1,0,0,300
16,16,1,1,1,10550
16,17,0,0,0,19375
16,17,0,1,1,20475
16,18,-1,0,0,5550
16,18,1,1,1,50800
16,19,0,0,0,53525
16,19,0,1,1,59475
16,20,-1,0,0,17300
16,20,1,1,1,139050
16,21,0,0,0,99275
16,21,0,1,1,113925
16,22,-1,0,0,31775
16,22,1,1,1,246600
16,23,0,0,0,122550
16,23,0,1,1,145500
16,24,-1,0,0,39300
16,24,1,1,1,261500
16,25,0,0,0,99525
16,25,0,1,1,121225
16,25,0,1,2,250
16,26,-1,0,0,29200
16,26,1,1,1,149975
16,27,0,0,0,45725
16,27,0,1,1,56725
16,28,-1,0,0,14650
16,28,1,1,1,40750
16,29,0,0,0,11600
16,29,0,1,1,15050
16,30,-1,0,0,3100
16,30,1,1,1,4100
16,31,0,0,0,1150
16,31,0,1,1,1600
16,32,-1,0,0,250
17,12,1,1,1,150
17,13,0,0,0,550
17,13,0,1,1,550
17,14,1,1,1,2775
17,15,0,0,0,3025
17,15,0,1,1,3075
17,16,1,1,1,16100
17,17,0,0,0,12100
17,17,0,1,1,12700
17,18,-1,0,0,825
17,18,1,1,1,63500
17,19,0,0,0,27775
17,19,0,1,1,29975
17,20,-1,0,0,3500
17,20,1,1,1,148525
17,21,0,0,0,41925
17,21,0,1,1,46475
17,22,-1,0,0,4100
17,22,1,1,1,211475
17,23,0,0,0,42700
17,23,0,1,1,48250
17,24,-1,0,0,4925
17,24,1,1,1,177750
17,25,0,0,0,25650
17,25,0,1,1,29300
17,25,0,1,2,50
17,26,-1,0,0,2650
17,26,1,1,1,74400
17,27,0,0,0,9600
17,27,0,1,1,11800
17,28,-1,0,0,500
17,28,1,1,1,18250
17,29,0,0,0,2025
17,29,0,1,1,2275
17,30,1,1,1,2100
17,31,0,1,1,100
17,32,1,1,1,150
18,12,1,1,1,550
18,13,0,0,0,450
18,13,0,1,1,450
18,14,1,1,1,4100
18,15,0,0,0,1800
18,15,0,1,1,1850
18,16,1,1,1,22500
18,17,0,0,0,5750
18,17,0,1,1,5750
18,18,1,1,1,66100
18,19,0,0,0,9750
18,19,0,1,1,10500
18,20,-1,0,0,300
18,20,1,1,1,117200
18,21,0,0,0,11300
18,21,0,1,1,11300
18,22,-1,0,0,400
18,22,1,1,1,114600
18,23,0,0,0,6775
18,23,0,1,1,7675
18,24,-1,0,0,100
18,24,1,1,1,56400
18,25,0,0,0,3575
18,25,0,1,1,3575
18,26,1,1,1,15550
18,27,0,1,1,100
18,28,1,1,1,2300
19,10,1,1,1,50
19,12,1,1,1,1000
19,13,0,0,0,325
19,13,0,1,1,325
19,14,1,1,1,6500
19,15,0,0,0,600
19,15,0,1,1,600
19,16,1,1,1,24850
