batch,replica,hand,residue,translation,fiber,orientation,anchor_D_field,anchor_J_field,landing_field,L_D,L_J,L_DJ,L_JD,R_plus,R_minus,dual_reason,D0_site_field,D0_source_id,D0_target_id,D0_source_rank,D0_target_rank,D0_source_basis,D0_target_basis,dual_D0_site_field,dual_D0_source_id,dual_D0_target_id,dual_D0_source_rank,dual_D0_target_rank,dual_D0_source_basis,dual_D0_target_basis,J0_site_field,J0_source_id,J0_target_id,J0_source_rank,J0_target_rank,J0_source_basis,J0_target_basis,dual_J0_site_field,dual_J0_source_id,dual_J0_target_id,dual_J0_source_rank,dual_J0_target_rank,dual_J0_source_basis,dual_J0_target_basis,J_after_D_site_field,J_after_D_source_id,J_after_D_target_id,J_after_D_source_rank,J_after_D_target_rank,J_after_D_source_basis,J_after_D_target_basis,dual_J_after_D_site_field,dual_J_after_D_source_id,dual_J_after_D_target_id,dual_J_after_D_source_rank,dual_J_after_D_target_rank,dual_J_after_D_source_basis,dual_J_after_D_target_basis,D_after_J_site_field,D_after_J_source_id,D_after_J_target_id,D_after_J_source_rank,D_after_J_target_rank,D_after_J_source_basis,D_after_J_target_basis,dual_D_after_J_site_field,dual_D_after_J_source_id,dual_D_after_J_target_id,dual_D_after_J_source_rank,dual_D_after_J_target_rank,dual_D_after_J_source_basis,dual_D_after_J_target_basis
6,25050506058,plus,57,58,2,2,292,237,112,0,1,1,-1,1,2,defined,466,90,240,1,1,"((0, 1),)","((0, 1),)",12,240,90,1,1,"((0, 1),)","((0, 1),)",12,240,90,1,1,"((0, 1),)","((0, 1),)",466,90,240,1,1,"((0, 1),)","((0, 1),)",7,240,90,1,1,"((0, 1),)","((0, 1),)",112,90,0,1,1,"((0, 1),)","((0, 1),)",112,90,0,1,1,"((0, 1),)","((0, 1),)",7,240,90,1,1,"((0, 1),)","((0, 1),)"
6,25050506081,plus,67,54,0,1,270,225,85,-1,1,1,-1,0,2,defined,85,8,135,1,1,"((0, 1),)","((0, 1),)",135,135,8,1,1,"((0, 1),)","((0, 1),)",135,135,8,1,1,"((0, 1),)","((0, 1),)",85,8,135,1,1,"((0, 1),)","((0, 1),)",85,135,8,1,1,"((0, 1),)","((0, 1),)",85,8,135,1,1,"((0, 1),)","((0, 1),)",85,8,135,1,1,"((0, 1),)","((0, 1),)",85,135,8,1,1,"((0, 1),)","((0, 1),)"
6,25050506081,minus,67,54,0,1,270,225,85,-1,1,1,-1,0,2,defined,85,4,54,1,1,"((0, 1),)","((0, 1),)",135,54,4,1,1,"((0, 1),)","((0, 1),)",135,54,4,1,1,"((0, 1),)","((0, 1),)",85,4,54,1,1,"((0, 1),)","((0, 1),)",85,54,4,1,1,"((0, 1),)","((0, 1),)",85,4,54,1,1,"((0, 1),)","((0, 1),)",85,4,54,1,1,"((0, 1),)","((0, 1),)",85,54,4,1,1,"((0, 1),)","((0, 1),)"
6,25050506118,minus,91,78,3,2,393,338,398,-1,1,1,-1,0,2,defined,448,18,12,1,1,"((1, -1),)","((1, -1),)",398,12,18,1,1,"((1, -1),)","((1, -1),)",398,12,18,1,1,"((1, -1),)","((1, -1),)",448,18,12,1,1,"((1, -1),)","((1, -1),)",398,12,18,1,1,"((1, -1),)","((1, -1),)",398,18,12,1,1,"((1, -1),)","((1, -1),)",398,18,12,1,1,"((1, -1),)","((1, -1),)",398,12,18,1,1,"((1, -1),)","((1, -1),)"
6,25050506151,minus,32,11,4,3,59,104,144,1,1,1,1,0,0,defined,194,3,7,1,1,"((0, 1),)","((0, 1),)",244,7,3,1,1,"((0, 1),)","((0, 1),)",244,7,3,1,1,"((0, 1),)","((0, 1),)",194,3,7,1,1,"((0, 1),)","((0, 1),)",194,7,3,1,1,"((0, 1),)","((0, 1),)",189,3,7,1,1,"((0, 1),)","((0, 1),)",189,3,7,1,1,"((0, 1),)","((0, 1),)",194,7,3,1,1,"((0, 1),)","((0, 1),)"
6,25050506162,minus,83,2,4,2,14,463,124,0,1,1,-1,1,2,defined,124,213,13,1,1,"((0, 1),)","((0, 1),)",74,13,213,1,1,"((0, 1),)","((0, 1),)",74,13,213,1,1,"((0, 1),)","((0, 1),)",124,213,13,1,1,"((0, 1),)","((0, 1),)",124,13,224,2,0,"((0, 1), (1, 0))",(),124,224,13,1,1,"((0, 1),)","((0, 1),)",124,224,13,1,1,"((0, 1),)","((0, 1),)",124,13,224,2,0,"((0, 1), (1, 0))",()
6,25050506192,minus,7,96,1,0,481,32,326,0,1,1,0,0,1,defined,326,4,0,1,1,"((1, 0),)","((1, 0),)",321,0,4,1,1,"((1, 0),)","((1, 0),)",321,0,4,1,1,"((1, 0),)","((1, 0),)",326,4,0,1,1,"((1, 0),)","((1, 0),)",326,0,4,2,0,"((0, 1), (1, 0))",(),326,4,0,1,1,"((1, 0),)","((1, 0),)",326,4,0,1,1,"((1, 0),)","((1, 0),)",326,0,4,2,0,"((0, 1), (1, 0))",()
6,25050506219,plus,56,52,4,3,264,309,34,-1,1,1,-1,0,2,defined,34,6,12,1,1,"((1, 0),)","((1, 0),)",39,12,6,1,1,"((1, 0),)","((1, 0),)",39,12,6,1,1,"((1, 0),)","((1, 0),)",34,6,12,1,1,"((1, 0),)","((1, 0),)",34,12,6,1,1,"((1, 0),)","((1, 0),)",34,6,12,1,1,"((1, 0),)","((1, 0),)",34,6,12,1,1,"((1, 0),)","((1, 0),)",34,12,6,1,1,"((1, 0),)","((1, 0),)"
6,25050506219,minus,56,52,4,3,264,309,34,-1,1,1,-1,0,2,defined,34,4,5,1,1,"((1, 0),)","((1, 0),)",39,5,4,1,1,"((1, 0),)","((1, 0),)",39,5,4,1,1,"((1, 0),)","((1, 0),)",34,4,5,1,1,"((1, 0),)","((1, 0),)",34,5,4,1,1,"((1, 0),)","((1, 0),)",34,4,5,1,1,"((1, 0),)","((1, 0),)",34,4,5,1,1,"((1, 0),)","((1, 0),)",34,5,4,1,1,"((1, 0),)","((1, 0),)"
6,25050506227,plus,39,7,2,3,37,82,472,-1,0,1,-1,-1,2,defined,472,2,16,1,1,"((1, 0),)","((1, 0),)",422,16,2,1,1,"((1, 0),)","((1, 0),)",422,16,2,1,1,"((1, 0),)","((1, 0),)",472,2,16,1,1,"((1, 0),)","((1, 0),)",472,16,2,1,1,"((1, 0),)","((1, 0),)",472,2,109,2,0,"((0, 1), (1, -1))",(),472,2,109,2,0,"((0, 1), (1, -1))",(),472,16,2,1,1,"((1, 0),)","((1, 0),)"
6,25050506227,minus,39,7,2,3,37,82,472,-1,1,1,-1,0,2,defined,472,4,11,1,1,"((1, 0),)","((1, 0),)",422,11,4,1,1,"((1, 0),)","((1, 0),)",422,11,4,1,1,"((1, 0),)","((1, 0),)",472,4,11,1,1,"((1, 0),)","((1, 0),)",472,9,4,1,1,"((1, 0),)","((1, 0),)",472,4,44,1,0,"((1, 0),)",(),472,4,44,1,0,"((1, 0),)",(),472,9,4,1,1,"((1, 0),)","((1, 0),)"
6,25050506273,minus,39,37,1,1,186,141,116,-1,1,1,-1,0,2,defined,116,21,25,1,1,"((1, 0),)","((1, 0),)",121,25,21,1,1,"((1, 0),)","((1, 0),)",121,25,21,1,1,"((1, 0),)","((1, 0),)",116,21,25,1,1,"((1, 0),)","((1, 0),)",116,25,21,1,1,"((1, 0),)","((1, 0),)",116,21,25,1,1,"((1, 0),)","((1, 0),)",116,21,25,1,1,"((1, 0),)","((1, 0),)",116,25,21,1,1,"((1, 0),)","((1, 0),)"
6,25050506336,plus,96,86,0,0,430,485,180,-1,-1,-1,-1,0,0,defined,375,9,16,1,1,"((1, 0),)","((1, 0),)",325,16,9,1,1,"((1, 0),)","((1, 0),)",325,16,9,1,1,"((1, 0),)","((1, 0),)",375,9,16,1,1,"((1, 0),)","((1, 0),)",380,16,9,1,1,"((1, 0),)","((1, 0),)",225,9,16,1,1,"((1, 0),)","((1, 0),)",225,9,16,1,1,"((1, 0),)","((1, 0),)",380,16,9,1,1,"((1, 0),)","((1, 0),)"
