batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,omega_over_2_re,omega_over_2_im,omega_plus_1_over_2_re,omega_plus_1_over_2_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
85,85000,1000,afbf3906a78790ab8eaa7de79ff1a841e89e3efb2e0c05c98df829a68dd2a976,453.9228155652487,2.887515983838449,-224.1893745263209,-407.88004362615646,-209.46623980851152,388.5864116696852,244,493,263,0,250,499,251,0,257,485,258,0
86,86000,1000,ae9a51743ed319bdaf77dffd84762bbe1071c84c0b5e2038525a4496df6f4a17,465.43408284023656,3.499171597633138,-196.99349985171042,-360.62875317410703,-213.0129878614757,386.0156043996916,253,507,240,0,290,441,269,0,285,468,247,0
87,87000,1000,42425d2845b94d2600a08ce209f3a5456163ca0126726101d10048aa396b6c26,437.9495857988164,2.624378698224853,-222.3735409599981,-399.1553550335597,-215.66649893538462,393.73496680182893,264,481,255,0,251,469,280,0,241,487,272,0
88,88000,1000,313361ca01683b77405049020396038e4a686e1edc079031fccf59abf6095e3f,454.896045331681,3.1506532694520444,-207.26039739282237,-382.37357566010877,-220.79538836116748,392.8889475957521,263,490,247,0,253,474,273,0,246,502,252,0
89,89000,1000,88068997374b909e2693ec61262dcf3263537a0a91a089496d834bade53bed9b,442.3410650887573,1.749585798816569,-200.162115255492,-365.6344511643011,-224.54773965259648,394.72781910828706,275,475,250,0,276,473,251,0,234,507,259,0
90,90000,1000,db9408f4f5a84fc811693545b6f17d18d764ddf4118bef218a2508136c7ba1c5,435.9890630831603,0.3485183281810933,-220.24911866265205,-404.31482671629107,-235.87138464217716,418.97896088546395,275,480,245,0,268,498,234,0,250,516,234,0
91,91000,1000,4df466518c3c58e5f60947aab0a54bacd6fc22de1158cc629e7072408d11fba4,474.372071005917,-1.749585798816569,-220.33360373639772,-414.18216534945157,-215.71356961411712,390.17528318380874,242,510,248,0,245,507,248,0,257,482,261,0
92,92000,1000,8ba5348d9d69ab63344ec2e29edf21f66b56953a6f838e3c8b36958fd2eabd9b,456.43408284023656,5.248757396449706,-213.62095049134498,-376.3035967924818,-221.37298287980823,402.529526631987,249,498,253,0,249,478,273,0,247,491,262,0
93,93000,1000,3de8e93a439ccb58f671db72c95b44890781b17f696850a0e07859272111fde3,492.31429485518964,2.012723084430164,-223.68120091374735,-393.74190739398483,-218.86635943355057,402.2934078178876,251,521,228,0,271,487,242,0,249,507,244,0
94,94000,1000,da9c3277f9f3f716f59761fa0a98f76b16749210446a7a271c94842028cf4c32,444.4693244409884,3.2360343120195423,-226.0115527981302,-411.97367709804143,-212.99620556823,385.91540213538525,260,488,252,0,237,509,254,0,242,497,261,0
95,95000,1000,3a3b7d378295ba478f8240bd777e45f3c616ca9f08d697f1d13e4e96b9943636,478.82556213017733,-0.8747928994082845,-227.08890441674382,-398.09107415612664,-208.47001438646555,374.27126134349004,241,510,249,0,256,486,258,0,274,475,251,0
96,96000,1000,bcff4e3eb23f7ad888675f4e722af9e629967fe42f289b6df95b82e3bae8cc76,472.2481270630194,3.5170287403768135,-227.03450439200478,-404.4165863140106,-205.04075791354848,367.53936798906835,249,499,252,0,251,505,244,0,244,464,292,0
97,97000,1000,3c210c3239608882005c532793f00e30238061d67544c6f0a1e1d3b5ea473f7c,446.43831852382857,5.511894682063302,-209.82735098722407,-379.10654691814347,-224.88824666116386,401.6011623043476,264,487,249,0,273,474,253,0,252,495,253,0
98,98000,1000,97cd09feb6bacdbe30a33d00c3ca1604e510d23d04d0bca7e2c23627011366fc,492.44255420742064,-3.4991715976331377,-205.62345736655723,-374.6379134486409,-214.10560698424777,389.4254902836063,232,532,236,0,270,476,254,0,253,473,274,0
99,99000,1000,af607c2441b38e748bf752e8c827198d11a7ee6465e0d5e531a7b24117d4febc,456.8255621301774,0.8747928994082845,-212.4607362454366,-389.2895737338127,-220.51681346117797,391.2465046533975,264,488,248,0,260,474,266,0,260,511,229,0
