batch,replicas,sum_km1,sum_km2,sum_kp1,sum_kp2,sum_km1km2,sum_kp1kp2,sum_km1kp2,sum_kp1km2,sum_gap1gap2
0,50000,3654909,3653922,4090092,4088743,267118198,334496897,298888134,298877874,3849087
1,50000,3656715,3656049,4089389,4090429,267402537,334552822,299123969,298993084,3838306
2,50000,3655963,3655165,4090664,4091471,267280390,334734152,299142174,299024978,3847390
3,50000,3655607,3654641,4089686,4090218,267222515,334581755,299039159,298915466,3849645
4,50000,3651050,3654713,4088310,4091050,266897277,334538465,298731801,298837371,3866570
5,50000,3655792,3657800,4091280,4092428,267467635,334885519,299209490,299289829,3853835
6,50000,3654248,3657332,4089691,4091609,267321250,334674421,299024615,299128060,3842996
7,50000,3654399,3654332,4088926,4091856,267127079,334640115,299061247,298831354,3874593
8,50000,3655048,3657701,4091162,4090554,267404218,334706462,299011240,299267341,3832099
9,50000,3651952,3657531,4088281,4090727,267160254,334503457,298774304,299057836,3831571
10,50000,3651870,3653203,4087918,4087387,266856462,334205953,298542599,298656870,3862946
11,50000,3659117,3655574,4093679,4089484,267560832,334837475,299255132,299294646,3848529
12,50000,3653683,3655051,4089052,4089187,267111414,334425979,298798492,298886432,3852469
13,50000,3653647,3654660,4089755,4089216,267088714,334496671,298798128,298933108,3854149
14,50000,3655932,3654228,4091998,4090240,267223514,334761825,299059689,299051912,3873738
15,50000,3655702,3655625,4090244,4089700,267286229,334565378,298987361,299023419,3840827
16,50000,3654133,3655970,4092798,4090759,267220634,334874200,298943539,299251798,3899497
17,50000,3654897,3653561,4090887,4087957,267096580,334468664,298809863,298917926,3837455
18,50000,3653408,3655165,4088133,4091315,267127943,334521972,298944653,298848861,3856401
19,50000,3653519,3655672,4091668,4089030,267160200,334631941,298781534,299145112,3865495
20,50000,3656072,3657609,4089371,4091574,267479362,334654737,299182748,299141201,3810150
21,50000,3654326,3658327,4090025,4093609,267393473,334879699,299185161,299230468,3857543
22,50000,3654788,3657474,4087600,4090216,267374555,334401316,298956074,298989673,3830124
23,50000,3653323,3655087,4089306,4091671,267099223,334666196,298968654,298920618,3876147
24,50000,3657561,3656835,4091937,4094049,267537518,335063420,299472479,299254384,3874075
25,50000,3654185,3654325,4090232,4090976,267083209,334671922,298953280,298932908,3868943
26,50000,3656020,3656121,4088122,4092507,267358878,334625077,299224668,298904743,3854544
27,50000,3654792,3654423,4090264,4090728,267130907,334645334,299000387,298933392,3842462
28,50000,3655486,3656560,4089516,4090546,267361038,334573622,299048473,299060124,3826063
29,50000,3654998,3659406,4091569,4091724,267533055,334843322,299085479,299435913,3854985
30,50000,3654119,3657175,4091873,4091468,267312879,334862803,299001869,299281554,3892259
31,50000,3654718,3656970,4087387,4091904,267328846,334510249,299089074,298915974,3834047
32,50000,3655736,3656517,4090519,4092095,267369577,334775613,299190334,299121066,3833790
33,50000,3655289,3658702,4090899,4093075,267504475,334918109,299213403,299343614,3865567
34,50000,3654918,3656083,4089912,4090781,267290290,334626283,299029740,299035701,3851132
35,50000,3654688,3657471,4089571,4091073,267360031,334639555,299018635,299135136,3845815
36,50000,3657749,3657215,4091282,4090000,267561042,334682344,299196061,299242211,3805114
37,50000,3656243,3655448,4090409,4091605,267339676,334755353,299196854,299034912,3863263
38,50000,3654835,3656543,4089250,4091402,267320779,334639113,299064293,299033992,3861607
39,50000,3657617,3655549,4092615,4092075,267433613,334955970,299317284,299200821,3871478
