n,a,b,orientation,batch,samples,primal_pivotal,matching_pivotal,primal_axis,primal_diagonal,primal_both,primal_landed,primal_h4,matching_axis,matching_diagonal,matching_both,matching_landed,matching_h4
65,8,1,first,0,2000,132,118,67,24,14,77,43,66,23,15,74,43
65,7,4,second,0,2000,117,117,55,25,11,69,30,59,35,18,76,24
65,8,1,first,1,2000,134,137,58,28,13,73,30,75,33,17,91,42
65,7,4,second,1,2000,111,117,53,24,8,69,29,54,29,14,69,25
65,8,1,first,2,2000,123,150,66,29,15,80,37,85,30,14,101,55
65,7,4,second,2,2000,120,119,51,31,11,71,20,57,24,10,71,33
65,8,1,first,3,2000,138,135,68,25,10,83,43,63,25,11,77,38
65,7,4,second,3,2000,132,139,73,45,30,88,28,57,31,9,79,26
65,8,1,first,4,2000,135,139,68,33,17,84,35,78,32,20,90,46
65,7,4,second,4,2000,128,112,60,35,14,81,25,60,31,19,72,29
65,8,1,first,5,2000,136,125,65,22,6,81,43,70,20,12,78,50
65,7,4,second,5,2000,121,125,58,25,12,71,33,68,38,19,87,30
65,8,1,first,6,2000,127,140,59,27,14,72,32,72,28,17,83,44
65,7,4,second,6,2000,125,128,59,25,7,77,34,69,31,21,79,38
65,8,1,first,7,2000,131,118,70,30,15,85,40,59,30,10,79,29
65,7,4,second,7,2000,142,133,64,35,18,81,29,59,30,14,75,29
65,8,1,first,8,2000,132,111,71,25,13,83,46,62,21,9,74,41
65,7,4,second,8,2000,139,139,55,34,8,81,21,75,40,23,92,35
65,8,1,first,9,2000,131,129,71,29,15,85,42,68,34,21,81,34
65,7,4,second,9,2000,117,131,54,26,11,69,28,67,38,22,83,29
65,8,1,first,10,2000,135,141,68,33,19,82,35,82,31,17,96,51
65,7,4,second,10,2000,134,130,61,37,13,85,24,73,28,12,89,45
65,8,1,first,11,2000,129,104,61,19,6,74,42,53,22,11,64,31
65,7,4,second,11,2000,130,123,58,42,18,82,16,57,31,11,77,26
65,8,1,first,12,2000,150,111,85,31,16,100,54,51,22,8,65,29
65,7,4,second,12,2000,134,116,67,28,13,82,39,55,21,7,69,34
65,8,1,first,13,2000,118,127,60,20,4,76,40,65,26,15,76,39
65,7,4,second,13,2000,110,117,59,29,14,74,30,58,28,13,73,30
65,8,1,first,14,2000,140,125,71,33,15,89,38,63,24,10,77,39
65,7,4,second,14,2000,129,133,57,33,14,76,24,73,36,22,87,37
65,8,1,first,15,2000,132,135,62,28,9,81,34,73,31,15,89,42
65,7,4,second,15,2000,132,112,58,34,19,73,24,63,32,19,76,31
65,8,1,first,16,2000,126,149,61,23,8,76,38,78,33,16,95,45
65,7,4,second,16,2000,120,121,59,17,6,70,42,54,39,19,74,15
65,8,1,first,17,2000,133,124,63,27,14,76,36,62,20,9,73,42
65,7,4,second,17,2000,115,127,48,29,12,65,19,56,39,18,77,17
65,8,1,first,18,2000,124,121,66,22,12,76,44,67,26,12,81,41
65,7,4,second,18,2000,148,127,62,35,12,85,27,55,35,12,78,20
65,8,1,first,19,2000,127,127,63,24,13,74,39,68,38,27,79,30
65,7,4,second,19,2000,123,132,60,24,13,71,36,64,30,14,80,34
65,8,1,first,20,2000,147,122,66,24,11,79,42,58,35,18,75,23
65,7,4,second,20,2000,133,136,67,33,21,79,34,71,43,19,95,28
65,8,1,first,21,2000,137,118,61,37,23,75,24,56,26,11,71,30
65,7,4,second,21,2000,117,140,52,31,15,68,21,68,38,24,82,30
65,8,1,first,22,2000,130,113,70,25,16,79,45,67,22,15,74,45
65,7,4,second,22,2000,135,135,70,24,13,81,46,63,37,20,80,26
65,8,1,first,23,2000,116,143,59,25,16,68,34,78,30,15,93,48
65,7,4,second,23,2000,124,138,55,34,15,74,21,70,34,17,87,36
65,8,1,first,24,2000,111,122,50,25,10,65,25,62,26,11,77,36
65,7,4,second,24,2000,118,117,58,36,19,75,22,69,32,22,79,37
65,8,1,first,25,2000,137,141,68,31,12,87,37,75,29,15,89,46
65,7,4,second,25,2000,111,114,57,19,10,66,38,56,25,11,70,31
65,8,1,first,26,2000,121,123,58,25,12,71,33,63,28,15,76,35
65,7,4,second,26,2000,146,146,66,37,14,89,29,78,32,18,92,46
65,8,1,first,27,2000,139,114,71,31,15,87,40,63,26,15,74,37
65,7,4,second,27,2000,108,125,56,30,14,72,26,55,40,18,77,15
65,8,1,first,28,2000,115,124,44,16,3,57,28,58,29,10,77,29
65,7,4,second,28,2000,122,119,56,30,14,72,26,58,36,20,74,22
65,8,1,first,29,2000,112,107,61,22,9,74,39,51,23,11,63,28
65,7,4,second,29,2000,129,130,51,37,16,72,14,68,37,26,79,31
65,8,1,first,30,2000,124,116,55,21,11,65,34,59,33,19,73,26
65,7,4,second,30,2000,132,132,68,35,15,88,33,57,46,17,86,11
65,8,1,first,31,2000,120,136,64,23,9,78,41,66,33,18,81,33
65,7,4,second,31,2000,116,133,48,27,12,63,21,62,38,17,83,24
65,8,1,first,32,2000,107,143,48,17,6,59,31,74,31,19,86,43
65,7,4,second,32,2000,137,134,65,42,19,88,23,61,37,17,81,24
65,8,1,first,33,2000,129,127,67,35,20,82,32,66,29,14,81,37
65,7,4,second,33,2000,143,129,70,32,13,89,38,67,36,21,82,31
65,8,1,first,34,2000,128,126,74,28,14,88,46,66,31,16,81,35
65,7,4,second,34,2000,138,123,75,27,14,88,48,60,33,18,75,27
65,8,1,first,35,2000,131,125,61,37,13,85,24,72,31,19,84,41
65,7,4,second,35,2000,144,127,72,37,18,91,35,62,29,17,74,33
65,8,1,first,36,2000,118,145,59,24,12,71,35,71,47,26,92,24
65,7,4,second,36,2000,121,131,67,33,20,80,34,64,29,12,81,35
65,8,1,first,37,2000,126,141,72,25,12,85,47,69,38,19,88,31
65,7,4,second,37,2000,138,135,54,41,14,81,13,63,40,19,84,23
65,8,1,first,38,2000,125,123,66,27,13,80,39,63,29,13,79,34
65,7,4,second,38,2000,114,124,52,23,10,65,29,56,34,14,76,22
65,8,1,first,39,2000,120,110,62,17,8,71,45,67,24,12,79,43
65,7,4,second,39,2000,133,137,53,26,10,69,27,72,40,26,86,32
65,8,1,first,40,2000,126,126,57,17,7,67,40,63,24,9,78,39
65,7,4,second,40,2000,123,139,60,31,11,80,29,74,37,22,89,37
65,8,1,first,41,2000,132,135,67,22,10,79,45,66,23,14,75,43
65,7,4,second,41,2000,125,134,57,37,17,77,20,70,34,19,85,36
65,8,1,first,42,2000,129,130,68,24,13,79,44,75,34,22,87,41
65,7,4,second,42,2000,139,121,68,38,21,85,30,57,32,17,72,25
65,8,1,first,43,2000,123,121,64,16,6,74,48,57,30,14,73,27
65,7,4,second,43,2000,144,134,70,35,16,89,35,64,42,19,87,22
65,8,1,first,44,2000,157,118,84,35,18,101,49,70,26,16,80,44
65,7,4,second,44,2000,138,98,66,40,24,82,26,49,23,13,59,26
65,8,1,first,45,2000,132,135,66,27,13,80,39,78,38,21,95,40
65,7,4,second,45,2000,122,142,60,31,17,74,29,59,37,12,84,22
65,8,1,first,46,2000,125,120,62,32,16,78,30,66,25,14,77,41
