N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.039,20000,20,-1.1475863589203759e-187,-2.1987530415778822e-189,-1.169573889336155e-187,1.1255988285045971e-187,0.0,0.0,0.0,0.0
325,0.04,20000,20,-1.3990156822815999e-185,-2.690857507659659e-187,-1.425924257358196e-185,1.3721071072050032e-185,0.0,0.0,0.0,0.0
325,0.041,20000,20,-1.509572820491657e-183,-2.9147409554026596e-185,-1.5387202300456836e-183,1.4804254109376307e-183,0.0,0.0,0.0,0.0
325,0.042,20000,20,-1.450212735242952e-181,-2.810969457619432e-183,-1.4783224298191465e-181,1.422103040666758e-181,0.0,0.0,0.0,0.0
325,0.043000000000000003,20000,20,-1.247174517946287e-179,-2.426782756564948e-181,-1.271442345511936e-179,1.2229066903806376e-179,0.0,0.0,0.0,0.0
325,0.044,20000,20,-9.650475483319075e-178,-1.885091298914223e-179,-9.838984613210499e-178,9.461966353427654e-178,0.0,0.0,0.0,0.0
325,0.045,20000,20,-6.750801983500009e-176,-1.32379215060884e-177,-6.88318119856089e-176,6.618422768439124e-176,0.0,0.0,0.0,0.0
325,0.046,20000,20,-4.288156279607672e-174,-8.441440145398501e-176,-4.372570681061658e-174,4.203741878153688e-174,0.0,0.0,0.0,0.0
325,0.047,20000,20,-2.4836689165592608e-172,-4.908196126363442e-174,-2.5327508778228953e-172,2.4345869552956268e-172,0.0,0.0,0.0,0.0
325,0.048,20000,20,-1.3167710863884332e-170,-2.612290758656388e-172,-1.342893993974997e-170,1.2906481788018692e-170,0.0,0.0,0.0,0.0
325,0.049,20000,20,-6.413597113408903e-169,-1.2773111337845719e-170,-6.541328226787361e-169,6.285866000030447e-169,0.0,0.0,0.0,0.0
325,0.05,20000,20,-2.879740499361323e-167,-5.757486590641362e-169,-2.9373153652677364e-167,2.822165633454909e-167,0.0,0.0,0.0,0.0
325,0.051000000000000004,20000,20,-1.195810948234853e-165,-2.400089497084803e-167,-1.2198118432057015e-165,1.1718100532640054e-165,0.0,0.0,0.0,0.0
325,0.052000000000000005,20000,20,-4.60622328160001e-164,-9.281026293320519e-166,-4.699033544533215e-164,4.513413018666804e-164,0.0,0.0,0.0,0.0
325,0.053,20000,20,-1.6505980543234464e-162,-3.3387140984664914e-164,-1.6839851953081113e-162,1.6172109133387818e-162,4.970239661431059e-163,0.0,4.970239661431059e-163,4.970239661431059e-163
325,0.054,20000,20,-5.517248739816803e-161,-1.1203355961922268e-162,-5.629282299436027e-161,5.405215180197581e-161,1.639425848697153e-161,1.1113793747425387e-162,1.6964469891585946e-161,1.5873672523365086e-161
325,0.055,20000,20,-1.7246271890845254e-159,-3.5156793268040985e-161,-1.7597839823525668e-159,1.6894703958164847e-159,5.1183020292296597e-160,3.405248993523683e-161,5.2981449270919737e-160,4.955358853527975e-160
325,0.056,20000,20,-5.05366013811902e-158,-1.034211364456681e-159,-5.157081274564688e-158,4.950239001673352e-158,1.498136557691374e-158,9.974866092331759e-160,1.5508307383067458e-158,1.4503964648633116e-158
325,0.057,20000,20,-1.39138108074264e-156,-2.8585079854550873e-158,-1.4199661605971907e-156,1.3627960008880893e-156,4.120074908521171e-157,2.7454770525183273e-158,4.2651388444136206e-157,3.988656167983673e-157
325,0.058,20000,20,-3.607071991718585e-155,-7.439418114024417e-157,-3.6814661728588294e-155,3.5326778105783405e-155,1.0669066647951521e-155,7.115406257956159e-157,1.1045099316273329e-155,1.0328423282129606e-155
325,0.059000000000000004,20000,20,-8.82314450223386e-154,-1.8268344567011427e-155,-9.005827947903975e-154,8.640461056563745e-154,2.606793061427718e-154,1.7399788361120067e-155,2.698764340241667e-154,2.523482057209383e-154
325,0.06,20000,20,-2.040319138303633e-152,-4.2409813047205e-154,-2.0827289513508373e-152,1.997909325256428e-152,6.021320683558545e-153,4.022507676846377e-154,6.233980613846828e-153,5.828696476476329e-153
325,0.061,20000,20,-4.468720933222779e-151,-9.324912231783531e-153,-4.561970055540614e-151,4.3754718109049445e-151,1.3173049321517732e-151,8.807704682560858e-153,1.3638775009254604e-151,1.275122685613873e-151
325,0.062,20000,20,-9.286323981546178e-150,-1.945357525632481e-151,-9.480859734109434e-150,9.091788228982935e-150,2.7343574044353286e-150,1.8298125698051864e-151,2.8311296565245073e-150,2.6467130519080443e-150
325,0.063,20000,20,-1.834037488198549e-148,-3.85708052817199e-150,-1.8726082934802687e-148,1.7954666829168294e-148,5.394198878488149e-149,3.612907042989359e-150,5.58530559365183e-149,5.221128848526226e-149
325,0.064,20000,20,-3.4480238590402636e-147,-7.2797503122410494e-149,-3.5208213621626743e-147,3.3752263559178534e-147,1.012966851006667e-147,6.7905849954922605e-149,1.0488920669940689e-147,9.804343543500688e-148
