batch,replica_first,samples,z1_re,z1_im,z2_re,z2_im
0,0,50000,0.0019822466271218753,-0.0032255057743845461,0.0001622466271218731,0.00051572396996268921
1,50000,50000,-0.0025977533728781255,-0.0047150694688931627,0.0003422466271218727,0.0022131337613794655
2,100000,50000,-0.0032977533728781316,-0.0035026339035954535,0.00055224662712187456,0.0053827867392292061
3,150000,50000,0.00044224662712187557,0.0015549544545035709,-0.0016277533728781268,0.00032519838113018174
4,200000,50000,0.00038224662712187107,-0.0010084807406972873,0.00012224662712187473,0.0023170568098335731
5,250000,50000,0.0014222466271218703,-0.0028444545967195312,0.0022122466271218694,0.0033736078024501348
6,300000,50000,0.0020422466271218659,-0.0016320190314218219,-0.0002577533728781306,0.0023170568098335731
7,350000,50000,0.0010122466271218766,-0.00040226295804843271,-0.0017377533728781258,0.0030098771328608276
8,400000,50000,0.0036722466271218723,-0.0032428262824602261,0.00032224662712186658,0.0013817493737467712
9,450000,50000,0.0037822466271218713,-0.0014241729345136622,-0.0029177533728781263,-0.00052350651457822028
10,500000,50000,0.0040722466271218699,-0.0028271340886438512,-0.0004977533728781347,3.0749743843594413e-05
11,550000,50000,-0.00020775337287812223,-0.00022905787729163296,-0.0033577533728781223,3.0749743843594413e-05
12,600000,50000,0.0018522466271218702,-0.0020303907171625168,0.0008122466271218709,0.0016415569948819708
13,650000,50000,0.0015522466271218754,-0.0017186215718002495,-0.0020177533728781283,0.0036680564397367221
14,700000,50000,-0.00075775337287813105,-0.00055814753072958023,0.0003422466271218727,-0.0013548909022109423
15,750000,50000,0.00080224662712187478,-0.0021862752898436366,-0.001307753372878126,-0.0022035957979193166
16,800000,50000,-0.0010277533728781235,-0.00067939108725934005,0.00099224662712187051,0.0036160949155096822
17,850000,50000,0.00019224662712187535,-0.0023768008786761441,-0.0033877533728781245,0.0016415569948819708
18,900000,50000,-0.0024677533728781342,-0.0019264676687084092,0.0031622466271218758,0.0022824157936822131
19,950000,50000,0.0018222466271218679,-0.0030869417097790786,-0.0035877533728781302,0.00060232651034108908
20,1000000,50000,0.00050224662712186618,-0.0014934549668163821,0.0012622466271218769,0.0021438517290767456
21,1050000,50000,0.0031022466271218713,-0.00052350651457822028,-0.0019777533728781299,0.0016935185191090385
22,1100000,50000,-0.00065775337287812818,0.0010006981960817563,-0.00082775337287813167,0.0010526597203087962
23,1150000,50000,0.00013224662712187085,-0.0021689547817679566,0.0027122466271218698,0.0025075823986660528
24,1200000,50000,0.0013922466271218681,-0.0039010055893361206,-0.0012277533728781292,0.00018663431652474194
25,1250000,50000,1.2246627121875742e-05,-0.0026885700240384114,0.0014622466271218687,0.0027327490036499202
26,1300000,50000,-0.00046775337287813246,-0.0016146985233461419,-0.0018177533728781226,0.0049497740373371651
