k,count,sum_q,sum_e,sum_c,sum_f4,sum_qc,sum_ec,sum_qf4,sum_ef4
0,1,-1,1,1,0,-1,1,0,0
1,25,-25,25,50,0,-50,50,0,0
2,300,-300,300,850,0,-850,850,0,0
3,2300,-2300,2300,8050,0,-8050,8050,0,0
4,12650,-12650,12650,50625,25,-50625,50625,-25,25
5,53130,-53120,53120,230765,525,-230745,230745,-525,525
6,177100,-176900,176900,802400,5250,-801900,801900,-5250,5250
7,480700,-478700,478700,2198400,33250,-2192750,2192750,-33150,33150
8,1081575,-1068575,1068575,4849500,149625,-4810100,4810100,-147725,147725
9,2042975,-1982325,1982375,8742075,508725,-8552025,8552125,-491275,491275
10,3268760,-3054280,3055480,13017860,1356600,-12345930,12348530,-1254850,1255050
11,4457400,-3863250,3876050,16160050,2907000,-14354500,14383700,-2484750,2489750
12,5200300,-3890950,3971200,16898550,5087250,-13126750,13315100,-3765000,3820200
13,5200300,-2905150,3229550,15104350,7348250,-8904900,9673050,-4143200,4491950
14,4457400,-1290250,2155950,11761950,8817900,-3698300,5751500,-2783650,4168250
15,3268760,128000,1407700,8124440,8817900,220800,3447500,-59050,3594550
16,2042975,765475,1048625,5019425,7348250,1897275,2560825,2367250,3495350
17,1081575,709225,741025,2755050,5087250,1847800,1916100,3117600,3289700
18,480700,406900,408000,1311650,2907000,1132550,1134750,2387300,2394800
19,177100,168100,168100,521550,1356600,500600,500600,1273800,1273800
20,53130,52610,52610,165775,508725,164735,164735,502575,502575
21,12650,12650,12650,40175,149625,40175,40175,149625,149625
22,2300,2300,2300,7000,33250,7000,7000,33250,33250
23,300,300,300,800,5250,800,800,5250,5250
24,25,25,25,50,525,50,50,525,525
25,1,1,1,1,25,1,1,25,25
