k,count,sum_q,sum_e,sum_c,sum_f4,sum_qc,sum_ec,sum_qf4,sum_ef4
0,1,-1,1,1,0,-1,1,0,0
1,25,-25,25,50,0,-50,50,0,0
2,300,-300,300,850,0,-850,850,0,0
3,2300,-2300,2300,8050,0,-8050,8050,0,0
4,12650,-12650,12650,50625,25,-50625,50625,-25,25
5,53130,-53130,53130,230755,525,-230755,230755,-525,525
6,177100,-177100,177100,802200,5250,-802200,802200,-5250,5250
7,480700,-480450,480450,2196650,33250,-2196150,2196150,-33250,33250
8,1081575,-1077525,1077525,4840550,149625,-4830450,4830450,-149125,149125
9,2042975,-2012075,2012075,8712325,508725,-8625825,8625825,-500275,500275
10,3268760,-3121160,3121560,12950960,1356600,-12518210,12519010,-1289150,1289150
11,4457400,-3964900,3973700,16058100,2907000,-14616800,14635400,-2568350,2570250
12,5200300,-3991100,4063200,16796300,5087250,-13377900,13541200,-3896500,3937100
13,5200300,-2960450,3280550,15040700,7348250,-9035300,9786450,-4271200,4592250
14,4457400,-1296800,2174500,11738200,8817900,-3706700,5787500,-2849500,4214400
15,3268760,136400,1415400,8119520,8817900,249800,3469000,-69700,3609900
16,2042975,763325,1046175,5024625,7348250,1901425,2567375,2351150,3488350
17,1081575,698675,731675,2765900,5087250,1829150,1902100,3068650,3250700
18,480700,398500,400100,1320050,2907000,1116350,1119550,2335300,2346900
19,177100,164850,164850,524800,1356600,494700,494700,1246850,1246850
20,53130,51980,51980,166405,508725,163755,163755,495725,495725
21,12650,12600,12600,40225,149625,40125,40125,148925,148925
22,2300,2300,2300,7000,33250,7000,7000,33250,33250
23,300,300,300,800,5250,800,800,5250,5250
24,25,25,25,50,525,50,50,525,525
25,1,1,1,1,25,1,1,25,25
