parent_N,child_N,parent_delta_M,parent_se,child_lineage_delta_M,child_se,ratio,ratio_se_delta_method,target_ratio,fixed_prediction_residual,residual_se,residual_z,parent_child_batch_correlation
65,130,0.00108608,7.486348475388352e-05,-0.00034083000000000003,9.207195589111899e-05,-0.3138166617560401,0.09077115540985811,-0.3242098886627524,1.128787587884214e-05,9.888861927823044e-05,0.11414737066034734,0.1594401578151383
85,170,0.00091757,8.086938746703186e-05,-0.00031285,9.918457070359566e-05,-0.34095491352158414,0.11182104560067174,-0.3242098886627524,-1.5364732459718265e-05,0.00010226494137506553,-0.15024437752686698,-0.01285888589849673
