n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
170,13,1000000,0.59274605078999998,either,13,1,11,7,688764,689230,688431,689335
170,13,1000000,0.59274605078999998,direction_0,13,1,11,7,519637,520103,518934,519838
170,13,1000000,0.59274605078999998,direction_1,13,1,11,7,520087,520553,519909,520813
170,14,1000000,0.59274605078999998,cross,13,1,11,7,311821,310852,310838,311688
170,14,1000000,0.59274605078999998,both,13,1,11,7,351669,350700,350820,351670
170,14,1000000,0.59274605078999998,either,13,1,11,7,689148,688179,688312,689162
170,14,1000000,0.59274605078999998,direction_0,13,1,11,7,520170,519201,519335,520185
170,14,1000000,0.59274605078999998,direction_1,13,1,11,7,520647,519678,519797,520647
170,15,1000000,0.59274605078999998,cross,13,1,11,7,311428,311272,310872,311420
170,15,1000000,0.59274605078999998,both,13,1,11,7,351182,351026,351024,351572
170,15,1000000,0.59274605078999998,either,13,1,11,7,688728,688572,688580,689128
170,15,1000000,0.59274605078999998,direction_0,13,1,11,7,519770,519614,519618,520166
170,15,1000000,0.59274605078999998,direction_1,13,1,11,7,520140,519984,519986,520534
170,16,1000000,0.59274605078999998,cross,13,1,11,7,311802,310582,311886,310707
170,16,1000000,0.59274605078999998,both,13,1,11,7,351877,350657,352075,350896
170,16,1000000,0.59274605078999998,either,13,1,11,7,689418,688198,689293,688114
170,16,1000000,0.59274605078999998,direction_0,13,1,11,7,520057,518837,520636,519457
170,16,1000000,0.59274605078999998,direction_1,13,1,11,7,521238,520018,520732,519553
170,17,1000000,0.59274605078999998,cross,13,1,11,7,311810,310500,311513,310616
170,17,1000000,0.59274605078999998,both,13,1,11,7,351951,350641,351161,350264
170,17,1000000,0.59274605078999998,either,13,1,11,7,689500,688190,689384,688487
170,17,1000000,0.59274605078999998,direction_0,13,1,11,7,521200,519890,520514,519617
170,17,1000000,0.59274605078999998,direction_1,13,1,11,7,520251,518941,520031,519134
170,18,1000000,0.59274605078999998,cross,13,1,11,7,310420,310873,310940,311367
170,18,1000000,0.59274605078999998,both,13,1,11,7,350500,350953,351248,351675
170,18,1000000,0.59274605078999998,either,13,1,11,7,689127,689580,688633,689060
170,18,1000000,0.59274605078999998,direction_0,13,1,11,7,519589,520042,519602,520029
170,18,1000000,0.59274605078999998,direction_1,13,1,11,7,520038,520491,520279,520706
170,19,1000000,0.59274605078999998,cross,13,1,11,7,310780,311432,311396,311149
170,19,1000000,0.59274605078999998,both,13,1,11,7,350898,351550,351246,350999
170,19,1000000,0.59274605078999998,either,13,1,11,7,688568,689220,688851,688604
170,19,1000000,0.59274605078999998,direction_0,13,1,11,7,519077,519729,519851,519604
170,19,1000000,0.59274605078999998,direction_1,13,1,11,7,520389,521041,520246,519999
170,20,1000000,0.59274605078999998,cross,13,1,11,7,310618,311231,311205,312201
170,20,1000000,0.59274605078999998,both,13,1,11,7,351057,351670,350962,351958
170,20,1000000,0.59274605078999998,either,13,1,11,7,688769,689382,687799,688795
170,20,1000000,0.59274605078999998,direction_0,13,1,11,7,519773,520386,519214,520210
170,20,1000000,0.59274605078999998,direction_1,13,1,11,7,520053,520666,519547,520543
170,21,1000000,0.59274605078999998,cross,13,1,11,7,311149,310795,311902,310801
170,21,1000000,0.59274605078999998,both,13,1,11,7,351074,350720,351883,350782
170,21,1000000,0.59274605078999998,either,13,1,11,7,689205,688851,689199,688098
170,21,1000000,0.59274605078999998,direction_0,13,1,11,7,520240,519886,520381,519280
170,21,1000000,0.59274605078999998,direction_1,13,1,11,7,520039,519685,520701,519600
170,22,1000000,0.59274605078999998,cross,13,1,11,7,310682,310692,311650,311122
170,22,1000000,0.59274605078999998,both,13,1,11,7,350733,350743,351491,350963
170,22,1000000,0.59274605078999998,either,13,1,11,7,689308,689318,688878,688350
170,22,1000000,0.59274605078999998,direction_0,13,1,11,7,519701,519711,520172,519644
170,22,1000000,0.59274605078999998,direction_1,13,1,11,7,520340,520350,520197,519669
170,23,1000000,0.59274605078999998,cross,13,1,11,7,310014,311212,310327,311289
170,23,1000000,0.59274605078999998,both,13,1,11,7,350044,351242,350365,351327
170,23,1000000,0.59274605078999998,either,13,1,11,7,688788,689986,688711,689673
170,23,1000000,0.59274605078999998,direction_0,13,1,11,7,519724,520922,519526,520488
170,23,1000000,0.59274605078999998,direction_1,13,1,11,7,519108,520306,519550,520512
170,24,1000000,0.59274605078999998,cross,13,1,11,7,310793,311259,310938,311563
170,24,1000000,0.59274605078999998,both,13,1,11,7,351142,351608,351086,351711
170,24,1000000,0.59274605078999998,either,13,1,11,7,688741,689207,688437,689062
170,24,1000000,0.59274605078999998,direction_0,13,1,11,7,519677,520143,519915,520540
170,24,1000000,0.59274605078999998,direction_1,13,1,11,7,520206,520672,519608,520233
170,25,1000000,0.59274605078999998,cross,13,1,11,7,311011,311113,310992,310776
170,25,1000000,0.59274605078999998,both,13,1,11,7,350910,351012,351033,350817
170,25,1000000,0.59274605078999998,either,13,1,11,7,688887,688989,689224,689008
170,25,1000000,0.59274605078999998,direction_0,13,1,11,7,519969,520071,519990,519774
170,25,1000000,0.59274605078999998,direction_1,13,1,11,7,519828,519930,520267,520051
170,26,1000000,0.59274605078999998,cross,13,1,11,7,311101,311241,311187,311141
170,26,1000000,0.59274605078999998,both,13,1,11,7,350989,351129,351279,351233
170,26,1000000,0.59274605078999998,either,13,1,11,7,688759,688899,688859,688813
170,26,1000000,0.59274605078999998,direction_0,13,1,11,7,519576,519716,519982,519936
170,26,1000000,0.59274605078999998,direction_1,13,1,11,7,520172,520312,520156,520110
170,27,1000000,0.59274605078999998,cross,13,1,11,7,312115,310360,310552,311525
170,27,1000000,0.59274605078999998,both,13,1,11,7,352114,350359,350767,351740
170,27,1000000,0.59274605078999998,either,13,1,11,7,689640,687885,688475,689448
