batch,replica_first,samples,common_field_sha256,omega_over_2_re,omega_over_2_im,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid
0,17002000000,20000,2023cf42d3236a0403690b29b3ed685f47411e80d4b61907f1f450bccbcd9580,-4361.266072224132,-7839.886152639614,5102,9803,5095,0
1,17002020000,20000,a3a3ca3c63beded3a711407d990081c11409fc02c4d01d6aa0d9e80659ff4c97,-4311.1194600970875,-7773.029818073267,5157,9713,5130,0
2,17002040000,20000,f1a51834a0561ee5c03aac5ec12baa36e958ff911f78b278329d8bf036d297ef,-4274.7671451559,-7772.65673253719,5172,9682,5146,0
3,17002060000,20000,852bc28d8f9db92ec9f9663e818cd7c02efda8699a4298efb4ca23918991a248,-4358.02831886045,-7888.108216354452,5178,9730,5092,0
4,17002080000,20000,6f1ebf25788903508f3e65a93bdaf83a6e5a644fd10c4540e7a864959080e3fc,-4328.667123924363,-7838.709663927652,5132,9771,5097,0
5,17002100000,20000,b85d56682fb73daf10e1ad031cf7a3ddad6ba570baa1c2862e6aa58d3cbcb125,-4357.560854728631,-7860.040714525643,5199,9740,5061,0
6,17002120000,20000,d09ffae3c226e2e06d0263dfe59e0ca7b23b57395e2e3723fb91ff13c6e26204,-4330.319169052873,-7736.7871089946275,5156,9676,5168,0
7,17002140000,20000,e3c8ac049993ea08e773189481a6125a00fd586d8fd8b4ba5f7707e5197e9dc1,-4363.570790582032,-7869.203972741159,5088,9739,5173,0
8,17002160000,20000,a2911a51a1f07b309c83944b32a138aa2e405299e9ff779928596745b860571a,-4284.094862657805,-7812.700627306688,5082,9760,5158,0
9,17002180000,20000,0ab5865cef438144a7d62729e53213253fe44de1b9c20ced4d1ffbc639f0cf55,-4256.455444114014,-7740.723854107159,5151,9625,5224,0
10,17002200000,20000,8911848f6306a227286fbcca6e07009e513719cbdbbcd24e8f11aa2b36061576,-4293.942416258997,-7816.082939702547,5150,9713,5137,0
11,17002220000,20000,3f205cb0e6ebadf75fb29b89cc42f03eabdd411ce608834c702dc6b77481b880,-4340.898739834635,-7843.241359861238,5069,9796,5135,0
12,17002240000,20000,04129c66d346a0a37c4b94c6aabf1d5ddf82ba8f67b29f194c8a44621227c4cc,-4361.177876228745,-7836.51520689368,5125,9785,5090,0
13,17002260000,20000,400e9a526cd577d79c9465ecd596f6eae11a052eb73cac8394234a92175a4886,-4322.107556485305,-7741.601407543025,5088,9666,5246,0
14,17002280000,20000,a58cae42a0ee6423b146ce4d811dbafe8e3002cad6db29f8a17a633d7d7684ed,-4265.747091156839,-7765.66653013937,5113,9716,5171,0
15,17002300000,20000,8b0009ae5b0f01092f626cac4c8a61f9bd325ad83cd738ad4e46befea367ab92,-4247.401204060806,-7722.407977850862,5132,9683,5185,0
16,17002320000,20000,9d1b7ab7529447302ce34aa3b6f56f354c8781cb3314951a08b053af9faae9ed,-4295.726248408095,-7751.290360631561,5144,9660,5196,0
17,17002340000,20000,fa694293b51d686e093ff1c3fcf69aa936239b4611107b7e8048b9e7f7395311,-4281.844711453128,-7760.983422076381,5172,9638,5190,0
18,17002360000,20000,d3c2be3bcf2876809e76d774a0444611b1698904e288a5216f886f4a7be7e60f,-4289.160382443804,-7722.561037287146,5227,9614,5159,0
19,17002380000,20000,6917600eabec07df5f4766471c2126a61a456710010bf1f59e685c10d3cb052b,-4252.224164235305,-7712.295011153323,5265,9666,5069,0
20,17002400000,20000,fd6c6a633732682d686c7428006874f962ad8d7783d17233568468f96206341b,-4306.716897369205,-7786.044925836066,5073,9733,5194,0
21,17002420000,20000,662117d354a34014dbcb104916ed9d5982e13f09f7fdf54b9625e177e5aef1fd,-4333.150820294409,-7888.139954681512,5155,9759,5086,0
22,17002440000,20000,20565334273d64399f77bc4dae4ef0965da3c0cecabe602ebe5a0de0ca10dae7,-4267.084115677475,-7728.13730255351,5119,9662,5219,0
23,17002460000,20000,77b53f05aa6690083ba5d343d0d5a0fb4de210594a0c8e82346b80634b1e48c6,-4308.029924852594,-7806.988031300466,5139,9763,5098,0
24,17002480000,20000,8b76d7c2a1508351f1907a52b19c03837e66ce144e8ba00e3aae4155a8231f03,-4237.9616779593935,-7696.739088233607,5205,9600,5195,0
25,17002500000,20000,1b7ece760fe4a3eb6fcf578e0147838a2fae461fc0db7f1d19e62d4aff45bf7e,-4295.21667497427,-7783.913738361148,5166,9731,5103,0
26,17002520000,20000,bf8c2c6e7446c894a335c0b0b8f35ae6ea132812dee1bbd2cb0658429d33d547,-4377.288699783748,-7865.5801552746925,5003,9789,5208,0
27,17002540000,20000,1f4c5a60dd3ffe939dc14105a6ff87461f83bb98e72e7ed1b82fe5fa834cf3cf,-4371.836716059504,-7823.897478238376,5172,9816,5012,0
28,17002560000,20000,c540b2897494ff5e659a209d22e9ccb65ea376248a5d97e3777ed9b3645a932a,-4297.7887175496535,-7771.686409373717,5079,9794,5127,0
29,17002580000,20000,8645f488079ac537e1a38848a73bf6cd930bc100c4c185341fc04536c688ca52,-4369.128394353913,-7855.139326576857,5129,9749,5122,0
30,17002600000,20000,8f6e493b7eff90a641d9aa2b01af738b1f347077ce9d7ba64ef389b79d957561,-4309.164355245332,-7799.027283947072,5150,9702,5148,0
