n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges,sum_q,sum_e,sum_s,sum_chi,sum_cb,sum_cw,sum_faces,sum_i0s,sum_i2s,sum_q_q,sum_q_e,sum_q_k,sum_q_kk,sum_q_edges,sum_q_s,sum_q_chi,sum_q_cb,sum_q_cw,sum_e_e,sum_e_k,sum_e_kk,sum_e_edges,sum_e_s,sum_e_chi,sum_e_cb,sum_e_cw,sum_k_k,sum_k_kk,sum_k_edges,sum_k_s,sum_k_chi,sum_k_cb,sum_k_cw,sum_kk_kk,sum_kk_edges,sum_kk_s,sum_kk_chi,sum_kk_cb,sum_kk_cw,sum_edges_edges,sum_edges_s,sum_edges_chi,sum_edges_cb,sum_edges_cw,sum_s_s,sum_s_chi,sum_s_cb,sum_s_cw,sum_chi_chi,sum_chi_cb,sum_chi_cw,sum_cb_cb,sum_cb_cw,sum_cw_cw
130,11,3,first,5,200,14693,16406,68,69,63,15432,1181188,18333,4996,5149,363260,416830,5541,6546,-5,131,1418,371,892,526,3272,535,408,131,-5,153,53570,1005,-127,-446,-221,94,131,10145,780090,12087,943,244,591,352,1196620,92045786,1428818,108806,25437,67198,41608,7115538488,110468646,8284566,1701252,5019694,3264872,1717735,128174,25425,77302,50872,10946,3317,7068,3878,3611,3241,76,5044,2024,1854
130,9,7,second,5,200,14656,16351,58,80,62,15432,1181188,18305,4262,5021,309938,402988,4724,6314,4,120,1433,397,917,516,3270,455,402,120,4,759,93050,1590,-53,-369,-151,98,120,9283,712926,11038,857,213,537,320,1196620,92045786,1426713,109936,27479,69087,40849,7115538488,110312366,8369760,1859462,5161136,3208624,1712925,129089,27801,79240,49849,11243,3596,7393,3850,3597,3412,184,5327,2066,1784
130,11,3,first,6,200,14718,16501,64,70,66,15502,1192396,18570,4702,5376,342154,433892,5294,6774,2,130,1406,290,849,557,3358,479,446,130,2,674,91738,1480,-33,-413,-158,125,130,10078,776046,12068,925,197,562,363,1207898,93397256,1454074,108561,19391,64313,44248,7259358920,112985976,8323438,1254608,4834892,3488546,1761828,129053,18651,74592,54461,10844,2713,6762,4082,3328,2814,-101,4709,2053,2029
130,9,7,second,6,200,14701,16354,64,74,62,15502,1192396,18600,4701,5066,341816,410474,5305,6410,-2,126,1422,220,820,602,3318,474,436,126,-2,365,68658,1105,-38,-446,-179,141,126,9767,752290,11715,910,118,513,397,1207898,93397256,1456457,109821,13504,61845,47976,7259358920,113171250,8422812,764834,4628152,3794660,1767346,130791,11320,71608,59183,11152,2090,6602,4550,3646,2645,-555,4534,2068,2482
130,11,3,first,7,200,14812,16524,71,78,51,15367,1172434,18083,5132,4195,367272,341508,5638,5289,-20,122,1483,403,933,550,3119,558,346,122,-20,-937,-25764,-349,-212,-472,-281,69,122,9327,708780,10927,904,254,569,335,1187801,91156046,1405821,113205,27238,69753,43452,7035795212,108499578,8585094,1797266,5178298,3406796,1676213,131910,26817,79189,52721,11861,3715,7682,4179,3975,3609,106,5505,2177,2002
130,9,7,second,7,200,14569,16262,56,76,68,15367,1172434,18144,4033,5541,287716,447114,4381,7005,12,124,1451,355,909,542,3132,462,457,124,12,1508,159398,2624,-5,-403,-142,137,124,9574,734830,11386,919,213,572,347,1187801,91156046,1410621,110705,23867,68040,42665,7035795212,108875478,8390124,1563434,5056478,3333646,1687726,129401,23315,77670,51731,11397,3388,7390,4007,3523,3254,134,5251,2139,1868
130,11,3,first,8,200,14595,16424,72,85,43,15168,1141320,17655,5217,3456,374428,275088,5739,4289,-29,115,1418,489,939,479,2976,570,279,115,-29,-1761,-99340,-1450,-291,-430,-303,12,115,8673,649516,10028,849,310,565,284,1156488,87484338,1353249,106509,33972,69360,37149,6653050968,102911242,7938744,2321720,5080562,2858182,1594647,122428,35324,78151,44277,10974,4277,7480,3494,3771,3809,468,5493,1987,1507
130,9,7,second,8,200,14741,16474,76,71,53,15168,1141320,17646,5472,4267,390056,340096,5952,5299,-23,129,1445,484,953,492,2962,615,339,129,-23,-1205,-49960,-653,-276,-493,-320,44,129,9739,730152,11251,954,353,642,312,1156488,87484338,1352730,108506,33467,70384,38122,6653050968,102885624,8086210,2272010,5154130,2932080,1594240,124409,33946,78851,45558,11657,4627,8004,3653,4190,4162,465,5923,2081,1572
130,11,3,first,9,200,14871,16521,71,73,56,15403,1177398,18245,5157,4588,371068,372422,5701,5824,-15,127,1409,374,884,525,3216,547,363,127,-15,-569,1354,123,-184,-491,-274,90,127,9745,743490,11525,910,265,580,330,1192801,91675140,1420694,107767,25058,66128,41639,7084004820,109787518,8186372,1630042,4908884,3277488,1705149,126052,24005,75090,50962,11057,3535,7204,3853,4208,3626,-91,5278,1926,1927
130,9,7,second,9,200,14823,16375,68,73,59,15403,1177398,18257,4953,4809,357272,388308,5495,6062,-9,127,1453,356,900,553,3210,534,408,127,-9,-144,31036,567,-126,-431,-215,89,127,9762,745580,11557,942,217,575,367,1192801,91675140,1421396,111132,23832,67410,43722,7084004820,109823322,8443156,1549500,5011846,3431310,1705327,130318,23269,77077,53241,11549,3353,7388,4161,3748,3335,18,5254,2134,2027
130,11,3,first,10,200,14534,16454,57,82,61,15496,1191250,18455,4229,4964,310646,399872,4763,6256,4,118,1402,268,837,565,3227,411,425,118,4,735,89226,1493,14,-390,-129,143,118,9193,710518,11019,836,138,489,347,1206746,93230402,1443936,108244,17681,63330,44914,7237804556,112069752,8293834,1123452,4753256,3540578,1738149,128071,16638,73101,54970,10754,2272,6520,4234,3204,2543,-271,4467,2053,2181
130,9,7,second,10,200,14842,16542,71,65,64,15496,1191250,18549,5220,5177,380438,414436,5832,6497,-7,135,1423,302,859,564,3355,555,431,135,-7,-43,33998,665,-124,-469,-229,105,135,10397,794874,12329,986,255,617,369,1206746,93230402,1451850,109505,20084,64773,44732,7237804556,112722934,8365234,1294812,4847022,3518212,1758791,129643,19144,74726,54917,11109,2913,6949,4160,3560,3002,-89,4861,2088,2072
130,11,3,first,11,200,14593,16419,62,72,66,15482,1189476,18377,4502,5395,323568,437174,4948,6806,4,128,1433,315,876,557,3210,463,473,128,4,893,113606,1858,10,-432,-147,157,128,9897,760742,11754,936,206,573,363,1204958,93080856,1438288,110564,20727,66092,44472,7229648376,111727880,8473860,1308206,4947836,3526024,1729755,130168,19134,75580,54588,11397,2801,7104,4293,3653,3011,-210,4984,2120,2173
