n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges,sum_q,sum_e,sum_s,sum_chi,sum_cb,sum_cw,sum_faces,sum_i0s,sum_i2s,sum_q_q,sum_q_e,sum_q_k,sum_q_kk,sum_q_edges,sum_q_s,sum_q_chi,sum_q_cb,sum_q_cw,sum_e_e,sum_e_k,sum_e_kk,sum_e_edges,sum_e_s,sum_e_chi,sum_e_cb,sum_e_cw,sum_k_k,sum_k_kk,sum_k_edges,sum_k_s,sum_k_chi,sum_k_cb,sum_k_cw,sum_kk_kk,sum_kk_edges,sum_kk_s,sum_kk_chi,sum_kk_cb,sum_kk_cw,sum_edges_edges,sum_edges_s,sum_edges_chi,sum_edges_cb,sum_edges_cw,sum_s_s,sum_s_chi,sum_s_cb,sum_s_cw,sum_chi_chi,sum_chi_cb,sum_chi_cw,sum_cb_cb,sum_cb_cw,sum_cw_cw
65,8,1,first,0,200,7156,8227,59,81,60,7641,287174,8969,2079,2503,71704,102374,2190,3244,1,119,938,205,572,366,1533,299,258,119,1,424,30670,1054,-41,-322,-122,81,119,4582,174078,5434,557,110,334,223,294815,11190742,349737,35375,6125,20962,14413,429043156,13417116,1313834,165496,755000,558834,420771,40802,4660,23258,17544,4910,1429,3149,1761,1839,1473,-44,2250,899,862
65,7,4,second,0,200,7216,8294,64,76,60,7641,287174,9025,2266,2478,78566,100448,2425,3195,-4,124,855,207,529,326,1591,305,251,124,-4,212,21882,770,-54,-288,-109,55,124,4744,179014,5620,556,138,345,211,294815,11190742,351796,32380,6418,19505,12875,429043156,13491514,1208706,185036,707812,500894,425343,37716,5408,21947,15769,4147,1237,2665,1482,1503,1226,11,1891,774,708
65,8,1,first,1,200,7249,8395,64,75,61,7692,291156,9133,2277,2537,79436,103620,2423,3304,-3,125,855,168,510,345,1609,309,243,125,-3,260,24184,881,-66,-341,-141,75,125,4814,183056,5727,552,101,325,227,298848,11426490,358396,32651,4839,18875,13776,441308448,13841296,1229314,120726,687112,542202,435499,38270,3335,21243,17027,4101,1011,2523,1578,1630,1150,-139,1766,757,821
65,7,4,second,1,200,7166,8368,57,88,55,7692,291156,9145,2010,2291,69418,93834,2129,2974,-2,112,880,166,522,358,1619,267,233,112,-2,281,24416,845,-34,-262,-92,58,112,4301,163252,5103,500,98,298,202,298848,11426490,358824,33541,4828,19325,14216,441308448,13856244,1260440,123764,704310,556130,436367,39323,3524,21846,17477,4332,1036,2667,1665,1436,1105,-69,1840,827,838
65,8,1,first,2,200,7221,8336,72,66,62,7653,288184,9002,2511,2558,85652,103462,2589,3286,-10,134,935,221,573,362,1570,378,262,134,-10,47,17810,697,-116,-374,-178,62,134,5069,189114,5875,640,174,402,238,295837,11251742,351796,35388,6683,21059,14329,432138272,13523374,1320072,186130,762006,558066,424854,40783,5110,23295,17488,4887,1505,3138,1749,1937,1534,-29,2247,891,858
65,7,4,second,2,200,7178,8359,58,77,65,7653,288184,9025,2008,2703,67982,110106,2057,3480,7,123,914,195,558,356,1567,315,290,123,7,695,42124,1423,-25,-344,-123,98,123,4711,178088,5537,605,122,367,238,295837,11251742,352701,34499,5618,20406,14093,432138272,13557394,1283800,143528,734726,549074,426843,39719,3810,22476,17243,4782,1395,3076,1706,1947,1499,-104,2226,850,856
65,8,1,first,3,200,7173,8320,55,82,63,7746,295274,9227,1950,2622,67716,107104,2082,3397,8,118,904,162,537,367,1643,274,281,118,8,672,39388,1315,7,-297,-86,93,118,4572,174820,5479,555,97,330,225,303020,11666464,364607,34758,4618,20024,14734,453620404,14178260,1317236,113168,734896,582340,444407,40928,3081,22662,18266,4530,1073,2805,1725,1622,1199,-126,1959,846,879
65,7,4,second,3,200,7209,8271,61,68,71,7746,295274,9286,2180,2953,76250,120506,2349,3831,10,132,869,135,507,362,1675,290,309,132,10,773,44256,1482,19,-351,-100,119,132,5133,196756,6180,599,67,338,261,303020,11666464,366854,33457,3588,18909,14548,453620404,14262934,1269566,74054,693938,575628,449812,39727,1859,21534,18193,4153,852,2512,1641,1623,1062,-210,1737,775,866
65,8,1,first,4,200,7200,8424,64,73,63,7656,288508,9039,2248,2599,77518,105148,2389,3334,-1,127,881,208,544,337,1591,324,252,127,-1,351,27630,945,-72,-319,-132,60,127,4847,182666,5723,576,149,362,214,296164,11273138,353151,33246,6363,19980,13266,433261112,13571054,1238202,182296,724064,514138,426433,38517,5282,22372,16145,4431,1409,2884,1547,1678,1384,25,2068,816,731
65,7,4,second,4,200,7255,8352,64,72,64,7656,288508,8996,2249,2646,77582,107218,2347,3417,0,128,896,206,551,345,1546,334,257,128,0,397,29636,1070,-77,-349,-149,72,128,4895,184800,5764,591,143,367,224,296164,11273138,351679,33863,6182,20221,13642,433261112,13522868,1262404,170584,731312,531092,423438,39065,4761,22448,16617,4518,1383,2912,1606,1756,1395,-12,2079,833,773
65,8,1,first,5,200,7199,8291,65,75,60,7620,286264,8979,2248,2523,76218,103990,2343,3262,-5,125,928,175,549,379,1534,338,265,125,-5,275,27772,919,-73,-360,-154,81,125,4771,180208,5605,603,126,362,241,293884,11172008,350422,35056,4717,20024,15032,429613808,13475150,1308760,104032,720282,588478,423983,40840,2875,22317,18523,4778,1095,2900,1878,1825,1280,-185,2013,887,991
65,7,4,second,5,200,7242,8311,67,71,62,7620,286264,8977,2319,2581,78666,105380,2420,3364,-5,129,920,203,559,361,1560,350,265,129,-5,262,26714,944,-85,-364,-160,75,129,4900,184046,5784,615,138,374,241,293884,11172008,350244,34588,5752,20301,14287,429613808,13465134,1285168,143182,727532,557636,423421,39976,4058,22489,17487,4786,1421,3061,1725,1937,1497,-76,2199,862,863
65,8,1,first,6,200,7177,8339,53,82,65,7754,296064,9256,1871,2716,64712,111442,1965,3523,12,118,879,133,512,367,1635,269,268,118,12,845,46730,1558,-1,-319,-101,100,118,4587,176154,5488,537,69,309,228,303818,11722686,366448,33793,3468,19053,14740,457049304,14284556,1281994,67940,698332,583662,447750,39778,1724,21530,18248,4289,888,2588,1701,1625,1097,-209,1792,796,905
65,7,4,second,6,200,7254,8314,61,68,71,7754,296064,9276,2182,2965,76560,121628,2366,3830,10,132,862,154,513,349,1676,275,297,132,10,783,45068,1464,22,-290,-68,90,132,5147,198188,6196,572,78,330,242,303818,11722686,367289,33157,4392,19166,13991,457049304,14319796,1258498,107854,705710,552788,450052,39171,2953,21794,17377,4166,966,2577,1589,1486,1081,-115,1795,782,807
65,8,1,first,7,200,7215,8380,61,86,53,7691,291032,9059,2172,2245,75720,93226,2313,2942,-8,114,926,252,585,341,1620,308,233,114,-8,73,17506,629,-75,-329,-145,70,114,4417,168946,5255,541,121,327,214,298723,11417698,355515,35314,8045,21716,13598,440797384,13730100,1327400,241074,792990,534410,429031,40977,6904,24255,16722,4834,1577,3168,1666,1926,1587,-10,2305,863,803
65,7,4,second,7,200,7338,8475,78,67,55,7691,291032,8998,2780,2285,96814,93176,2933,2926,-23,133,904,245,563,341,1552,405,212,133,-23,-495,-3638,-7,-193,-362,-211,18,133,5065,189990,5859,617,204,399,218,298723,11417698,353159,34363,7808,20838,13525,440797384,13639876,1286462,233528,758176,528286,423538,39388,6541,22961,16427,4596,1607,3005,1591,1843,1544,63,2169,836,755
65,8,1,first,8,200,7287,8389,69,72,59,7706,292566,9181,2443,2480,84672,102342,2601,3222,-10,128,880,154,512,368,1629,342,249,128,-10,37,17670,621,-93,-357,-161,68,128,4923,187014,5823,591,125,353,238,300272,11530290,361733,33592,4065,18847,14745,447828108,14045350,1265708,82642,683010,582698,442135,39390,2157,21084,18306,4348,1047,2651,1697,1826,1258,-211,1874,777,920
65,7,4,second,8,200,7225,8399,64,72,64,7706,292566,9204,2260,2690,78084,110944,2407,3531,0,128,873,149,511,362,1647,301,265,128,0,430,32860,1124,-36,-316,-112,76,128,4950,189028,5938,566,82,324,242,300272,11530290,362578,33399,4023,18926,14473,447828108,14075760,1261246,87022,690564,570682,443928,39442,2396,21481,17961,4249,915,2564,1685,1517,1058,-143,1755,809,876
65,8,1,first,9,200,7220,8416,62,86,52,7617,285562,8926,2158,2159,73550,88058,2260,2773,-10,114,919,241,575,344,1550,319,222,114,-10,1,14508,513,-97,-295,-139,42,114,4317,161608,5033,541,147,339,202,293179,11106392,347114,34605,7630,21118,13487,425076116,13285468,1283536,227700,762872,520664,416642,39870,6701,23542,16328,4703,1514,3060,1643,1711,1465,49,2193,867,776
65,7,4,second,9,200,7259,8441,69,86,45,7617,285562,8911,2441,1899,84544,78594,2596,2488,-24,114,864,226,533,331,1520,335,180,114,-24,-542,-5950,-108,-155,-291,-166,11,114,4340,163138,5084,515,141,316,199,293179,11106392,346435,32552,7166,19588,12964,425076116,13255150,1209216,214846,709056,500160,414767,37449,6305,21823,15626,4252,1381,2739,1513,1496,1293,88,1933,806,707
65,8,1,first,10,200,7126,8294,66,75,59,7598,283738,8811,2321,2437,79952,98730,2419,3088,-7,125,888,203,542,346,1416,323,252,125,-7,116,18778,669,-71,-334,-140,69,125,4758,178682,5507,575,132,350,225,291336,10981238,341003,33507,6209,19916,13591,417798572,12974548,1244114,174992,718942,525172,404329,38307,4932,21954,16353,4392,1261,2791,1601,1667,1297,-36,1974,817,784
65,7,4,second,10,200,7292,8330,79,67,54,7598,283738,8876,2782,2228,95818,90208,2951,2845,-25,133,866,225,533,333,1503,392,216,133,-25,-554,-5610,-106,-176,-349,-196,20,133,5010,186026,5796,608,197,390,218,291336,10981238,343562,32510,7014,19485,13025,417798572,13071404,1202070,204724,700592,501478,410156,37262,5994,21575,15687,4236,1400,2730,1506,1725,1388,12,1961,769,737
65,8,1,first,11,200,7356,8309,65,75,60,7734,294382,9203,2317,2516,80928,103528,2511,3255,-5,125,871,146,506,365,1615,308,252,125,-5,199,22600,744,-56,-309,-120,64,125,4833,184456,5766,560,77,316,244,302116,11616842,363085,33451,4064,18857,14594,451256636,14101576,1266600,93832,691516,575084,442033,39440,2634,21409,18031,4215,933,2546,1669,1532,1078,-145,1752,794,875
65,7,4,second,11,200,7240,8302,65,70,65,7734,294382,9207,2316,2732,80740,112716,2480,3536,0,130,891,197,544,347,1670,325,279,130,0,416,31976,1056,-46,-340,-128,82,130,5048,193456,6016,604,120,362,242,302116,11616842,363111,34171,6013,20300,13871,451256636,14097926,1291632,166832,745220,546412,441841,40124,4848,23014,17110,4515,1271,2870,1645,1785,1358,-87,2050,820,825
65,8,1,first,12,200,7241,8376,62,86,52,7660,288090,8968,2216,2141,77576,86388,2370,2736,-10,114,871,203,532,339,1511,293,209,114,-10,-75,8812,366,-84,-274,-122,38,114,4357,163964,5106,502,104,298,204,295750,11211690,349067,33118,6461,19752,13366,428375340,13338096,1238356,193756,720462,517894,416782,38122,5538,22013,16109,4247,1231,2697,1550,1509,1233,-2,1904,793,757
65,7,4,second,12,200,7214,8284,62,82,56,7660,288090,9060,2228,2309,78466,93328,2423,2980,-6,118,880,208,541,339,1608,293,221,118,-6,81,14862,557,-72,-276,-115,43,118,4537,171794,5403,514,114,311,203,295750,11211690,352573,33360,6701,20071,13289,428375340,13470060,1243130,204696,731344,511786,424850,38774,6057,22694,16080,4342,1240,2755,1587,1432,1198,42,1919,836,751
65,8,1,first,13,200,7251,8420,59,80,61,7766,296822,9243,2097,2548,73114,104310,2249,3272,2,120,894,188,542,352,1665,292,265,120,2,451,31196,1023,-27,-297,-102,75,120,4645,177424,5521,557,117,338,219,304588,11753386,366238,34276,5455,20091,14185,457738804,14270332,1297856,140572,734812,563044,446131,40103,3928,22527,17576,4484,1229,2843,1641,1754,1343,-114,2042,801,840
65,7,4,second,13,200,7291,8352,60,77,63,7766,296822,9332,2129,2629,74170,107648,2307,3406,3,123,870,133,503,367,1699,301,250,123,3,500,33478,1099,-51,-306,-117,66,123,4758,181818,5713,551,92,323,228,304588,11753386,369862,33209,3415,18562,14647,457738804,14415090,1251202,66812,675746,575456,455244,39048,1587,20867,18181,4278,1001,2614,1664,1563,1129,-128,1813,801,863
65,8,1,first,14,200,7226,8315,53,73,74,7810,300884,9387,1864,3142,64372,130850,1976,4104,21,127,879,94,497,382,1671,263,315,127,21,1278,66478,2128,52,-349,-85,137,127,5006,195222,6080,578,39,319,259,308694,12032206,375173,34142,1744,18582,15560,474285136,14781632,1311198,-4856,686410,624788,462139,40609,-513,21112,19497,4337,687,2538,1799,1704,1021,-334,1737,801,998
65,7,4,second,14,200,7197,8352,56,72,72,7810,300884,9356,1949,3045,66568,126414,2045,3961,16,128,888,116,510,378,1662,271,318,128,16,1096,59846,1916,47,-325,-75,122,128,4994,192982,6006,589,53,329,260,308694,12032206,373998,34432,2688,19108,15324,474285136,14737658,1319574,34228,706824,612750,459324,40799,721,21718,19081,4306,759,2556,1750,1580,1007,-248,1744,812,938
65,8,1,first,15,200,7234,8392,62,69,69,7762,296554,9306,2213,2882,77334,118180,2399,3758,7,131,873,156,518,355,1700,301,284,131,7,669,40846,1359,-17,-326,-106,89,131,5095,195514,6157,585,88,340,245,304316,11746094,368575,33630,4433,19366,14264,458081060,14371970,1277198,107256,712650,564548,452554,39730,2909,21999,17731,4291,1026,2650,1641,1596,1148,-122,1846,804,837
65,7,4,second,15,200,7210,8346,56,82,62,7762,296554,9256,1979,2593,68488,106508,2104,3371,6,118,910,158,537,373,1652,276,273,118,6,614,38020,1267,-3,-315,-100,97,118,4572,174996,5475,549,77,316,233,304316,11746094,366589,35102,4370,20043,15059,458081060,14295888,1335370,98526,735958,599412,447532,41378,2523,22584,18794,4636,1027,2830,1806,1816,1264,-237,1997,833,973
65,8,1,first,16,200,7175,8380,59,78,63,7752,295294,9244,2107,2610,73440,106132,2229,3371,4,122,894,148,523,371,1640,297,266,122,4,503,32692,1142,-31,-309,-109,78,122,4717,179572,5600,563,91,329,234,303046,11644064,364490,34379,4248,19565,14814,451331468,14126986,1300588,104088,718684,581904,443738,40390,2716,22124,18266,4420,999,2694,1726,1592,1141,-142,1863,831,895
65,7,4,second,16,200,7272,8359,71,63,66,7752,295294,9247,2567,2752,90798,112600,2808,3552,-5,137,881,200,538,343,1695,341,274,137,-5,185,21802,744,-67,-332,-131,64,137,5319,203398,6360,615,124,367,248,303046,11644064,364702,33889,6336,20205,13684,451331468,14139366,1282494,186124,745210,537284,444401,39822,5280,22923,16899,4321,1220,2737,1584,1668,1278,-58,1942,795,789
65,8,1,first,17,200,7251,8446,72,73,55,7622,286384,8950,2518,2320,86514,95950,2644,3019,-17,127,898,191,536,362,1519,379,242,127,-17,-198,9436,375,-137,-368,-189,52,127,4838,182464,5663,621,150,377,244,294006,11176388,349386,33711,5287,19400,14311,429683936,13435862,1252012,126524,693986,558026,421532,38826,3469,21335,17491,4564,1307,2867,1697,1897,1418,-111,2048,819,878
65,7,4,second,17,200,7290,8278,73,59,68,7622,286384,8936,2527,2803,85750,113472,2653,3578,-5,141,920,215,565,355,1529,370,304,141,-5,276,27722,925,-66,-351,-138,72,141,5330,199222,6231,674,163,416,258,294006,11176388,348932,34510,6138,20462,14048,429683936,13422056,1279978,156040,731870,548108,420548,39616,4349,22445,17171,4852,1508,3147,1705,1957,1557,-49,2283,864,841
65,8,1,first,18,200,7210,8345,55,80,65,7753,296002,9275,1966,2736,68918,113114,2125,3585,10,120,881,111,501,380,1633,269,281,120,10,770,44196,1460,12,-300,-84,96,120,4702,182032,5710,550,36,298,252,303755,11720648,367212,33923,2585,18639,15284,457070756,14319990,1288928,31696,682410,606518,450047,40160,546,21083,19077,4315,753,2540,1775,1519,986,-233,1721,819,956
65,7,4,second,18,200,7266,8344,62,74,64,7753,296002,9258,2189,2675,75650,109830,2314,3496,2,126,911,165,539,372,1670,320,283,126,2,486,34180,1182,-37,-339,-125,88,126,4864,185480,5810,603,109,357,246,303755,11720648,366636,35051,4645,20091,14960,457070756,14301666,1331064,110380,737812,593252,448952,41388,2968,22769,18619,4629,1050,2821,1808,1693,1202,-152,1949,872,936
65,8,1,first,19,200,7295,8435,69,78,53,7664,289532,9064,2400,2224,81784,91516,2557,2871,-16,122,867,193,522,345,1593,320,228,122,-16,-176,9732,314,-92,-304,-137,45,122,4624,173300,5428,548,130,331,217,297196,11357086,355407,32827,5607,19129,13698,438804160,13727136,1227316,145724,691386,535930,430566,38252,4434,21500,16752,4143,1121,2586,1557,1525,1171,-50,1810,776,781
65,7,4,second,19,200,7298,8391,67,75,58,7664,289532,9092,2330,2446,79388,101120,2491,3200,-9,125,901,206,549,352,1634,334,256,125,-9,116,21732,709,-78,-321,-137,59,125,4776,180508,5691,590,141,361,229,297196,11357086,356356,34171,6151,20219,13952,438804160,13758808,1279380,167656,734384,544996,432486,40047,5092,22924,17123,4503,1245,2835,1668,1588,1256,-11,1977,858,810
65,8,1,first,20,200,7151,8252,60,76,64,7702,291848,9045,2118,2660,73122,108438,2205,3374,4,124,891,183,539,352,1526,280,282,124,4,542,35316,1169,2,-280,-77,79,124,4778,181560,5579,562,112,339,223,299550,11462176,355279,34136,5540,20109,14027,442842928,13728102,1288466,152910,738346,550120,427169,39704,4211,22542,17162,4365,1075,2721,1644,1481,1138,-63,1891,830,814
65,7,4,second,20,200,7287,8406,73,67,60,7702,291848,9111,2585,2517,89548,103622,2744,3283,-13,133,906,185,539,367,1594,368,262,133,-13,-68,14074,539,-106,-399,-186,80,133,5102,193170,6027,630,131,374,256,299550,11462176,357792,34618,5298,19924,14694,442842928,13822554,1303064,130518,723828,579236,432955,40412,3603,22277,18135,4558,1180,2816,1742,1955,1368,-188,1999,817,925
