metric,estimate,jackknife_se
axis_M_p_ref,0.00033,0.0024231287752045885
axis_derivative,54.01999999999995,0.5149222251555859
axis_curvature,160.0000000000001,984.4132200225145
axis_linear_root,0.5927399411514255,4.485360825308588e-05
diamond_M_p_ref,-0.00142,0.002284167333660839
diamond_derivative,53.37499999999995,0.45648669426481764
diamond_curvature,409.9999999999999,1064.4237686108252
diamond_linear_root,0.5927726542154567,4.286582148225338e-05
orientation_root_gap_diamond_minus_axis,3.271306403118679e-05,6.0631031493285616e-05
simple_mean_root,0.5927562976834411,3.171170000720124e-05
L4_axis_weight,0.5000510178050812,0.0
L4_diamond_weight,0.4999489821949188,0.0
L4_weighted_root,0.5927562960144923,3.171184041908033e-05
paired_difference_M_p_ref,-0.00175,0.0032534204920297628
paired_difference_derivative,-0.6449999999999991,0.7691132582927146
