metric,estimate,jackknife_se
axis_M_p_ref,0.0020388,0.0003606596722447265
axis_derivative,7.493800000000825,0.049741281668664414
axis_curvature,138.40000000003167,155.4924658585939
axis_linear_root,0.5924739850930103,4.83673328782331e-05
diamond_M_p_ref,-0.0014464,0.00038039139456778523
diamond_derivative,7.557000000000832,0.03424432025005031
diamond_curvature,29.60000000000767,142.92482967904462
diamond_linear_root,0.5929374487031891,5.022511896072802e-05
orientation_root_gap_diamond_minus_axis,0.00046346361017879367,5.085763104885948e-05
simple_mean_root,0.5927057168980997,4.224163909236765e-05
L4_axis_weight,0.48990002040399916,0.0
L4_diamond_weight,0.5100999795960008,0.0
L4_weighted_root,0.5927103978711059,4.226665198886507e-05
paired_difference_M_p_ref,-0.0034852,0.0003816153892417376
paired_difference_derivative,0.06320000000000633,0.053435018709554256
