metric,estimate,jackknife_se
axis_M_p_ref,0.0011722,0.0003971119504931699
axis_derivative,7.567599999999993,0.027470667101845685
axis_curvature,37.60000000000041,67.48639167435556
axis_linear_root,0.5925911528067023,5.244431285984216e-05
diamond_M_p_ref,-0.0018996,0.00033905269712623055
diamond_derivative,7.620599999999993,0.028328841580730887
diamond_curvature,-35.20000000000079,56.75168971682054
diamond_linear_root,0.592995321710889,4.459482207331489e-05
orientation_root_gap_diamond_minus_axis,0.00040416890418670803,5.1031533359592616e-05
simple_mean_root,0.5927932372587956,4.145476696701908e-05
L4_axis_weight,0.48990002040399916,0.0
L4_diamond_weight,0.5100999795960008,0.0
L4_weighted_root,0.5927973193564813,4.136508341871934e-05
paired_difference_M_p_ref,-0.0030718,0.000385995103067172
paired_difference_derivative,0.053000000000000484,0.037128293848245585
