metric,estimate,jackknife_se
axis_M_p_ref,-0.000464,0.0007915021110753494
axis_derivative,14.662999999999986,0.0967777803811919
axis_curvature,277.99999999999994,175.0985728213752
axis_linear_root,0.5927776942747051,5.391593263710274e-05
diamond_M_p_ref,0.000467,0.0009132243951616532
diamond_derivative,14.612499999999988,0.08325412902673314
diamond_curvature,52.99999999999913,175.25148111400543
diamond_linear_root,0.5927140910607357,6.248909871960812e-05
orientation_root_gap_diamond_minus_axis,-6.360321396936541e-05,5.975707524073584e-05
simple_mean_root,0.5927458926677204,5.013163287912952e-05
L4_axis_weight,0.5017330970474272,0.0
L4_diamond_weight,0.4982669029525728,0.0
L4_weighted_root,0.5927460028982627,5.011448672633938e-05
paired_difference_M_p_ref,0.000931,0.0008748071390953808
paired_difference_derivative,-0.050500000000000156,0.13967617432285792
