batch,first_replica,samples,p,axis_sum,diamond_sum,paired_difference_sum,axis_mean,diamond_mean,paired_difference_mean
0,0,100000,0.59224605000000008,-135,188,323,-0.0013500000000000001,0.0018799999999999999,0.0032299999999999998
0,0,100000,0.59274605000000002,214,548,334,0.00214,0.0054799999999999996,0.0033400000000000001
0,0,100000,0.59324604999999997,596,926,330,0.00596,0.0092599999999999991,0.0033
1,100000,100000,0.59224605000000008,159,-740,-899,0.0015900000000000001,-0.0074000000000000003,-0.0089899999999999997
1,100000,100000,0.59274605000000002,547,-357,-904,0.00547,-0.0035699999999999998,-0.0090399999999999994
1,100000,100000,0.59324604999999997,918,49,-869,0.0091800000000000007,0.00048999999999999998,-0.0086899999999999998
2,200000,100000,0.59224605000000008,88,-721,-809,0.00088000000000000003,-0.0072100000000000003,-0.00809
2,200000,100000,0.59274605000000002,458,-359,-817,0.0045799999999999999,-0.0035899999999999999,-0.0081700000000000002
2,200000,100000,0.59324604999999997,836,23,-813,0.0083599999999999994,0.00023000000000000001,-0.0081300000000000001
3,300000,100000,0.59224605000000008,46,101,55,0.00046000000000000001,0.00101,0.00055000000000000003
3,300000,100000,0.59274605000000002,391,465,74,0.0039100000000000003,0.0046499999999999996,0.00073999999999999999
3,300000,100000,0.59324604999999997,791,832,41,0.0079100000000000004,0.0083199999999999993,0.00040999999999999999
4,400000,100000,0.59224605000000008,-302,-532,-230,-0.0030200000000000001,-0.0053200000000000001,-0.0023
4,400000,100000,0.59274605000000002,112,-152,-264,0.0011199999999999999,-0.0015200000000000001,-0.00264
4,400000,100000,0.59324604999999997,524,218,-306,0.0052399999999999999,0.0021800000000000001,-0.0030599999999999998
5,500000,100000,0.59224605000000008,-196,-782,-586,-0.0019599999999999999,-0.0078200000000000006,-0.0058599999999999998
5,500000,100000,0.59274605000000002,192,-406,-598,0.00192,-0.0040600000000000002,-0.0059800000000000001
5,500000,100000,0.59324604999999997,580,-6,-586,0.0057999999999999996,-6.0000000000000002e-05,-0.0058599999999999998
6,600000,100000,0.59224605000000008,-114,-337,-223,-0.00114,-0.0033700000000000002,-0.0022300000000000002
6,600000,100000,0.59274605000000002,229,57,-172,0.0022899999999999999,0.00056999999999999998,-0.00172
6,600000,100000,0.59324604999999997,598,440,-158,0.0059800000000000001,0.0044000000000000003,-0.00158
7,700000,100000,0.59224605000000008,-252,-378,-126,-0.0025200000000000001,-0.0037799999999999999,-0.0012600000000000001
7,700000,100000,0.59274605000000002,109,12,-97,0.00109,0.00012,-0.00097000000000000005
7,700000,100000,0.59324604999999997,527,392,-135,0.0052700000000000004,0.0039199999999999999,-0.0013500000000000001
8,800000,100000,0.59224605000000008,-521,-872,-351,-0.0052100000000000002,-0.0087200000000000003,-0.0035100000000000001
8,800000,100000,0.59274605000000002,-142,-502,-360,-0.00142,-0.0050200000000000002,-0.0035999999999999999
8,800000,100000,0.59324604999999997,242,-148,-390,0.0024199999999999998,-0.00148,-0.0038999999999999998
9,900000,100000,0.59224605000000008,-176,-849,-673,-0.0017600000000000001,-0.0084899999999999993,-0.0067299999999999999
9,900000,100000,0.59274605000000002,207,-447,-654,0.0020699999999999998,-0.00447,-0.0065399999999999998
9,900000,100000,0.59324604999999997,586,-76,-662,0.0058599999999999998,-0.00076000000000000004,-0.00662
10,1000000,100000,0.59224605000000008,-604,-1056,-452,-0.0060400000000000002,-0.01056,-0.0045199999999999997
10,1000000,100000,0.59274605000000002,-241,-654,-413,-0.0024099999999999998,-0.0065399999999999998,-0.00413
10,1000000,100000,0.59324604999999997,98,-293,-391,0.00097999999999999997,-0.0029299999999999999,-0.0039100000000000003
11,1100000,100000,0.59224605000000008,6,-35,-41,6.0000000000000002e-05,-0.00035,-0.00040999999999999999
11,1100000,100000,0.59274605000000002,361,338,-23,0.0036099999999999999,0.0033800000000000002,-0.00023000000000000001
11,1100000,100000,0.59324604999999997,721,714,-7,0.0072100000000000003,0.0071399999999999996,-6.9999999999999994e-05
12,1200000,100000,0.59224605000000008,-414,-785,-371,-0.0041399999999999996,-0.0078499999999999993,-0.0037100000000000002
12,1200000,100000,0.59274605000000002,-39,-400,-361,-0.00038999999999999999,-0.0040000000000000001,-0.0036099999999999999
12,1200000,100000,0.59324604999999997,365,-45,-410,0.00365,-0.00044999999999999999,-0.0041000000000000003
13,1300000,100000,0.59224605000000008,-802,-702,100,-0.0080199999999999994,-0.0070200000000000002,0.001
13,1300000,100000,0.59274605000000002,-446,-297,149,-0.0044600000000000004,-0.00297,0.00149
13,1300000,100000,0.59324604999999997,-77,104,181,-0.00076999999999999996,0.0010399999999999999,0.00181
14,1400000,100000,0.59224605000000008,-451,-702,-251,-0.0045100000000000001,-0.0070200000000000002,-0.0025100000000000001
14,1400000,100000,0.59274605000000002,-59,-311,-252,-0.00059000000000000003,-0.0031099999999999999,-0.0025200000000000001
14,1400000,100000,0.59324604999999997,346,68,-278,0.00346,0.00068000000000000005,-0.0027799999999999999
15,1500000,100000,0.59224605000000008,132,-521,-653,0.00132,-0.0052100000000000002,-0.0065300000000000002
15,1500000,100000,0.59274605000000002,513,-139,-652,0.00513,-0.00139,-0.0065199999999999998
15,1500000,100000,0.59324604999999997,902,268,-634,0.0090200000000000002,0.0026800000000000001,-0.0063400000000000001
16,1600000,100000,0.59224605000000008,-661,-499,162,-0.0066100000000000004,-0.0049899999999999996,0.0016199999999999999
16,1600000,100000,0.59274605000000002,-313,-145,168,-0.00313,-0.0014499999999999999,0.0016800000000000001
16,1600000,100000,0.59324604999999997,90,263,173,0.00089999999999999998,0.00263,0.00173
17,1700000,100000,0.59224605000000008,-404,-899,-495,-0.0040400000000000002,-0.0089899999999999997,-0.0049500000000000004
17,1700000,100000,0.59274605000000002,-47,-514,-467,-0.00046999999999999999,-0.0051399999999999996,-0.0046699999999999997
17,1700000,100000,0.59324604999999997,363,-124,-487,0.00363,-0.00124,-0.0048700000000000002
18,1800000,100000,0.59224605000000008,-268,-561,-293,-0.0026800000000000001,-0.0056100000000000004,-0.0029299999999999999
18,1800000,100000,0.59274605000000002,73,-177,-250,0.00072999999999999996,-0.0017700000000000001,-0.0025000000000000001
18,1800000,100000,0.59324604999999997,428,174,-254,0.00428,0.00174,-0.0025400000000000002
19,1900000,100000,0.59224605000000008,-43,-252,-209,-0.00042999999999999999,-0.0025200000000000001,-0.0020899999999999998
19,1900000,100000,0.59274605000000002,314,139,-175,0.00314,0.00139,-0.00175
19,1900000,100000,0.59324604999999997,709,518,-191,0.0070899999999999999,0.0051799999999999997,-0.00191
20,2000000,100000,0.59224605000000008,-285,-704,-419,-0.0028500000000000001,-0.0070400000000000003,-0.0041900000000000001
20,2000000,100000,0.59274605000000002,103,-308,-411,0.0010300000000000001,-0.0030799999999999998,-0.0041099999999999999
20,2000000,100000,0.59324604999999997,497,72,-425,0.0049699999999999996,0.00072000000000000005,-0.0042500000000000003
21,2100000,100000,0.59224605000000008,95,-302,-397,0.00095,-0.0030200000000000001,-0.0039699999999999996
21,2100000,100000,0.59274605000000002,461,61,-400,0.0046100000000000004,0.00060999999999999997,-0.0040000000000000001
21,2100000,100000,0.59324604999999997,836,466,-370,0.0083599999999999994,0.0046600000000000001,-0.0037000000000000002
22,2200000,100000,0.59224605000000008,-192,-246,-54,-0.00192,-0.0024599999999999999,-0.00054000000000000001
22,2200000,100000,0.59274605000000002,161,112,-49,0.0016100000000000001,0.0011199999999999999,-0.00048999999999999998
22,2200000,100000,0.59324604999999997,548,478,-70,0.0054799999999999996,0.0047800000000000004,-0.00069999999999999999
23,2300000,100000,0.59224605000000008,-326,-606,-280,-0.0032599999999999999,-0.0060600000000000003,-0.0028
23,2300000,100000,0.59274605000000002,74,-234,-308,0.00073999999999999999,-0.0023400000000000001,-0.0030799999999999998
23,2300000,100000,0.59324604999999997,445,132,-313,0.00445,0.00132,-0.00313
24,2400000,100000,0.59224605000000008,219,-501,-720,0.0021900000000000001,-0.0050099999999999997,-0.0071999999999999998
24,2400000,100000,0.59274605000000002,580,-115,-695,0.0057999999999999996,-0.00115,-0.0069499999999999996
24,2400000,100000,0.59324604999999997,929,237,-692,0.0092899999999999996,0.0023700000000000001,-0.0069199999999999999
25,2500000,100000,0.59224605000000008,-33,-343,-310,-0.00033,-0.0034299999999999999,-0.0030999999999999999
25,2500000,100000,0.59274605000000002,380,33,-347,0.0038,0.00033,-0.00347
25,2500000,100000,0.59324604999999997,757,405,-352,0.0075700000000000003,0.0040499999999999998,-0.0035200000000000001
26,2600000,100000,0.59224605000000008,-115,-665,-550,-0.00115,-0.0066499999999999997,-0.0054999999999999997
26,2600000,100000,0.59274605000000002,284,-296,-580,0.0028400000000000001,-0.00296,-0.0057999999999999996
26,2600000,100000,0.59324604999999997,645,80,-565,0.00645,0.00080000000000000004,-0.0056499999999999996
27,2700000,100000,0.59224605000000008,-580,-768,-188,-0.0057999999999999996,-0.0076800000000000002,-0.0018799999999999999
27,2700000,100000,0.59274605000000002,-209,-360,-151,-0.0020899999999999998,-0.0035999999999999999,-0.0015100000000000001
27,2700000,100000,0.59324604999999997,195,1,-194,0.0019499999999999999,1.0000000000000001e-05,-0.0019400000000000001
28,2800000,100000,0.59224605000000008,-206,-709,-503,-0.0020600000000000002,-0.0070899999999999999,-0.0050299999999999997
28,2800000,100000,0.59274605000000002,189,-334,-523,0.00189,-0.0033400000000000001,-0.0052300000000000003
