batch,first_replica,samples,p,axis_sum,diamond_sum,paired_difference_sum,axis_mean,diamond_mean,paired_difference_mean
0,0,100000,0.59174605000000002,-905,-873,32,-0.0090500000000000008,-0.0087299999999999999,0.00032000000000000003
0,0,100000,0.59274605000000002,-113,-133,-20,-0.0011299999999999999,-0.00133,-0.00020000000000000001
0,0,100000,0.59374605000000003,702,603,-99,0.0070200000000000002,0.0060299999999999998,-0.00098999999999999999
1,100000,100000,0.59174605000000002,-811,-1037,-226,-0.0081099999999999992,-0.010370000000000001,-0.0022599999999999999
1,100000,100000,0.59274605000000002,-127,-286,-159,-0.0012700000000000001,-0.0028600000000000001,-0.0015900000000000001
1,100000,100000,0.59374605000000003,659,474,-185,0.0065900000000000004,0.0047400000000000003,-0.0018500000000000001
2,200000,100000,0.59174605000000002,-596,-1378,-782,-0.00596,-0.013780000000000001,-0.0078200000000000006
2,200000,100000,0.59274605000000002,175,-589,-764,0.00175,-0.0058900000000000003,-0.0076400000000000001
2,200000,100000,0.59374605000000003,879,130,-749,0.0087899999999999992,0.0012999999999999999,-0.0074900000000000001
3,300000,100000,0.59174605000000002,-480,-1170,-690,-0.0047999999999999996,-0.0117,-0.0068999999999999999
3,300000,100000,0.59274605000000002,279,-433,-712,0.0027899999999999999,-0.0043299999999999996,-0.0071199999999999996
3,300000,100000,0.59374605000000003,1080,329,-751,0.010800000000000001,0.00329,-0.0075100000000000002
4,400000,100000,0.59174605000000002,-595,-1178,-583,-0.0059500000000000004,-0.011780000000000001,-0.0058300000000000001
4,400000,100000,0.59274605000000002,154,-412,-566,0.0015399999999999999,-0.0041200000000000004,-0.0056600000000000001
4,400000,100000,0.59374605000000003,921,341,-580,0.0092099999999999994,0.0034099999999999998,-0.0057999999999999996
5,500000,100000,0.59174605000000002,-1025,-1413,-388,-0.01025,-0.01413,-0.0038800000000000002
5,500000,100000,0.59274605000000002,-251,-656,-405,-0.0025100000000000001,-0.0065599999999999999,-0.0040499999999999998
5,500000,100000,0.59374605000000003,500,131,-369,0.0050000000000000001,0.00131,-0.0036900000000000001
6,600000,100000,0.59174605000000002,-441,-725,-284,-0.0044099999999999999,-0.0072500000000000004,-0.0028400000000000001
6,600000,100000,0.59274605000000002,365,32,-333,0.00365,0.00032000000000000003,-0.0033300000000000001
6,600000,100000,0.59374605000000003,1092,789,-303,0.010919999999999999,0.0078899999999999994,-0.0030300000000000001
7,700000,100000,0.59174605000000002,-480,-663,-183,-0.0047999999999999996,-0.0066299999999999996,-0.00183
7,700000,100000,0.59274605000000002,310,133,-177,0.0030999999999999999,0.00133,-0.0017700000000000001
7,700000,100000,0.59374605000000003,1009,898,-111,0.01009,0.0089800000000000001,-0.0011100000000000001
8,800000,100000,0.59174605000000002,-393,-872,-479,-0.0039300000000000003,-0.0087200000000000003,-0.00479
8,800000,100000,0.59274605000000002,350,-120,-470,0.0035000000000000001,-0.0011999999999999999,-0.0047000000000000002
8,800000,100000,0.59374605000000003,1059,615,-444,0.01059,0.0061500000000000001,-0.0044400000000000004
9,900000,100000,0.59174605000000002,-445,-1067,-622,-0.00445,-0.010670000000000001,-0.0062199999999999998
9,900000,100000,0.59274605000000002,313,-276,-589,0.00313,-0.0027599999999999999,-0.0058900000000000003
9,900000,100000,0.59374605000000003,1095,483,-612,0.01095,0.0048300000000000001,-0.0061199999999999996
10,1000000,100000,0.59174605000000002,-1190,-1267,-77,-0.011900000000000001,-0.012670000000000001,-0.00076999999999999996
10,1000000,100000,0.59274605000000002,-434,-516,-82,-0.0043400000000000001,-0.0051599999999999997,-0.00081999999999999998
10,1000000,100000,0.59374605000000003,344,261,-83,0.0034399999999999999,0.0026099999999999999,-0.00083000000000000001
11,1100000,100000,0.59174605000000002,-923,-1149,-226,-0.0092300000000000004,-0.01149,-0.0022599999999999999
11,1100000,100000,0.59274605000000002,-144,-298,-154,-0.0014400000000000001,-0.00298,-0.0015399999999999999
11,1100000,100000,0.59374605000000003,565,445,-120,0.0056499999999999996,0.00445,-0.0011999999999999999
12,1200000,100000,0.59174605000000002,-245,-912,-667,-0.0024499999999999999,-0.0091199999999999996,-0.0066699999999999997
12,1200000,100000,0.59274605000000002,502,-129,-631,0.0050200000000000002,-0.0012899999999999999,-0.0063099999999999996
12,1200000,100000,0.59374605000000003,1326,627,-699,0.013259999999999999,0.0062700000000000004,-0.0069899999999999997
13,1300000,100000,0.59174605000000002,-292,-522,-230,-0.0029199999999999999,-0.0052199999999999998,-0.0023
13,1300000,100000,0.59274605000000002,458,249,-209,0.0045799999999999999,0.00249,-0.0020899999999999998
13,1300000,100000,0.59374605000000003,1222,978,-244,0.01222,0.0097800000000000005,-0.0024399999999999999
14,1400000,100000,0.59174605000000002,-1227,-1324,-97,-0.01227,-0.01324,-0.00097000000000000005
14,1400000,100000,0.59274605000000002,-511,-589,-78,-0.00511,-0.0058900000000000003,-0.00077999999999999999
14,1400000,100000,0.59374605000000003,293,198,-95,0.0029299999999999999,0.00198,-0.00095
15,1500000,100000,0.59174605000000002,-153,-659,-506,-0.0015299999999999999,-0.0065900000000000004,-0.0050600000000000003
15,1500000,100000,0.59274605000000002,579,120,-459,0.00579,0.0011999999999999999,-0.0045900000000000003
15,1500000,100000,0.59374605000000003,1338,920,-418,0.01338,0.0091999999999999998,-0.0041799999999999997
16,1600000,100000,0.59174605000000002,-876,-1195,-319,-0.0087600000000000004,-0.011950000000000001,-0.0031900000000000001
16,1600000,100000,0.59274605000000002,-97,-392,-295,-0.00097000000000000005,-0.0039199999999999999,-0.0029499999999999999
16,1600000,100000,0.59374605000000003,661,389,-272,0.0066100000000000004,0.0038899999999999998,-0.0027200000000000002
17,1700000,100000,0.59174605000000002,-632,-641,-9,-0.0063200000000000001,-0.0064099999999999999,-9.0000000000000006e-05
17,1700000,100000,0.59274605000000002,186,184,-2,0.0018600000000000001,0.0018400000000000001,-2.0000000000000002e-05
17,1700000,100000,0.59374605000000003,965,957,-8,0.0096500000000000006,0.0095700000000000004,-8.0000000000000007e-05
18,1800000,100000,0.59174605000000002,-978,-789,189,-0.0097800000000000005,-0.0078899999999999994,0.00189
18,1800000,100000,0.59274605000000002,-221,-25,196,-0.0022100000000000002,-0.00025000000000000001,0.0019599999999999999
18,1800000,100000,0.59374605000000003,538,730,192,0.0053800000000000002,0.0073000000000000001,0.00192
19,1900000,100000,0.59174605000000002,-462,-1117,-655,-0.00462,-0.011169999999999999,-0.0065500000000000003
19,1900000,100000,0.59274605000000002,291,-377,-668,0.0029099999999999998,-0.0037699999999999999,-0.0066800000000000002
19,1900000,100000,0.59374605000000003,1049,381,-668,0.010489999999999999,0.00381,-0.0066800000000000002
20,2000000,100000,0.59174605000000002,-642,-1041,-399,-0.0064200000000000004,-0.010410000000000001,-0.0039899999999999996
20,2000000,100000,0.59274605000000002,123,-297,-420,0.00123,-0.00297,-0.0041999999999999997
20,2000000,100000,0.59374605000000003,855,399,-456,0.0085500000000000003,0.0039899999999999996,-0.0045599999999999998
21,2100000,100000,0.59174605000000002,-35,-1145,-1110,-0.00035,-0.01145,-0.0111
21,2100000,100000,0.59274605000000002,728,-350,-1078,0.00728,-0.0035000000000000001,-0.01078
21,2100000,100000,0.59374605000000003,1513,419,-1094,0.015129999999999999,0.0041900000000000001,-0.01094
22,2200000,100000,0.59174605000000002,-828,-1089,-261,-0.0082799999999999992,-0.01089,-0.0026099999999999999
22,2200000,100000,0.59274605000000002,-77,-347,-270,-0.00076999999999999996,-0.00347,-0.0027000000000000001
22,2200000,100000,0.59374605000000003,686,450,-236,0.0068599999999999998,0.0044999999999999997,-0.0023600000000000001
23,2300000,100000,0.59174605000000002,-746,-1398,-652,-0.0074599999999999996,-0.013979999999999999,-0.0065199999999999998
23,2300000,100000,0.59274605000000002,-35,-646,-611,-0.00035,-0.0064599999999999996,-0.00611
23,2300000,100000,0.59374605000000003,758,103,-655,0.0075799999999999999,0.0010300000000000001,-0.0065500000000000003
24,2400000,100000,0.59174605000000002,-654,-1182,-528,-0.0065399999999999998,-0.011820000000000001,-0.00528
24,2400000,100000,0.59274605000000002,85,-399,-484,0.00084999999999999995,-0.0039899999999999996,-0.0048399999999999997
24,2400000,100000,0.59374605000000003,862,367,-495,0.0086199999999999992,0.0036700000000000001,-0.0049500000000000004
25,2500000,100000,0.59174605000000002,-252,-948,-696,-0.0025200000000000001,-0.0094800000000000006,-0.00696
25,2500000,100000,0.59274605000000002,466,-185,-651,0.0046600000000000001,-0.0018500000000000001,-0.0065100000000000002
25,2500000,100000,0.59374605000000003,1222,539,-683,0.01222,0.0053899999999999998,-0.0068300000000000001
26,2600000,100000,0.59174605000000002,-645,-1154,-509,-0.00645,-0.01154,-0.0050899999999999999
26,2600000,100000,0.59274605000000002,109,-433,-542,0.00109,-0.0043299999999999996,-0.0054200000000000003
26,2600000,100000,0.59374605000000003,861,324,-537,0.0086099999999999996,0.0032399999999999998,-0.0053699999999999998
27,2700000,100000,0.59174605000000002,-1067,-1135,-68,-0.010670000000000001,-0.011350000000000001,-0.00068000000000000005
27,2700000,100000,0.59274605000000002,-289,-355,-66,-0.0028900000000000002,-0.0035500000000000002,-0.00066
27,2700000,100000,0.59374605000000003,461,379,-82,0.0046100000000000004,0.00379,-0.00081999999999999998
28,2800000,100000,0.59174605000000002,-539,-817,-278,-0.0053899999999999998,-0.0081700000000000002,-0.0027799999999999999
28,2800000,100000,0.59274605000000002,209,-102,-311,0.0020899999999999998,-0.0010200000000000001,-0.0031099999999999999
28,2800000,100000,0.59374605000000003,912,674,-238,0.0091199999999999996,0.0067400000000000003,-0.0023800000000000002
29,2900000,100000,0.59174605000000002,-660,-992,-332,-0.0066,-0.00992,-0.00332
29,2900000,100000,0.59274605000000002,79,-215,-294,0.00079000000000000001,-0.00215,-0.0029399999999999999
29,2900000,100000,0.59374605000000003,850,546,-304,0.0085000000000000006,0.0054599999999999996,-0.0030400000000000002
30,3000000,100000,0.59174605000000002,-780,-707,73,-0.0077999999999999996,-0.0070699999999999999,0.00072999999999999996
30,3000000,100000,0.59274605000000002,-34,40,74,-0.00034000000000000002,0.00040000000000000002,0.00073999999999999999
30,3000000,100000,0.59374605000000003,701,785,84,0.0070099999999999997,0.0078499999999999993,0.00084000000000000003
31,3100000,100000,0.59174605000000002,-1078,-930,148,-0.01078,-0.0092999999999999992,0.00148
31,3100000,100000,0.59274605000000002,-351,-154,197,-0.0035100000000000001,-0.0015399999999999999,0.00197
31,3100000,100000,0.59374605000000003,440,628,188,0.0044000000000000003,0.00628,0.0018799999999999999
32,3200000,100000,0.59174605000000002,-559,-848,-289,-0.0055900000000000004,-0.0084799999999999997,-0.0028900000000000002
32,3200000,100000,0.59274605000000002,124,-115,-239,0.00124,-0.00115,-0.0023900000000000002
32,3200000,100000,0.59374605000000003,859,643,-216,0.0085900000000000004,0.00643,-0.00216
33,3300000,100000,0.59174605000000002,-520,-640,-120,-0.0051999999999999998,-0.0064000000000000003,-0.0011999999999999999
33,3300000,100000,0.59274605000000002,224,137,-87,0.0022399999999999998,0.0013699999999999999,-0.00087000000000000001
33,3300000,100000,0.59374605000000003,964,839,-125,0.0096399999999999993,0.0083899999999999999,-0.00125
