metric,estimate,jackknife_se
axis_M_p_ref,0.000174,0.001067431821653051
axis_derivative,28.627999999999975,0.17768442560348396
axis_curvature,292.00000000000006,341.93733761778896
axis_linear_root,0.592739972034372,3.72826618569939e-05
diamond_M_p_ref,-0.000268,0.0011510436790236973
diamond_derivative,28.219999999999978,0.1538883772513723
diamond_curvature,67.9999999999985,347.3566654912841
diamond_linear_root,0.5927555468107725,4.07848984932962e-05
orientation_root_gap_diamond_minus_axis,1.557477640046212e-05,5.2624481488118374e-05
simple_mean_root,0.5927477594225723,2.88854357271615e-05
L4_axis_weight,0.4997026464729166,0.0
L4_diamond_weight,0.5002973535270834,0.0
L4_weighted_root,0.592747764053787,2.8886847210474305e-05
paired_difference_M_p_ref,-0.000442,0.0014952444070233783
paired_difference_derivative,-0.40800000000000003,0.2209458332363133
