metric,estimate,jackknife_se
axis_M_p_ref,0.0020388,0.0003606596722447265
axis_derivative,7.505699999999994,0.03590435423540163
axis_curvature,10.20000000000012,54.09703300174422
axis_linear_root,0.5924744164415044,4.818368316519863e-05
diamond_M_p_ref,-0.0014464,0.00038039139456778523
diamond_derivative,7.571199999999993,0.025919640335120817
diamond_curvature,-31.200000000000266,56.69657154087602
diamond_linear_root,0.5929370897295013,5.020805172753087e-05
orientation_root_gap_diamond_minus_axis,0.00046267328799687313,5.05875241034674e-05
simple_mean_root,0.5927057530855029,4.220762362523359e-05
L4_axis_weight,0.48990002040399916,0.0
L4_diamond_weight,0.5100999795960008,0.0
L4_weighted_root,0.5927104260762712,4.223453882759209e-05
paired_difference_M_p_ref,-0.0034852,0.0003816153892417376
paired_difference_derivative,0.06549999999999996,0.040594120917458364
