lambda_power,h0,P1_axis,P1_h_axis,raw_R1_h_axis,P1_tilted,P1_h_tilted,raw_R1_h_tilted,D_Q_h,Y_h,U_over_A,fixed_h1_Y_h,fixed_h1_U_over_A,root_motion_Y_h
0,1,0,0,0,0,0,0,25/2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,-25,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,25/2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1,0,0,0,0,0,0,-75,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2,0,0,0,0,0,0,-100,0,0,0,0,0
9,0,20,0,500,0,0,0,-125,0,0,0,0,0
10,-11/5,0,0,0,0,0,0,-535,0,0,0,0,0
11,0,425,25/2,23150,0,0,0,-9625/4,-15625/2304,-625/1152,-1046875/768,-41875/384,390625/288
12,-22/5,0,0,0,0,0,0,-375/2,0,0,0,0,0
13,0,1950,-150,476700,6425,15375/2,176000,-188625/4,3265625/768,390625/1152,-28890625/1152,-2436875/1152,67578125/2304
14,-841/10,0,0,0,0,0,0,123915/4,0,0,0,0,0
15,0,-9275,-12525,5855950,-21500,-80175,3702150,295125,-7046875/192,-866875/384,1707921875/3072,29171875/1152,-606890625/1024
16,283/2,0,0,0,0,0,0,400625/4,0,0,0,0,0
17,0,-66040,1350,48629950,-56100,396625/2,38587250,1373125/4,246203125/2304,118125/32,6267921875/9216,-211525625/1152,-5283109375/9216
18,31871/10,-400,0,0,0,0,0,-652055/4,0,0,0,0,0
19,2,108315,498600,293059550,65200,190000,261705000,-4156725/2,-24109375/144,-220625/128,-829048609375/12288,1597125625/1152,2480973828125/36864
20,153921/50,-17000,-500,0,0,0,0,-16973413/8,78125/288,3125/192,5234375/96,209375/64,-1953125/36
21,213/2,1101445/2,-1773175/2,1330005200,681550,392025,1272181550,-21602875/4,1598265625/2304,43201375/1152,785413140625/4608,-9421800625/1152,-782216609375/4608
22,-1952311/50,-258625,-4625,0,0,0,0,-9795185/2,2890625/1152,2703125/768,2682578125/1152,37459375/256,-669921875/288
23,1647/2,753125,-494580,4577568940,1910425/2,-9700805/2,4574877570,-2210675/4,-5444778125/2304,-107983375/1152,294466927859375/49152,10908891875/256,-883749249378125/147456
24,-3584283/25,-1286500,579750,0,0,0,0,48996903/2,-60390625/192,25934375/1152,17646953125/768,5214734375/2304,-17888515625/768
25,-57815/4,-6434645/4,-17502725/4,11472931050,-4758690,-10561825/2,11870610550,338926125/8,-251453125/512,-128740625/384,-1716369908140625/49152,-110035588125/512,1716345768640625/49152
26,6144669/25,6722850,11409125,0,-41280625,-98784375,0,2242946281/8,-17217734375/288,-2954303125/768,-52371171875/144,9548396875/1536,87524609375/288
27,112795/2,-10311305/4,102682625/4,16888220550,61551005/4,537167075/4,18460801100,-1339811625/4,15086265625/256,261864875/72,-251406866290015625/589824,8785060713125/9216,251441625046015625/589824
28,69823943/40,87973900,26619500,14000,276275000,1360811250,0,-81796452847/32,416934921875/576,39627621875/1152,-4276442890625/384,-1264221146875/3072,13663198515625/1152
29,-8915883/20,-61308485/4,-398636645,-11508940430,-35497635/4,-3218634175/4,-8695747150,6379154565/8,-1015054746875/4608,-950155625/128,1274230549086765625/294912,-73093231766875/18432,-141588390287840625/32768
30,629491601/500,57433750,-648837000,1357500,258635000,-5133303125,0,119657755229/40,-2802791328125/1152,-147372250625/2304,2085494003359375/18432,19413331053125/6144,-710112888203125/6144
31,84028933/20,-712741147/2,-13376622605/8,-162773193270,-506166605,-11436994325/4,-170037412600,146514266825/16,-5935853778125/9216,-133364703275/2304,54866963909101390625/2359296,200678690249375/12288,-54868483487668590625/2359296
32,-1807566731/250,-8582834375/4,-11157078875/4,50482100,-3250104625,-3914010975,4751800,537492593457/16,-2811853140625/4608,-52000394375/256,59880450393828125/36864,-27254349315625/4096,-59902945218953125/36864
